               	      	outputs     outputs_3_nearly_complete
large - 1048 --- 0.1539250897896357         >  0.017957927142124165
large - 1099 --- 0.06380011621150494        >  0.04931725740848344
large - 1024 --- 0.41833333333333333        >  0.06666666666666667
large - 1062 --- 0.06899553046342037        >  0.05090566925429311
large - 1015 --- 0.2939189189189189         >  -1
large - 1036 --- 0.013580246913580247       <  0.027160493827160494
large - 1093 --- 0.04870181179292202        >  0.027413942160207486
large - 1031 --- 0.016124910399850406       >  0.011188331723127746
large - 1066 --- 0.4296315632458234         >  0.2056980906921241
large - 1088 --- 0.016971759727715943       >  -1
large - 1032 --- 0.038128220097375175       >  0.025715435496029608
large - 1027 --- 0.06142380476874741        >  0.04650381158820234
large - 1045 --- 0.21752115480338477        >  -1
large - 1085 --- 0.03609366076527699        >  0.012392918332381497
large - 1009 --- 0.0                        <  0
large - 1018 --- -1                         <  -1
large - 1016 --- 0.05811412481776824        >  0.05006107226531126
large - 1006 --- 0.05483096781152529        >  0.03159522161598548
large - 1057 --- 0.04716227018385292        >  0.03567146282973621
large - 1014 --- 0.07605433130699088        >  0.0488031914893617
large - 1090 --- 0.19519519519519518        >  0.02894894894894895
large - 1070 --- 0.04330644201000238        >  0.04160960943081686
large - 1058 --- 0.32964824120603015        >  0.021105527638190954
large - 1074 --- 0.04507643085673658        >  0.03690657014510552
large - 1022 --- 0.4799196787148594         >  0.12349397590361445
large - 1053 --- 0.050948914003716456       >  0.03675835948050893
large - 1047 --- 0.7504172650700617         >  0.2652641384931879
large - 1069 --- 0.229147571035747          >  0.08959670027497708
large - 1072 --- 0.05754667841974517        >  0.031993749499158584
large - 1028 --- 0.12999512670565302        >  0.040326510721247565
large - 1071 --- 0.03313173176549963        <  0.06573335582275126
large - 1097 --- 0.22920036977120406        >  0.04431476773746244
large - 1056 --- 0.15417213197457372        >  0.05993340732519423
large - 1030 --- 0.18910741301059           >  0.02615085368489302
large - 1033 --- 0.3324768756423433         >  0.2512846865364851
large - 1065 --- -1                         <  -1
large - 1089 --- 0.1093638313080772         >  0.005003573981415297
large - 1060 --- 0.3971078976640712         >  0.04560622914349277
large - 1044 --- 0.07094861091118468        >  0.04295379300417446
large - 1068 --- 0.216                      >  0.012
large - 1098 --- 0.2894168466522678         >  0.04319654427645788
large - 1034 --- 0.14397849462365592        >  0.04541218637992832
large - 1077 --- 0.014765457308244594       >  0.00687522203414624
large - 1076 --- 0.09660698635282333        >  0.08469596427528066
large - 1011 --- 0.11621781093269272        >  0.05721330130231382
large - 1005 --- 0.032429380693561966       >  0.01961647401056419
large - 1061 --- 0.04801193979550693        >  0.046816355433589904
large - 1079 --- 0.25523349436392917        >  0.11211755233494364
large - 1020 --- -1                         <  -1
large - 1039 --- 0.3260453239706352         >  0.11307053941908714
large - 1007 --- 0.06732736020281756        >  0.045547520958773874
large - 1021 --- 0.12507936507936507        >  0.006984126984126984
large - 1054 --- 0.20361083249749248        >  0.006018054162487462
large - 1078 --- 0.15388888888888888        >  0.012222222222222223
large - 1040 --- 0.0864321608040201         >  0.019296482412060303
large - 1096 --- 0.29888888888888887        >  0.048666666666666664
large - 1092 --- 0.56                       >  0.096
large - 1004 --- 0.23754321740898923        >  0.10799267846247712
large - 1013 --- 0.5529801324503312         >  0.3505203405865657
large - 1025 --- 0.17763341067285382        >  -1
large - 1008 --- 0.04580181614817343        >  0.027640334413922538
large - 1095 --- 0.18997107039537126        >  0.040501446480231434
large - 1094 --- 0.23793975761854336        >  0.07347923285092364
large - 1038 --- 0.4                        >  0.11020408163265306
large - 1043 --- 0.4641460234680574         >  0.09908735332464146
large - 1010 --- 0.3185866408518877         >  0.1377541142303969
large - 1080 --- 0.20384615384615384        >  0.015384615384615385
large - 1067 --- 0.08                       >  0.0033333333333333335
large - 1063 --- 0.26650965614696187        >  0.07979274611398963
large - 1042 --- 0.26733668341708544        >  0.027135678391959798
large - 1075 --- 0.0578397212543554         >  0.018902439024390243
large - 1052 --- 0.03250960428666217        >  0.028500616124050027
large - 1046 --- 0.054010086220920774       >  0.03300099932603593
large - 1026 --- 0.03432163453090305        >  0.026154571159283695
large - 1037 --- 0.2199857244825125         >  0.051034975017844396
large - 1084 --- 0.2421433897943965         >  0.08873974645786727
large - 1050 --- 0.046651617757712566       >  0.010534236267870579
large - 1002 --- 0.052763157894736845       >  0.01855263157894737
large - 1029 --- 0.24705729336021331        >  0.14702477726474605
outputs: 73      outputs_3_nearly_complete: 6

