['706', '630', '620', '824', '608', '839', '133', '917', '183', '225', '806', '236', '702', '937', '69', '188', '253', '12', '363', '545', '107', '115', '726', '6', '230', '316', '859', '785', '391', '817', '460', '318', '563', '811', '910', '843', '4', '330', '690', '509', '410', '477', '860', '521', '833', '903', '789', '854', '923']
['593', '15', '388', '624', '65', '798', '80', '696', '243', '925', '861', '434', '564', '215', '739', '153', '245', '930', '635', '957', '534', '319', '370', '585', '167', '242', '317', '179', '575', '324', '98', '953', '441', '793', '11', '543', '966', '642', '140', '568', '359', '7', '584', '667', '581', '590', '380', '454', '819']
['234', '46', '842', '97', '186', '232', '286', '691', '95', '567', '605', '151', '898', '713', '661', '891', '63', '851', '141', '932', '205', '209', '604', '556', '18', '479', '118', '676', '855', '49', '874', '308', '924', '79', '911', '670', '476', '756', '152', '697', '679', '117', '129', '631', '767', '278', '505', '303', '199']
['614', '368', '366', '615', '373', '431', '309', '425', '169', '333', '216', '638', '448', '627', '34', '342', '471', '576', '89', '826', '770', '733', '344', '765', '293', '360', '127', '902', '962', '103', '136', '428', '595', '662', '354', '890', '732', '959', '686', '629', '154', '325', '956', '772', '28', '110', '235', '289', '929']
['171', '694', '678', '310', '597', '447', '320', '583', '755', '836', '636', '352', '248', '486', '381', '921', '840', '768', '482', '738', '472', '74', '834', '958', '651', '61', '438', '290', '3', '192', '927', '187', '849', '112', '603', '845', '195', '433', '47', '358', '124', '565', '457', '592', '805', '405', '372', '312', '369']
['692', '365', '385', '499', '250', '864', '936', '38', '94', '952', '468', '700', '725', '650', '665', '749', '560', '976', '334', '827', '389', '158', '93', '164', '788', '719', '314', '913', '144', '26', '414', '161', '137', '812', '458', '446', '867', '587', '347', '321', '345', '960', '757', '91', '533', '25', '880', '8', '870']
['784', '900', '523', '467', '377', '263', '266', '362', '881', '419', '594', '938', '617', '707', '525', '299', '203', '35', '119', '847', '792', '371', '862', '106', '808', '255', '33', '10', '439', '600', '193', '844', '838', '759', '2', '760', '745', '9', '256', '238', '570', '681', '813', '165', '207', '529', '803', '267', '677']
['474', '577', '217', '437', '778', '191', '305', '184', '831', '946', '131', '549', '412', '728', '645', '579', '656', '378', '484', '90', '408', '967', '374', '920', '0', '206', '646', '125', '795', '386', '682', '822', '70', '828', '886', '687', '146', '558', '684', '971', '791', '84', '522', '20', '411', '731', '548', '480', '55']
['601', '628', '606', '572', '846', '197', '511', '609', '463', '395', '332', '265', '578', '498', '346', '961', '220', '341', '648', '277', '978', '727', '632', '142', '85', '835', '779', '883', '550', '704', '490', '753', '350', '781', '251', '78', '566', '283', '639', '271', '901', '223', '356', '168', '885', '177', '135', '626', '384']
['292', '72', '547', '741', '257', '643', '532', '552', '130', '729', '887', '280', '461', '273', '928', '580', '102', '421', '775', '949', '598', '180', '335', '894', '541', '493', '530', '104', '297', '208', '914', '247', '848', '668', '899', '435', '398', '465', '973', '407', '939', '455', '331', '262', '510', '703', '746', '506', '174']
['219', '302', '62', '176', '178', '108', '618', '856', '689', '338', '652', '149', '717', '950', '300', '259', '170', '718', '857', '771', '145', '501', '882', '481', '504', '611', '518', '304', '16', '708', '737', '122', '612', '260', '954', '507', '865', '873', '821', '261', '227', '40', '536', '863', '526', '75', '87', '301', '24']
['751', '440', '339', '406', '747', '475', '557', '655', '464', '744', '787', '132', '743', '574', '116', '1', '226', '210', '198', '328', '367', '736', '423', '156', '852', '160', '121', '858', '621', '244', '445', '607', '714', '56', '943', '436', '688', '735', '969', '546', '190', '337', '269', '948', '451', '818', '114', '39', '111']
['284', '561', '157', '664', '695', '264', '422', '589', '166', '934', '416', '275', '155', '71', '527', '173', '420', '429', '21', '884', '801', '285', '453', '951', '99', '663', '81', '876', '752', '100', '904', '616', '701', '444', '120', '221', '143', '660', '888', '150', '462', '716', '762', '491', '92', '776', '672', '427', '67']
['175', '528', '869', '892', '19', '443', '27', '48', '659', '573', '473', '189', '508', '109', '42', '586', '724', '641', '782', '382', '126', '399', '669', '57', '955', '413', '780', '22', '196', '400', '797', '804', '59', '657', '54', '610', '379', '470', '800', '449', '315', '666', '671', '619', '625', '872', '699', '766', '871']
['933', '96', '825', '147', '940', '17', '68', '649', '44', '879', '539', '392', '383', '654', '941', '459', '105', '742', '965', '294', '52', '802', '202', '909', '172', '794', '213', '276', '241', '415', '375', '494', '815', '14', '613', '748', '919', '113', '721', '101', '417', '430', '730', '488', '596', '764', '554', '397', '711']
['837', '466', '905', '492', '683', '182', '296', '588', '553', '799', '875', '224', '977', '515', '402', '972', '754', '83', '404', '211', '722', '64', '252', '390', '426', '478', '569', '159', '906', '540', '194', '519', '975', '239', '658', '495', '866', '850', '326', '343', '945', '968', '622', '551', '777', '432', '483', '37', '229']
['355', '351', '387', '897', '336', '542', '32', '602', '931', '82', '272', '935', '810', '895', '878', '944', '517', '502', '513', '750', '128', '814', '50', '231', '868', '942', '249', '918', '228', '634', '323', '41', '537', '212', '306', '723', '295', '653', '282', '452', '693', '514', '599', '254', '647', '544', '896', '758', '912']
['222', '233', '353', '401', '31', '88', '809', '970', '23', '783', '979', '469', '311', '201', '623', '77', '915', '512', '340', '138', '832', '58', '409', '893', '376', '237', '740', '715', '963', '396', '394', '926', '361', '680', '214', '13', '908', '364', '322', '673', '535', '796', '53', '562', '489', '698', '974', '279', '712']
['139', '270', '496', '36', '327', '30', '393', '644', '123', '313', '287', '5', '769', '148', '674', '829', '218', '853', '710', '582', '559', '807', '516', '204', '181', '640', '503', '964', '200', '685', '456', '73', '246', '66', '816', '889', '43', '163', '571', '520', '442', '348', '134', '922', '307', '51', '820', '773', '524']
['418', '947', '76', '288', '497', '633', '162', '424', '709', '637', '485', '907', '763', '240', '268', '916', '86', '538', '60', '790', '487', '298', '675', '357', '705', '774', '349', '841', '29', '500', '185', '830', '45', '258', '531', '329', '281', '877', '734', '786', '720', '450', '761', '555', '274', '291', '591', '823', '403']
