['175', '495', '77', '718', '174', '215']
['280', '245', '627', '207', '6', '464']
['615', '269', '468', '420', '373', '249']
['517', '63', '289', '25', '446', '109']
['61', '435', '102', '415', '84', '467']
['180', '130', '136', '75', '542', '124']
['540', '648', '178', '392', '318', '692']
['560', '69', '103', '689', '370', '4']
['450', '194', '675', '314', '47', '121']
['602', '18', '575', '657', '292', '234']
['230', '459', '439', '457', '425', '652']
['222', '445', '465', '643', '492', '266']
['44', '455', '593', '153', '480', '541']
['649', '685', '694', '320', '212', '127']
['168', '620', '274', '635', '192', '3']
['578', '404', '182', '110', '557', '317']
['146', '629', '134', '642', '650', '546']
['663', '27', '224', '250', '452', '94']
['303', '286', '71', '531', '412', '1']
['390', '534', '304', '704', '310', '300']
['659', '716', '257', '481', '530', '229']
['470', '281', '570', '366', '555', '679']
['125', '161', '145', '10', '552', '142']
['223', '714', '276', '499', '599', '138']
['484', '171', '8', '261', '369', '243']
['133', '176', '456', '82', '709', '483']
['436', '29', '177', '586', '639', '307']
['579', '326', '50', '123', '399', '305']
['458', '2', '173', '658', '199', '705']
['351', '591', '444', '711', '291', '698']
['421', '316', '554', '80', '493', '414']
['565', '159', '108', '118', '438', '576']
['62', '610', '203', '403', '453', '466']
['365', '566', '340', '313', '296', '360']
['272', '389', '391', '395', '115', '413']
['630', '529', '38', '473', '181', '409']
['516', '7', '604', '290', '201', '451']
['139', '683', '45', '299', '510', '217']
['433', '271', '228', '242', '653', '609']
['603', '633', '680', '528', '440', '385']
['545', '112', '671', '361', '677', '388']
['151', '64', '328', '574', '311', '279']
['374', '9', '364', '597', '40', '248']
['141', '668', '49', '270', '408', '346']
['79', '97', '306', '59', '572', '137']
['256', '247', '12', '372', '522', '674']
['226', '93', '319', '323', '5', '606']
['143', '135', '632', '132', '526', '651']
['691', '331', '527', '36', '598', '200']
['327', '213', '334', '43', '188', '220']
['702', '382', '101', '67', '378', '196']
['461', '21', '56', '185', '90', '419']
['66', '431', '509', '656', '708', '401']
['634', '595', '463', '107', '624', '295']
['379', '402', '559', '712', '469', '605']
['623', '537', '474', '488', '636', '669']
['111', '646', '462', '288', '700', '587']
['255', '158', '37', '210', '498', '345']
['496', '697', '202', '11', '164', '487']
['672', '330', '508', '190', '494', '660']
['383', '676', '241', '336', '539', '52']
['407', '479', '353', '152', '520', '195']
['582', '690', '504', '341', '429', '661']
['70', '485', '170', '573', '543', '418']
['393', '717', '23', '428', '719', '166']
['426', '583', '246', '358', '315', '411']
['513', '568', '422', '662', '585', '83']
['211', '684', '612', '376', '172', '260']
['325', '216', '251', '558', '338', '490']
['324', '525', '349', '51', '205', '471']
['187', '26', '544', '443', '437', '589']
['423', '715', '478', '631', '619', '267']
['502', '237', '521', '105', '22', '607']
['35', '430', '673', '193', '239', '621']
['236', '95', '356', '503', '15', '489']
['244', '284', '87', '147', '564', '184']
['186', '96', '253', '86', '405', '41']
['701', '368', '34', '106', '449', '600']
['347', '556', '48', '92', '128', '283']
['302', '441', '562', '262', '119', '397']
['74', '380', '350', '14', '298', '265']
['608', '647', '706', '638', '58', '57']
['113', '618', '613', '547', '282', '592']
['89', '569', '448', '523', '505', '235']
['339', '447', '99', '268', '259', '622']
['258', '628', '561', '46', '367', '472']
['681', '417', '696', '514', '637', '377']
['162', '596', '363', '359', '384', '206']
['72', '571', '148', '252', '644', '475']
['625', '126', '611', '240', '699', '511']
['406', '343', '219', '387', '707', '434']
['518', '398', '98', '394', '32', '614']
['17', '477', '39', '666', '55', '381']
['42', '140', '386', '165', '297', '60']
['550', '309', '293', '33', '337', '371']
['163', '482', '563', '348', '149', '400']
['208', '654', '183', '551', '231', '519']
['322', '352', '329', '567', '665', '616']
['497', '85', '577', '238', '117', '486']
['31', '104', '645', '225', '54', '321']
['507', '65', '549', '678', '538', '179']
['476', '301', '81', '122', '617', '273']
['221', '354', '264', '169', '0', '154']
['129', '703', '427', '294', '454', '16']
['78', '357', '233', '626', '287', '532']
['695', '156', '416', '424', '515', '535']
['333', '198', '710', '150', '197', '144']
['73', '20', '442', '688', '254', '114']
['687', '120', '28', '682', '641', '536']
['601', '664', '670', '218', '232', '375']
['355', '277', '533', '312', '524', '155']
['167', '278', '512', '191', '308', '588']
['214', '76', '491', '501', '432', '116']
['640', '655', '157', '460', '506', '30']
['285', '68', '160', '553', '713', '580']
['263', '88', '19', '590', '693', '24']
['53', '344', '581', '13', '410', '100']
['667', '500', '189', '131', '362', '332']
['686', '275', '594', '209', '548', '91']
['335', '396', '227', '204', '584', '342']
