['484', '252', '508', '18', '624', '353', '780', '712', '75', '837', '400', '734', '430', '82', '340', '458', '848', '727', '455', '448', '303', '707', '70', '134', '588', '402', '552', '200', '493', '415', '689']
['80', '645', '897', '591', '452', '96', '481', '253', '513', '554', '314', '803', '875', '720', '207', '506', '158', '687', '419', '203', '504', '823', '797', '832', '438', '119', '318', '42', '243', '121', '570']
['623', '940', '764', '814', '779', '332', '7', '793', '870', '264', '28', '691', '838', '498', '679', '602', '509', '557', '879', '244', '40', '54', '895', '359', '337', '935', '762', '258', '582', '830', '822']
['666', '956', '505', '109', '486', '952', '488', '475', '880', '167', '511', '731', '53', '420', '411', '821', '560', '289', '21', '255', '78', '169', '574', '777', '948', '641', '412', '945', '205', '295', '306']
['881', '717', '643', '910', '88', '923', '265', '339', '5', '583', '215', '592', '514', '491', '153', '237', '540', '36', '782', '407', '367', '815', '52', '406', '913', '389', '943', '628', '854', '955', '621']
['659', '68', '618', '463', '98', '27', '106', '460', '714', '159', '311', '103', '89', '193', '843', '100', '125', '490', '90', '578', '376', '37', '683', '236', '564', '694', '551', '907', '723', '833', '238']
['409', '129', '693', '581', '542', '573', '663', '16', '608', '59', '371', '225', '522', '63', '443', '656', '598', '930', '752', '453', '810', '29', '290', '589', '357', '547', '223', '250', '15', '878', '194']
['609', '277', '825', '926', '176', '79', '390', '928', '585', '670', '315', '156', '594', '741', '398', '579', '416', '117', '949', '279', '439', '209', '601', '634', '889', '710', '805', '953', '181', '697', '851']
['114', '471', '394', '841', '662', '351', '276', '737', '900', '665', '877', '381', '266', '620', '676', '179', '151', '807', '115', '653', '700', '541', '806', '67', '873', '599', '680', '840', '772', '226', '795']
['233', '729', '375', '613', '380', '545', '364', '144', '449', '677', '954', '925', '812', '91', '606', '300', '445', '614', '104', '152', '145', '271', '341', '284', '690', '568', '801', '132', '944', '435', '120']
['286', '363', '222', '743', '1', '69', '760', '886', '519', '136', '934', '461', '242', '859', '546', '362', '334', '947', '239', '83', '459', '6', '26', '593', '470', '51', '553', '820', '131', '124', '45']
['281', '847', '229', '87', '885', '39', '154', '382', '789', '863', '535', '774', '342', '686', '175', '748', '128', '638', '852', '804', '343', '71', '868', '298', '43', '485', '116', '304', '633', '565', '740']
['350', '210', '726', '429', '197', '126', '713', '626', '605', '751', '177', '162', '170', '235', '328', '434', '816', '55', '231', '310', '639', '369', '794', '417', '835', '668', '867', '549', '195', '360', '866']
['395', '330', '373', '4', '738', '617', '559', '755', '377', '2', '901', '698', '356', '399', '846', '817', '246', '667', '695', '379', '317', '444', '480', '746', '24', '924', '781', '327', '567', '441', '228']
['675', '718', '178', '291', '293', '763', '615', '186', '959', '338', '349', '12', '669', '206', '267', '234', '660', '936', '942', '191', '108', '163', '635', '273', '57', '85', '358', '558', '563', '401', '259']
['161', '699', '260', '530', '95', '580', '309', '123', '378', '280', '529', '572', '180', '118', '872', '137', '856', '99', '482', '655', '308', '188', '361', '245', '802', '678', '32', '249', '155', '531', '247']
['254', '902', '834', '607', '632', '472', '489', '212', '739', '347', '937', '11', '17', '844', '214', '767', '23', '931', '871', '548', '524', '596', '107', '64', '915', '920', '10', '631', '527', '348', '671']
['221', '716', '268', '685', '329', '890', '384', '750', '610', '283', '853', '164', '512', '616', '536', '874', '74', '198', '836', '391', '684', '13', '904', '914', '850', '44', '86', '56', '721', '478', '625']
['150', '526', '20', '386', '709', '143', '476', '30', '725', '735', '818', '757', '405', '101', '227', '650', '611', '715', '211', '248', '864', '892', '192', '627', '701', '831', '800', '960', '202', '824', '302']
['590', '753', '65', '528', '105', '331', '464', '571', '708', '410', '932', '157', '758', '747', '113', '938', '393', '216', '706', '94', '736', '425', '257', '261', '673', '860', '165', '322', '34', '333', '437']
['469', '366', '891', '703', '396', '208', '0', '766', '894', '785', '672', '654', '648', '909', '507', '951', '305', '778', '649', '174', '38', '46', '787', '213', '372', '523', '759', '501', '232', '622', '110']
['586', '646', '312', '451', '3', '483', '182', '600', '140', '629', '958', '728', '49', '173', '783', '92', '473', '184', '47', '432', '905', '383', '857', '742', '35', '31', '494', '555', '636', '539', '637']
['456', '187', '861', '385', '733', '424', '102', '269', '22', '77', '9', '414', '705', '171', '502', '256', '58', '517', '450', '922', '950', '292', '19', '826', '906', '479', '141', '533', '537', '263', '468']
