['782', '755', '22', '702', '543', '652', '324', '496', '609', '208', '56', '176', '359', '612', '372', '727', '3', '791', '546', '536', '295', '392', '541', '181', '449', '270', '742', '309', '473', '492', '580', '707']
['648', '747', '266', '583', '333', '47', '45', '571', '504', '531', '434', '593', '390', '260', '446', '562', '12', '415', '569', '710', '255', '343', '351', '501', '502', '327', '590', '396', '273', '500', '345', '596']
['672', '761', '445', '146', '352', '773', '718', '66', '254', '461', '498', '117', '55', '683', '424', '455', '736', '195', '2', '535', '695', '518', '238', '280', '759', '127', '692', '391', '731', '627', '382', '354']
['682', '660', '797', '592', '206', '696', '574', '576', '708', '474', '789', '629', '667', '385', '218', '510', '313', '675', '450', '147', '491', '732', '631', '654', '564', '769', '447', '751', '349', '587', '89', '439']
['37', '104', '170', '794', '363', '397', '379', '229', '125', '566', '746', '764', '464', '617', '202', '358', '387', '749', '780', '221', '771', '166', '796', '113', '124', '82', '148', '242', '437', '636', '201', '222']
['84', '490', '584', '228', '509', '317', '34', '217', '299', '758', '479', '26', '61', '110', '393', '680', '691', '766', '152', '694', '298', '174', '656', '88', '398', '144', '745', '685', '488', '283', '115', '257']
['429', '462', '44', '167', '230', '53', '106', '410', '489', '251', '418', '122', '430', '607', '628', '105', '355', '754', '225', '405', '32', '539', '175', '323', '272', '786', '601', '701', '364', '292', '231', '671']
['223', '210', '417', '591', '133', '205', '603', '662', '478', '285', '653', '348', '247', '234', '649', '52', '788', '340', '4', '190', '514', '282', '103', '1', '668', '128', '46', '334', '781', '689', '468', '95']
['706', '494', '421', '737', '138', '605', '65', '443', '472', '723', '268', '626', '416', '721', '423', '506', '644', '776', '42', '427', '452', '693', '269', '499', '545', '599', '369', '589', '123', '209', '734', '720']
['717', '768', '322', '484', '674', '248', '438', '154', '728', '503', '658', '346', '50', '28', '726', '287', '787', '655', '753', '39', '389', '407', '182', '575', '767', '173', '402', '567', '550', '300', '679', '476']
['399', '703', '548', '235', '453', '635', '622', '29', '528', '362', '15', '433', '243', '477', '21', '353', '171', '191', '740', '262', '772', '534', '688', '724', '561', '795', '448', '553', '265', '156', '312', '220']
['619', '49', '556', '713', '493', '356', '149', '126', '244', '207', '189', '677', '581', '314', '335', '75', '291', '526', '361', '330', '388', '552', '59', '377', '90', '384', '25', '134', '444', '750', '341', '485']
['63', '594', '519', '400', '68', '557', '522', '375', '164', '241', '357', '57', '98', '69', '188', '470', '582', '316', '657', '305', '253', '719', '738', '58', '368', '419', '374', '198', '555', '460', '329', '714']
['289', '409', '778', '373', '507', '425', '774', '729', '307', '466', '370', '263', '698', '508', '463', '520', '41', '178', '765', '48', '258', '604', '286', '614', '71', '139', '278', '700', '624', '611', '784', '306']
['151', '177', '681', '401', '412', '40', '319', '432', '27', '378', '183', '99', '436', '11', '686', '277', '365', '620', '666', '651', '261', '130', '326', '332', '511', '793', '96', '20', '51', '670', '194', '288']
['486', '676', '67', '380', '70', '595', '85', '321', '783', '179', '517', '637', '600', '725', '482', '227', '650', '661', '302', '748', '366', '136', '24', '73', '271', '560', '757', '163', '690', '119', '108', '588']
['712', '739', '572', '135', '8', '153', '483', '785', '337', '338', '252', '547', '630', '38', '565', '160', '137', '413', '404', '458', '646', '132', '62', '422', '97', '142', '360', '216', '454', '320', '219', '383']
['659', '542', '678', '112', '184', '743', '638', '310', '186', '521', '730', '578', '0', '250', '563', '281', '469', '744', '74', '185', '54', '532', '616', '428', '442', '18', '13', '632', '226', '610', '741', '100']
['621', '505', '645', '435', '456', '259', '172', '60', '161', '331', '625', '559', '471', '279', '799', '394', '118', '200', '212', '386', '641', '77', '169', '197', '465', '35', '639', '109', '76', '31', '459', '697']
['715', '684', '722', '480', '293', '304', '687', '573', '735', '246', '440', '155', '17', '249', '91', '296', '192', '102', '336', '81', '30', '451', '538', '613', '120', '699', '669', '554', '187', '199', '14', '381']
['513', '608', '158', '633', '43', '107', '577', '527', '344', '495', '318', '544', '284', '80', '537', '256', '640', '777', '426', '568', '224', '301', '663', '233', '78', '5', '705', '716', '6', '643', '367', '347']
['204', '524', '530', '9', '276', '79', '237', '431', '193', '515', '371', '549', '441', '775', '579', '790', '150', '414', '264', '475', '540', '240', '376', '618', '290', '159', '311', '770', '642', '267', '141', '157']
['168', '308', '598', '203', '570', '586', '162', '733', '792', '350', '121', '64', '709', '145', '303', '756', '481', '704', '457', '215', '597', '93', '525', '760', '665', '111', '165', '10', '664', '467', '763', '634']
['497', '36', '131', '196', '403', '533', '213', '94', '143', '585', '606', '752', '214', '551', '83', '420', '87', '558', '236', '232', '779', '602', '180', '7', '798', '239', '275', '72', '711', '297', '411', '116']
['274', '325', '615', '529', '512', '114', '406', '294', '16', '339', '245', '342', '623', '647', '523', '101', '19', '92', '516', '86', '328', '408', '487', '673', '315', '140', '762', '211', '129', '395', '23', '33']
