['696', '687', '275']
['63', '20', '959']
['83', '129', '755']
['560', '145', '52']
['600', '32', '98']
['192', '717', '439']
['151', '635', '957']
['584', '867', '329']
['18', '905', '668']
['938', '373', '892']
['585', '710', '366']
['298', '961', '743']
['125', '43', '633']
['511', '517', '91']
['965', '881', '706']
['792', '809', '713']
['445', '815', '580']
['123', '296', '414']
['251', '350', '688']
['627', '703', '736']
['533', '154', '222']
['403', '398', '677']
['176', '365', '557']
['14', '620', '851']
['9', '306', '27']
['33', '581', '47']
['61', '167', '382']
['997', '833', '909']
['761', '836', '963']
['384', '907', '955']
['442', '17', '82']
['58', '932', '583']
['207', '880', '261']
['250', '318', '970']
['839', '919', '224']
['240', '85', '195']
['179', '50', '178']
['238', '271', '388']
['407', '354', '546']
['218', '558', '444']
['175', '841', '477']
['752', '895', '505']
['804', '64', '460']
['571', '28', '842']
['534', '914', '896']
['220', '170', '137']
['964', '701', '437']
['952', '911', '200']
['59', '925', '551']
['779', '155', '49']
['770', '916', '132']
['399', '84', '417']
['130', '395', '974']
['422', '709', '994']
['879', '102', '374']
['309', '347', '861']
['81', '538', '315']
['536', '148', '189']
['397', '183', '552']
['502', '344', '595']
['966', '35', '376']
['993', '259', '610']
['920', '742', '825']
['23', '946', '110']
['79', '233', '46']
['15', '968', '999']
['68', '601', '692']
['890', '856', '287']
['930', '500', '866']
['173', '648', '26']
['738', '11', '109']
['356', '873', '843']
['875', '0', '526']
['463', '228', '826']
['322', '678', '641']
['561', '39', '48']
['181', '637', '40']
['685', '2', '381']
['400', '160', '754']
['471', '348', '822']
['882', '941', '768']
['273', '394', '56']
['231', '652', '495']
['197', '622', '410']
['458', '599', '628']
['38', '292', '735']
['745', '541', '520']
['411', '37', '900']
['30', '346', '451']
['268', '70', '252']
['954', '481', '488']
['57', '4', '78']
['150', '872', '681']
['157', '427', '586']
['204', '114', '950']
['465', '498', '545']
['782', '982', '265']
['747', '152', '553']
['547', '385', '852']
['288', '311', '269']
['187', '245', '578']
['509', '96', '336']
['289', '773', '390']
['203', '992', '591']
['223', '510', '756']
['131', '813', '686']
['379', '960', '191']
['143', '971', '54']
['413', '936', '695']
['416', '589', '104']
['443', '67', '902']
['419', '719', '87']
['787', '299', '446']
['700', '638', '317']
['576', '276', '409']
['795', '272', '662']
['512', '420', '425']
['819', '435', '3']
['802', '564', '550']
['577', '75', '72']
['172', '598', '657']
['69', '136', '519']
['503', '607', '661']
['886', '835', '605']
['316', '729', '304']
['469', '300', '139']
['504', '751', '73']
['341', '490', '832']
['302', '327', '153']
['777', '462', '939']
['452', '931', '834']
['225', '746', '235']
['606', '190', '634']
['124', '562', '871']
['217', '116', '590']
['708', '640', '323']
['928', '242']
['213', '7', '473']
['665', '718', '664']
['199', '406', '456']
['256', '126', '41']
['858', '910', '918']
['436', '266', '979']
['255', '726', '375']
['797', '567', '725']
['820', '865', '785']
['142', '817', '996']
['613', '707', '380']
['807', '97', '253']
['34', '991', '89']
['574', '786', '31']
['369', '733', '301']
['13', '371', '721']
['549', '159', '995']
['798', '100', '597']
['934', '161', '593']
['144', '210', '247']
['671', '981', '917']
['556', '21', '480']
['134', '280', '764']
['645', '750', '303']
['453', '279', '853']
['506', '535', '737']
['944', '849', '476']
['650', '823', '929']
['205', '117', '529']
['566', '660', '948']
['642', '45', '953']
['831', '202', '478']
['227', '267', '264']
['36', '715', '933']
['569', '618', '523']
['141', '185', '816']
['805', '863', '482']
['494', '806', '789']
['616', '525', '351']
['194', '221', '765']
['448', '430', '320']
['962', '362', '539']
['543', '528', '885']
['603', '215', '617']
['133', '74', '146']
['149', '332', '619']
['248', '758', '277']
['838', '848', '293']
['623', '164', '967']
['532', '579', '405']
['943', '257', '334']
['483', '6', '915']
['679', '766', '691']
['107', '177', '893']
['783', '93', '612']
['741', '449', '479']
['324', '294', '457']
['77', '461', '854']
['260', '621', '702']
['372', '338', '12']
['723', '762', '360']
['870', '412', '392']
['166', '122', '88']
['337', '722', '226']
['258', '575', '497']
['663', '636', '884']
['891', '485', '791']
['239', '951', '119']
['105', '286', '811']
['440', '76', '165']
['455', '232', '987']
['568', '749', '211']
['810', '874', '829']
['168', '80', '513']
['724', '739', '486']
['433', '1', '630']
['169', '705', '295']
['472', '508', '212']
['800', '572', '921']
['236', '361', '639']
['651', '972', '698']
['128', '86', '521']
['313', '570', '171']
['563', '127', '699']
['969', '760', '728']
['647', '877', '540']
['246', '864', '426']
['308', '649', '714']
['990', '319', '345']
['312', '788', '249']
['830', '284', '359']
['196', '730', '209']
['22', '614', '887']
['656', '386', '985']
['669', '368', '121']
['352', '840', '283']
['103', '776', '537']
['42', '8', '799']
['423', '631', '25']
['860', '748', '147']
['956', '947', '396']
['516', '780', '55']
['781', '188', '878']
['573', '290', '441']
['343', '501', '716']
['44', '976', '135']
['693', '694', '305']
['643', '307', '524']
['274', '609', '666']
['544', '101', '903']
['753', '845', '763']
['559', '464', '812']
['927', '837', '653']
['330', '629', '331']
['333', '402', '158']
['588', '438', '285']
['241', '894', '95']
['340', '391', '901']
['115', '475', '24']
['518', '774', '377']
['214', '548', '339']
['676', '667', '727']
['771', '262', '326']
['759', '16', '711']
['193', '683', '744']
['387', '393', '859']
['632', '565', '793']
['850', '732', '206']
['174', '945', '592']
['912', '940', '984']
['654', '120', '484']
['888', '370', '794']
['65', '828', '514']
['355', '428', '712']
['321', '855', '821']
['432', '278', '889']
['243', '389', '975']
['784', '973', '626']
['587', '625', '335']
['680', '99', '156']
['827', '769', '454']
['767', '924', '182']
['499', '949', '857']
['818', '611', '531']
['493', '655', '824']
['325', '234', '180']
['237', '62', '198']
['913', '814', '684']
['883', '367', '60']
['530', '353', '421']
['757', '582', '989']
['5', '51', '978']
['808', '847']
['644', '113', '937']
['230', '602', '977']
['624', '790', '357']
['291', '604', '507']
['468', '229', '474']
['922', '342', '801']
['363', '897', '646']
['424', '803', '66']
['942', '447', '431']
['19', '906', '731']
['522', '108', '515']
['112', '844', '542']
['111', '140', '310']
['408', '434', '92']
['186', '281', '418']
['450', '868', '926']
['254', '459', '467']
['704', '594', '862']
['201', '297', '492']
['29', '184', '401']
['904', '986', '489']
['554', '314', '935']
['675', '470', '527']
['162', '282', '908']
['682', '364', '596']
['118', '869', '659']
['138', '720', '216']
['899', '608', '429']
['270', '778', '219']
['998', '163', '898']
['10', '53', '672']
['796', '846', '673']
['404', '690', '772']
['94', '487', '670']
['415', '263', '496']
['71', '378', '90']
['106', '615', '383']
['674', '466', '358']
['349', '658', '244']
['208', '555', '734']
['876', '923', '328']
['775', '983', '491']
['697', '980', '740']
['988', '689', '958']
