['193', '290', '644', '762', '231']
['473', '854', '166', '521', '186']
['288', '541', '491', '866', '594']
['705', '613', '226', '536', '368']
['747', '291', '744', '347', '475']
['533', '799', '49', '123', '634']
['168', '76', '14', '413', '81']
['956', '311', '721', '401', '566']
['59', '724', '1', '787', '394']
['363', '958', '976', '669', '618']
['869', '152', '345', '38', '810']
['844', '469', '630', '558', '327']
['393', '910', '726', '178', '215']
['819', '435', '660', '167', '154']
['818', '364', '858', '256', '595']
['943', '845', '892', '179', '119']
['802', '708', '757', '104', '950']
['876', '901', '952', '554', '333']
['624', '641', '670', '812', '978']
['391', '593', '631', '575', '395']
['539', '735', '588', '284', '249']
['769', '676', '776', '936', '916']
['730', '568', '606', '381', '529']
['959', '106', '513', '449', '887']
['880', '995', '964', '614', '828']
['603', '687', '990', '633', '295']
['944', '895', '11', '108', '303']
['315', '673', '833', '314', '585']
['727', '792', '772', '864', '292']
['774', '767', '57', '918', '462']
['426', '745', '912', '176', '410']
['579', '574', '40', '436', '698']
['32', '682', '432', '636', '773']
['265', '793', '147', '578', '326']
['248', '775', '954', '21', '616']
['966', '985', '87', '69', '584']
['939', '316', '411', '960', '524']
['358', '99', '859', '623', '336']
['365', '241', '742', '760', '260']
['512', '908', '974', '768', '837']
['904', '681', '639', '421', '846']
['276', '343', '185', '443', '373']
['131', '461', '573', '50', '604']
['183', '120', '459', '596', '677']
['101', '474', '695', '485', '855']
['334', '808', '444', '620', '645']
['817', '220', '664', '423', '572']
['237', '840', '853', '72', '275']
['646', '697', '96', '268', '875']
['824', '805', '416', '255', '415']
['240', '961', '849', '795', '962']
['198', '538', '263', '217', '931']
['997', '151', '886', '758', '678']
['309', '132', '25', '294', '431']
['706', '383', '127', '68', '998']
['834', '62', '826', '926', '544']
['748', '287', '508', '24', '731']
['230', '407', '58', '663', '330']
['51', '530', '440', '182', '425']
['583', '543', '203', '159', '827']
['877', '867', '753', '825', '737']
['781', '894', '752', '229', '109']
['53', '882', '412', '80', '649']
['420', '667', '242', '234', '162']
['590', '658', '328', '576', '625']
['398', '27', '271', '180', '142']
['925', '643', '632', '15', '227']
['139', '515', '450', '490', '324']
['257', '177', '28', '261', '542']
['430', '738', '755', '269', '481']
['986', '718', '798', '118', '243']
['360', '88', '638', '375', '341']
['17', '785', '504', '349', '567']
['940', '235', '656', '439', '418']
['655', '143', '137', '653', '930']
['862', '223', '652', '946', '457']
['934', '222', '392', '717', '839']
['899', '896', '150', '814', '601']
['577', '175', '184', '296', '842']
['272', '693', '199', '253', '414']
['278', '404', '208', '308', '273']
['26', '447', '111', '41', '874']
['525', '713', '694', '503', '509']
['110', '487', '396', '848', '90']
['597', '65', '796', '299', '464']
['70', '283', '194', '470', '699']
['587', '680', '615', '245', '955']
['786', '78', '359', '264', '386']
['971', '422', '979', '672', '570']
['861', '158', '228', '453', '999']
['371', '107', '754', '344', '165']
['89', '813', '659', '913', '146']
['945', '668', '266', '743', '868']
['31', '709', '468', '477', '437']
['993', '782', '764', '212', '451']
['921', '911', '105', '923', '277']
['346', '733', '10', '929', '685']
['97', '662', '692', '688', '286']
['800', '545', '973', '501', '130']
['520', '390', '514', '463', '338']
['353', '254', '197', '190', '251']
['719', '33', '873', '647', '448']
['306', '77', '366', '117', '429']
['736', '756', '535', '192', '191']
['361', '354', '189', '893', '499']
['458', '679', '987', '352', '42']
['22', '282', '370', '883', '704']
['591', '428', '626', '942', '149']
['399', '305', '761', '560', '103']
['751', '518', '994', '778', '335']
['232', '750', '806', '969', '388']
['476', '64', '784', '666', '550']
['804', '467', '34', '523', '903']
['66', '378', '820', '129', '968']
['280', '357', '831', '711', '200']
['211', '317', '148', '6', '140']
['763', '714', '915', '408', '169']
['500', '935', '801', '377', '466']
['651', '427', '832', '93', '163']
['919', '516', '723', '214', '823']
['740', '39', '136', '348', '890']
['497', '765', '637', '493', '125']
['18', '484', '953', '790', '900']
['598', '112', '661', '927', '9']
['815', '362', '173', '329', '350']
['932', '455', '91', '310', '218']
['267', '156', '580', '3', '409']
['124', '465', '369', '55', '216']
['517', '571', '400', '397', '442']
['710', '928', '454', '555', '569']
['258', '301', '951', '16', '702']
['728', '642', '906', '452', '759']
['405', '374', '725', '486', '94']
['488', '302', '434', '519', '841']
['482', '963', '221', '720', '233']
['312', '252', '30', '807', '385']
['648', '472', '219', '621', '92']
['206', '920', '0', '510', '372']
['174', '797', '885', '809', '247']
['553', '749', '236', '981', '20']
['635', '879', '259', '938', '872']
['891', '794', '863', '281', '562']
['298', '297', '134', '325', '905']
['116', '122', '712', '141', '379']
['909', '860', '559', '181', '556']
['502', '498', '675', '82', '45']
['564', '907', '657', '715', '98']
['304', '592', '115', '546', '202']
['856', '135', '531', '982', '100']
['36', '195', '914', '507', '205']
['948', '339', '293', '816', '683']
['608', '619', '933', '153', '445']
['331', '739', '307', '204', '356']
['506', '924', '734', '406', '836']
['419', '917', '456', '822', '628']
['170', '989', '771', '949', '549']
['629', '7', '35', '741', '789']
['351', '599', '607', '332', '44']
['114', '947', '878', '770', '881']
['532', '870', '888', '84', '95']
['210', '424', '526', '640', '612']
['47', '319', '540', '528', '489']
['492', '551', '707', '52', '37']
['602', '537', '552', '857', '654']
['703', '898', '441', '8', '829']
['102', '380', '157', '61', '402']
['511', '766', '902', '582', '780']
