['414', '362', '302', '7', '120', '101', '456', '334', '115', '606', '200', '472', '0', '52', '795', '582', '459', '443', '684', '49', '99', '139', '26', '259', '94', '88', '688', '22', '110', '639', '732', '595', '425', '526', '717', '324', '574', '427', '363', '557', '206', '21', '602', '117', '413', '612', '678', '122', '770', '291']
['396', '63', '525', '666', '192', '105', '730', '234', '495', '251', '752', '720', '740', '388', '517', '636', '133', '140', '166', '509', '446', '714', '791', '91', '410', '505', '173', '56', '219', '471', '540', '248', '288', '150', '282', '317', '628', '435', '486', '421', '155', '252', '712', '481', '124', '30', '637', '561', '305', '783']
['311', '555', '38', '249', '157', '775', '290', '59', '261', '710', '428', '553', '650', '135', '449', '777', '601', '406', '758', '296', '797', '764', '575', '32', '310', '554', '403', '390', '599', '761', '238', '489', '751', '529', '216', '66', '755', '630', '96', '383', '106', '484', '502', '144', '349', '539', '353', '654', '466', '306']
['265', '178', '228', '89', '237', '424', '597', '523', '412', '440', '528', '81', '90', '399', '240', '700', '377', '222', '658', '642', '143', '149', '738', '619', '545', '728', '573', '550', '445', '294', '594', '93', '510', '429', '364', '655', '799', '673', '571', '297', '40', '398', '479', '748', '179', '79', '182', '104', '280', '617']
['246', '494', '681', '598', '690', '503', '552', '42', '524', '343', '569', '371', '379', '441', '462', '255', '454', '709', '762', '671', '121', '478', '394', '368', '500', '376', '493', '527', '622', '610', '448', '482', '734', '274', '470', '374', '648', '645', '757', '507', '675', '694', '586', '702', '431', '771', '367', '615', '537', '447']
['689', '275', '794', '422', '175', '284', '359', '759', '496', '589', '742', '346', '750', '779', '532', '67', '633', '483', '782', '342', '584', '103', '8', '568', '373', '656', '318', '719', '372', '4', '123', '53', '113', '336', '409', '605', '792', '209', '151', '303', '588', '55', '163', '9', '262', '682', '504', '75', '307', '535']
['344', '210', '98', '463', '679', '680', '202', '632', '62', '380', '465', '433', '129', '659', '24', '426', '309', '793', '635', '747', '564', '499', '227', '618', '705', '177', '168', '501', '196', '616', '245', '335', '530', '74', '397', '266', '272', '665', '672', '513', '638', '267', '5', '646', '722', '578', '593', '194', '304', '27']
['736', '3', '172', '492', '711', '767', '205', '114', '521', '704', '158', '174', '765', '260', '142', '660', '458', '50', '58', '191', '92', '416', '320', '572', '340', '773', '287', '756', '611', '744', '514', '641', '185', '778', '86', '271', '387', '136', '257', '737', '522', '461', '754', '207', '95', '354', '559', '183', '703', '392']
['562', '415', '154', '25', '664', '696', '211', '100', '254', '727', '753', '541', '512', '402', '243', '626', '33', '473', '128', '781', '560', '198', '467', '224', '544', '162', '384', '726', '393', '299', '235', '48', '776', '643', '716', '698', '784', '731', '786', '538', '13', '270', '80', '769', '348', '276', '35', '780', '333', '464']
['652', '519', '184', '506', '232', '239', '116', '391', '488', '87', '455', '647', '229', '41', '370', '695', '723', '774', '16', '2', '366', '295', '565', '64', '558', '551', '439', '314', '19', '308', '283', '242', '263', '708', '580', '531', '119', '745', '787', '301', '12', '10', '404', '171', '418', '292', '460', '533', '217', '218']
['423', '339', '407', '511', '132', '176', '627', '108', '434', '536', '277', '608', '97', '772', '395', '452', '85', '543', '360', '516', '419', '189', '674', '278', '579', '1', '146', '625', '587', '220', '161', '127', '330', '474', '480', '692', '581', '583', '180', '707', '39', '715', '518', '315', '547', '165', '476', '137', '68', '683']
['313', '743', '34', '286', '624', '798', '657', '138', '631', '44', '134', '325', '389', '687', '432', '152', '385', '204', '613', '607', '17', '43', '706', '170', '18', '226', '256', '785', '400', '356', '741', '264', '491', '497', '47', '73', '347', '341', '634', '258', '663', '457', '542', '141', '548', '669', '621', '490', '51', '685']
['65', '357', '215', '667', '201', '181', '125', '186', '649', '293', '733', '749', '160', '788', '83', '214', '250', '596', '126', '450', '405', '268', '60', '77', '28', '111', '145', '789', '312', '676', '233', '693', '279', '169', '520', '670', '102', '629', '735', '382', '651', '746', '508', '358', '338', '23', '345', '329', '718', '468']
['14', '298', '725', '600', '269', '640', '131', '566', '84', '29', '78', '577', '477', '285', '195', '691', '653', '147', '713', '369', '247', '300', '451', '417', '604', '289', '760', '321', '54', '590', '378', '644', '190', '585', '15', '57', '515', '444', '420', '614', '739', '109', '411', '563', '534', '107', '442', '213', '763', '236']
['159', '241', '766', '699', '556', '199', '11', '623', '281', '576', '221', '61', '729', '721', '253', '273', '156', '546', '70', '148', '662', '6', '118', '485', '677', '592', '212', '437', '365', '475', '620', '322', '31', '668', '337', '436', '361', '328', '609', '352', '697', '46', '130', '350', '223', '768', '167', '351', '375', '570']
['230', '701', '82', '487', '796', '408', '76', '498', '567', '327', '331', '188', '661', '72', '453', '355', '469', '438', '724', '71', '603', '203', '326', '197', '549', '37', '686', '790', '187', '69', '112', '208', '153', '193', '225', '244', '45', '20', '319', '386', '430', '164', '332', '231', '316', '381', '591', '36', '401', '323']
