['A51', 'B51', 'D51']
['G14', 'E16', 'F16']
['C44', 'A45', 'C45']
['E7', 'F7', 'G7']
['A10', 'B10', 'F10']
['E25', 'F25', 'H25']
['E5', 'A27', 'F27']
['A5', 'B16', 'G50']
['A7', 'B7', 'F18']
['A34', 'B34', 'D34']
['A25', 'A43', 'D43']
['G13', 'E30', 'G30']
['B18', 'C18', 'D18']
['35', '49', '55']
['C4', 'G10']
['G6', 'E9', 'G9']
['A6', 'B6', 'F6']
['G24', 'C38', 'C39']
['B31', 'D31', 'A32']
['C21', 'B35', 'F42']
['H29', 'H30', 'C51']
['B36', 'C36', 'D36']
['B17', 'D47', 'E47']
['B5', 'C22', 'C23']
['B9', 'A54', 'F54']
['A53', 'B53', 'C53']
['32', '34', '45']
['C12', 'D12', 'C13']
['D5', 'F30', 'B41']
['C8', 'D13', 'E13']
['E20', 'G20', 'H20']
['G3', 'G15', 'D48']
['36', '38', '51']
['A28', 'C28', 'C40']
['F5', 'A46', 'C46']
['E14', 'H14', 'G29']
['H31', 'E32', 'H32']
['H16', 'G38', 'C48']
['16', '18', '22']
['E15', 'F15', 'H15']
['G18', 'C25', 'D25']
['B28', 'D28', 'H40']
['A13', 'B13', 'B25']
['D26', 'E26', 'G26']
['41', '56', '58']
['A40', 'B40', 'F40']
['E44', 'H44', 'H52']
['E51', 'G51', 'H51']
['A29', 'B29', 'B49']
['D24', 'E24', 'F46']
['B3', 'D3', 'H43']
['A0', 'C0', 'D0']
['37', '47', '53']
['A12', 'B12', 'F12']
['C2', 'B38', 'D38']
['E54', 'G54', 'H54']
['C30', 'H39', 'E40']
['E1', 'G1', 'F51']
['30', '33', '54']
['E28', 'F28', 'H28']
['C29', 'G44', 'B47']
['A44', 'D44', 'F44']
['E22', 'G22', 'G37']
['H1', 'H2', 'A18']
['B14', 'D14', '13']
['C5', 'B23', 'D23']
['A3', 'C3', 'H21']
['G5', 'D46', 'E46']
['14', '19', '23']
['G32', 'B54', 'D54']
['C37', 'D37', 'E37']
['E42', 'H42', 'H48']
['H5', 'H6', 'H24']
['C6', 'C7', 'D7']
['2', '5', '27']
['E27', 'G27', 'G42']
['E11', 'H11', 'H12']
['A17', 'A52', 'C52']
['12', '21', '29']
['D19', 'E19', 'H19']
['A1', 'B1', 'C1']
['A39', 'B39', 'D39']
['F23', 'C33', 'D33']
['D6', 'C10', 'C11']
['A4', 'B4', 'D4']
['A2', 'B2', 'D2']
['G11', 'A50', 'F50']
['H37', 'E38', 'H38']
['E10', 'B52', 'D52']
['E43', 'F43', 'G43']
['A16', 'C16', 'D16']
['9', '17', '20']
['A19', 'C19', 'F19']
['E48', 'F48', 'G48']
['F20', 'A36', 'F36']
['B20', 'B26', 'C54']
['1', '6', '15']
['E53', 'G53', 'H53']
['F17', 'G17', 'G19']
['D40', 'A48', 'B48']
['E8', 'B50', 'D50']
['A30', 'G39', 'B44']
['A22', 'D22', 'F22']
['F32', 'A38', 'F38']
['E0', 'H0', 'G28']
['E31', 'F31', 'G31']
['F9', 'E34', 'G34']
['A41', 'C41', 'D41']
['E36', 'G36', 'F49']
['B22', 'F35', 'B42']
['C24', 'B43', '3']
['A26', 'C26', 'F26']
['F11', 'B37', 'G46']
['4', '10', '11']
['F0', 'E12', 'G12']
['E45', 'H45', 'H46']
['E2', 'F2', 'G2']
['E41', 'G41', 'H41']
['F4', 'F41', 'B46']
['A24', 'B24', 'F24']
['E23', 'G23', 'H23']
['46', '52', '57']
['F14', 'C34', 'C35']
['A14', 'C14', 'F53']
['D10', 'H27', 'G47']
['0', '7', '24']
['A49', 'C49', 'D49']
['31', '40', '42']
['C27', 'D27', 'D53']
['A9', 'C9', 'D9']
['A33', 'B33', 'F33']
['E4', 'G4', 'H4']
['E35', 'G35', 'H35']
['F13', 'A35', 'D35']
['D29', 'E29', 'F29']
['D1', 'E3', 'H3']
['H49', 'E50', 'H50']
['G8', 'B30', 'D30']
['A15', 'B15', 'D15']
['A8', 'B8', 'D8']
['43', '48', '59']
['A37', 'F37', 'G40']
['A20', 'C20', 'D20']
['B32', 'C32', 'D32']
['B0', 'F8', '8']
['39', '44', '50']
['H17', 'E18', 'H18']
['E52', 'F52', 'G52']
['C17', 'D17', 'E17']
['C15', 'E49', 'G49']
['E21', 'F21', 'G21']
['B19', 'B45', 'D45']
['H7', 'H8', 'A23']
['A11', 'B11', 'D11']
['H13', 'E39', 'F39']
['E33', 'G33', 'G45']
['A42', 'C42', 'D42']
['F3', 'A31', 'C31']
['A21', 'B21', 'D21']
['G0', 'E6', 'F34']
['A47', 'C47', 'F47']
['F1', 'G25', 'C43']
['G16', 'B27', 'H47']
['H26', 'H36', 'F45']
['H33', 'H34', 'C50']
['25', '26', '28']
['H9', 'H10', 'H22']
