['55', '147', '211', '227', '233', '285']
['141', '279', '336', '342', '367', '424']
['79', '111', '238', '319', '359', '371']
['8', '137', '142', '251', '310', '370']
['96', '119', '196', '207', '390', '392']
['22', '71', '217', '230', '247', '379']
['20', '77', '180', '191', '204', '320']
['18', '149', '258', '272', '294', '330']
['102', '239', '280', '387', '420', '427']
['138', '188', '277', '299', '317', '375']
['72', '113', '184', '235', '274', '382']
['33', '44', '105', '153', '160', '365']
['45', '90', '131', '173', '248', '362']
['49', '121', '172', '255', '276', '283']
['62', '104', '176', '224', '271', '422']
['54', '101', '242', '315', '357', '403']
['12', '80', '110', '213', '236', '417']
['2', '107', '116', '214', '215', '340']
['103', '146', '150', '263', '378', '416']
['17', '187', '228', '349', '364', '430']
['92', '286', '298', '337', '344', '408']
['47', '182', '338', '395', '414', '419']
['68', '253', '284', '305', '347', '351']
['48', '84', '293', '314', '360', '402']
['166', '244', '269', '328', '343', '354']
['30', '81', '129', '266', '273', '396']
['14', '23', '65', '161', '386', '426']
['93', '109', '120', '124', '346', '399']
['118', '151', '267', '385', '400', '428']
['21', '26', '46', '231', '261', '381']
['83', '117', '139', '268', '331', '358']
['64', '85', '106', '154', '158', '221']
['94', '157', '169', '185', '287', '369']
['61', '219', '259', '401', '418', '429']
['19', '35', '189', '210', '318', '329']
['31', '126', '177', '245', '372', '405']
['135', '226', '316', '326', '423', '431']
['209', '237', '295', '307', '325', '333']
['38', '53', '198', '225', '312', '363']
['24', '41', '59', '190', '195', '229']
['52', '144', '178', '290', '355', '380']
['7', '36', '114', '140', '252', '425']
['5', '164', '165', '218', '240', '368']
['73', '130', '159', '203', '246', '373']
['206', '254', '313', '324', '404', '409']
['115', '133', '134', '167', '171', '421']
['28', '87', '95', '112', '132', '301']
['0', '1', '3', '4', '98', '100']
['25', '156', '174', '282', '289', '415']
['75', '145', '162', '270', '288', '306']
['222', '223', '257', '350', '353', '394']
['127', '212', '265', '291', '303', '384']
['66', '74', '128', '220', '309', '366']
['10', '51', '56', '200', '243', '297']
['42', '143', '168', '296', '323', '348']
['63', '91', '136', '205', '376', '397']
['67', '78', '89', '181', '398', '412']
['32', '183', '197', '208', '249', '321']
['148', '201', '278', '292', '361', '413']
['15', '34', '97', '304', '334', '335']
['27', '88', '192', '199', '234', '262']
['256', '311', '322', '332', '406', '407']
['16', '108', '152', '216', '377', '411']
['6', '58', '194', '232', '275', '374']
['29', '69', '193', '241', '281', '341']
['70', '76', '86', '179', '260', '302']
['9', '43', '57', '123', '308', '327']
['39', '40', '170', '175', '389', '410']
['125', '186', '250', '264', '300', '345']
['99', '122', '163', '339', '383', '388']
['11', '37', '60', '352', '356', '393']
['13', '50', '82', '155', '202', '391']
