['11', '15', '40', '45', '56', '73', '90', '98', '100', '109', '121', '136', '152', '208', '213', '233']
['24', '42', '77', '83', '84', '92', '105', '110', '112', '116', '144', '148', '158', '200', '222', '253']
['22', '31', '67', '88', '91', '99', '114', '134', '151', '164', '179', '202', '212', '228', '239', '240']
['14', '19', '21', '33', '61', '111', '137', '143', '165', '203', '215', '216', '227', '231', '244', '255']
['17', '36', '48', '68', '79', '120', '156', '168', '170', '178', '186', '192', '199', '209', '229', '250']
['9', '29', '38', '78', '125', '126', '130', '135', '142', '145', '162', '184', '198', '207', '224', '248']
['16', '35', '57', '72', '75', '89', '95', '97', '118', '127', '147', '157', '169', '177', '201', '243']
['1', '37', '54', '58', '65', '71', '106', '117', '171', '194', '218', '220', '237', '241', '247', '251']
['2', '8', '18', '27', '32', '39', '50', '76', '93', '119', '172', '175', '210', '211', '226', '246']
['5', '7', '69', '80', '102', '104', '122', '129', '146', '154', '174', '176', '183', '221', '223', '238']
['4', '52', '60', '70', '86', '101', '113', '124', '140', '161', '167', '173', '190', '206', '219', '235']
['13', '20', '23', '26', '41', '47', '62', '87', '94', '149', '150', '182', '185', '232', '234', '252']
['28', '46', '49', '51', '64', '85', '131', '132', '139', '141', '163', '191', '196', '214', '230', '242']
['30', '34', '59', '63', '82', '103', '108', '128', '155', '160', '181', '195', '205', '217', '245', '254']
['0', '3', '6', '12', '43', '53', '55', '66', '123', '133', '138', '159', '189', '204', '225', '249']
['10', '25', '44', '74', '81', '96', '107', '115', '153', '166', '180', '187', '188', '193', '197', '236']
