['JaeCrowder', 'CediOsman']
['MarkieffMorris', 'IanMahinmi']
['TimHardaway', 'FrankNtilikina']
['DarrenCollison', 'MylesTurner']
['JeffTeague', 'TyusJones']
['TyrekeEvans', 'DeyontaDavis']
['KyleAnderson', 'BrynForbes']
['CarmeloAnthony', 'MikeScott']
['MarcusMorris', 'SemiOjeleye']
['EvanFournier', 'MarioHezonja']
['JeffGreen', 'JoseCalderon']
['RaymondFelton', 'AndreRoberson']
['AlexLen', 'TysonChandler']
['WesleyJohnson', 'SamDekker']
['GiannisAntetokounmpo', 'SterlingBrown']
['EricGordon', 'ChrisPaul']
['KembaWalker', 'TreveonGraham']
['BrookLopez', 'CoreyBrewer']
['JaylenBrown', 'MarcusSmart']
['KristapsPorzingis', 'KyleOQuinn']
['JJRedick', 'TJMcConnell']
['JonasJerebko', 'RodneyHood']
['BenMcLemore', 'JamesEnnis']
['AlFarouqAminu', 'EdDavis']
['JarellMartin', 'JaMychalGreen']
['SergeIbaka', 'DelonWright']
['TroyDaniels', 'MarqueseChriss']
['AllenCrabbe', 'JoeHarris']
['GoranDragic', 'BamAdebayo']
['JonathonSimmons', 'NikolaVucevic']
['PJTucker', 'NeneHilario']
['KevinDurant', 'NickYoung']
['PatConnaughton', 'MauriceHarkless']
['MaxiKleber', 'SalahMejri']
['BrandonIngram', 'LarryNance']
['KarlAnthonyTowns', 'GorguiDieng']
['RussellWestbrook', 'AlexAbrines']
['AaronGordon', 'DJAugustin']
['JonasValanciunas', 'FredVanVleet']
['RyanAnderson', 'LucMbahaMoute']
['MasonPlumlee', 'TreyLyles']
['CristianoFelicio', 'PaulZipser']
['MarvinWilliams', 'MalikMonk']
['DirkNowitzki', 'DevinHarris']
['HassanWhiteside', 'DionWaiters']
['BradleyBeal', 'MarcinGortat']
['ReggieJackson']
['JamesJohnson', 'KellyOlynyk']
['BogdanBogdanovic', 'ZachRandolph']
['TajGibson', 'NemanjaBjelica']
['KevinLove', 'TristanThompson']
['JustinHoliday', 'DenzelValentine']
['KhrisMiddleton', 'JasonTerry']
['ThaddeusYoung', 'LanceStephenson']
['GaryHarris', 'EmmanuelMudiay']
['WillieCauleyStein', 'GeorgeHill']
['JohnHenson', 'JabariParker']
['EricBledsoe', 'TonySnell']
['JoeIngles', 'EkpeUdoh']
['TobiasHarris', 'DeAndreJordan']
['EnesKanter', 'MichaelBeasley']
['JRSmith', 'JodieMeeks']
['ShaunLivingston', 'PatrickMcCaw']
['LauriMarkkanen', 'JerianGrant']
['AnthonyDavis', 'NikolaMirotic']
['KyleKuzma', 'JoshHart']
['KellyOubre', 'JohnWall']
['YogiFerrell', 'JJBarea']
['JoelEmbiid', 'AmirJohnson']
['JusufNurkic', 'EvanTurner']
['DonovanMitchell', 'DerrickFavors']
['BenSimmons', 'JerrydBayless']
['DeMarcusCousins', 'DanteCunningham']
['RobinLopez', 'KrisDunn']
['DarioSaric', 'RichaunHolmes']
['AndreDrummond', 'AveryBradley']
['JuliusRandle', 'JordanClarkson']
