['32', '152', '318', '353']
['53', '199', '434', '490']
['137', '296', '333', '375']
['69', '98', '239', '371']
['100', '228', '351', '480']
['29', '256', '423', '429']
['229', '247', '425', '450']
['277', '299', '341', '365']
['128', '408', '454', '491']
['46', '204', '276', '495']
['67', '68', '255', '349']
['43', '233', '257', '332']
['47', '88', '241', '287']
['145', '271', '284', '462']
['9', '175', '266', '285']
['28', '34', '108', '118']
['170', '325', '358', '367']
['116', '224', '378', '489']
['72', '142', '231', '264']
['6', '56', '210', '439']
['8', '75', '124', '273']
['33', '189', '324', '385']
['36', '190', '238', '436']
['38', '250', '345', '417']
['62', '109', '227', '289']
['60', '258', '265', '472']
['196', '262', '269', '452']
['63', '135', '295', '445']
['221', '328', '403', '440']
['52', '86', '121', '344']
['20', '409', '420', '487']
['176', '181', '223', '453']
['198', '354', '364', '479']
['149', '186', '251', '374']
['85', '139', '272', '331']
['57', '323', '369', '486']
['94', '300', '413', '430']
['26', '71', '237', '309']
['4', '101', '114', '193']
['10', '111', '316', '335']
['87', '172', '362', '396']
['301', '313', '322', '357']
['133', '451', '470', '485']
['40', '188', '379', '433']
['23', '150', '312', '484']
['24', '54', '236', '297']
['205', '350', '474', '475']
['82', '381', '397', '469']
['173', '274', '307', '330']
['25', '113', '212', '326']
['105', '442', '444', '483']
['79', '185', '216', '259']
['156', '171', '321', '471']
['3', '197', '225', '244']
['155', '253', '304', '415']
['65', '248', '418', '481']
['45', '106', '195', '383']
['7', '119', '342', '460']
['177', '217', '361', '416']
['267', '336', '352', '407']
['51', '104', '280', '473']
['131', '162', '226', '387']
['283', '293', '366', '419']
['214', '306', '394', '443']
['14', '219', '268', '449']
['107', '125', '406', '456']
['130', '242', '311', '477']
['339', '377', '412', '457']
['17', '22', '446', '493']
['334', '422', '438', '448']
['30', '91', '95', '168']
['41', '435', '437', '478']
['120', '346', '458', '494']
['80', '136', '209', '466']
['12', '246', '337', '400']
['1', '55', '77', '414']
['50', '90', '184', '380']
['19', '146', '288', '340']
['179', '211', '395', '399']
['39', '66', '83', '93']
['148', '174', '191', '410']
['49', '84', '360', '389']
['290', '308', '355', '392']
['44', '220', '386', '401']
['140', '201', '202', '249']
['11', '159', '252', '303']
['31', '99', '180', '421']
['74', '232', '343', '455']
['207', '243', '317', '476']
['89', '97', '372', '465']
['161', '279', '363', '431']
['59', '144', '208', '391']
['42', '230', '424', '461']
['61', '70', '141', '388']
['138', '154', '254', '459']
['182', '286', '398', '488']
['194', '260', '315', '338']
['13', '359', '432', '468']
['2', '192', '245', '411']
['110', '115', '203', '310']
['64', '147', '183', '348']
['21', '132', '327', '404']
['15', '16', '157', '319']
['5', '117', '222', '347']
['96', '126', '163', '206']
['73', '122', '165', '376']
['76', '178', '373', '390']
['275', '298', '427', '441']
['81', '234', '278', '320']
['187', '261', '281', '282']
['92', '164', '329', '405']
['18', '35', '151', '160']
['37', '169', '270', '384']
['302', '428', '447', '467']
['240', '294', '463', '464']
['27', '263', '370', '382']
['78', '215', '356', '402']
['235', '305', '368', '482']
['58', '129', '213', '426']
['48', '112', '143', '218']
['102', '134', '153', '291']
['103', '123', '200', '492']
['127', '292', '314', '393']
['0', '158', '166', '167']
