['45', '74', '84', '91', '122', '124', '127', '142', '149', '156', '189', '197', '225', '242', '261', '286', '290', '295', '319', '362', '375', '382', '386', '403', '493']
['54', '61', '98', '116', '121', '153', '169', '184', '204', '222', '227', '239', '244', '256', '270', '310', '316', '347', '357', '391', '401', '402', '411', '412', '481']
['15', '18', '32', '75', '105', '107', '141', '165', '190', '210', '221', '255', '282', '300', '313', '323', '327', '334', '365', '370', '387', '395', '437', '447', '456']
['24', '30', '96', '108', '117', '133', '144', '148', '157', '159', '202', '207', '211', '231', '250', '298', '308', '318', '330', '369', '379', '405', '417', '428', '464']
['11', '26', '42', '56', '57', '97', '145', '235', '275', '277', '283', '288', '307', '350', '367', '378', '380', '393', '406', '410', '425', '446', '450', '467', '477']
['20', '23', '68', '88', '94', '166', '186', '224', '241', '247', '269', '272', '336', '349', '374', '397', '404', '408', '418', '420', '438', '441', '451', '455', '457']
['2', '9', '22', '89', '93', '128', '152', '179', '185', '200', '267', '293', '341', '354', '356', '364', '384', '392', '414', '415', '422', '453', '463', '471', '489']
['33', '55', '58', '62', '65', '103', '136', '180', '226', '268', '271', '280', '297', '315', '328', '332', '346', '348', '373', '388', '423', '426', '429', '479', '490']
['8', '35', '37', '50', '60', '90', '193', '201', '203', '220', '234', '243', '248', '279', '291', '305', '340', '360', '366', '368', '389', '396', '419', '444', '480']
['1', '5', '6', '7', '14', '19', '34', '64', '80', '86', '99', '109', '111', '138', '143', '187', '208', '253', '260', '296', '325', '337', '435', '488', '499']
['25', '38', '43', '71', '77', '82', '95', '147', '161', '168', '188', '209', '233', '237', '252', '262', '289', '306', '309', '311', '317', '398', '407', '442', '495']
['3', '12', '36', '39', '112', '134', '137', '146', '158', '177', '245', '246', '249', '284', '294', '331', '358', '376', '431', '445', '449', '452', '454', '468', '491']
['13', '17', '41', '69', '160', '162', '167', '171', '173', '257', '259', '266', '281', '322', '329', '335', '339', '344', '359', '377', '421', '430', '473', '482', '485']
['28', '40', '49', '73', '113', '174', '181', '182', '198', '212', '229', '230', '232', '236', '238', '264', '320', '355', '394', '399', '424', '427', '436', '440', '448']
['44', '47', '66', '70', '78', '83', '120', '131', '139', '155', '163', '170', '251', '254', '285', '363', '371', '381', '409', '413', '434', '458', '462', '474', '498']
['10', '16', '48', '63', '67', '106', '114', '176', '194', '213', '214', '218', '228', '240', '273', '292', '299', '342', '351', '372', '460', '466', '469', '472', '496']
['29', '51', '110', '130', '154', '206', '216', '217', '263', '274', '276', '301', '302', '303', '314', '326', '338', '345', '443', '459', '465', '470', '476', '484', '487']
['0', '52', '81', '87', '118', '123', '164', '183', '191', '192', '195', '196', '223', '258', '265', '287', '333', '343', '361', '383', '439', '461', '475', '483', '497']
['27', '72', '79', '101', '104', '115', '119', '125', '126', '129', '135', '150', '151', '172', '199', '205', '219', '312', '353', '400', '416', '478', '486', '492', '494']
['4', '21', '31', '46', '53', '59', '76', '85', '92', '100', '102', '132', '140', '175', '178', '215', '278', '304', '321', '324', '352', '385', '390', '432', '433']
