['G17', 'H51', '53']
['B37', '3', '33']
['D40', 'D50', 'D51']
['A21', 'A29', 'A39']
['E3', 'C23', 'D43']
['B2', 'H21', '9']
['C10', 'A52', '47']
['A31', 'B52', '18']
['A5', 'C5', 'H23']
['C15', 'F16', 'D29']
['F19', 'A28', 'D53']
['F8', 'E43', 'B51']
['B10', 'C36', 'H50']
['H33', 'B38', 'E42']
['C48', 'E49', 'F52']
['F41', 'F51', '37']
['B3', 'D37', 'B46']
['F17', 'A30', 'H36']
['G12', 'C16', 'F33']
['C21', 'D21', 'B39']
['C17', 'A41', '35']
['D2', 'G5', 'D52']
['B4', '1', '2']
['A14', 'C44', 'C53']
['F15', '17', '39']
['B30', 'C43', 'B47']
['B5', 'C54', 'H54']
['C3', 'A35', 'C50']
['H19', 'B31', 'D32']
['H12', 'C20', 'E22']
['F18', 'H22', '55']
['H1', 'G27', 'G31']
['D4', 'E6', 'G54']
['B7', 'E9', '57']
['C7', 'A19', 'G35']
['F23', 'F29', 'A54']
['A1', 'A36', 'H49']
['E1', 'B17', 'H34']
['H2', 'H26', 'H37']
['F10', 'B24', 'C26']
['G18', 'E24', 'A42']
['A3', '12', '52']
['F14', 'A27', 'G32']
['E0', 'D5', 'D11']
['C11', 'B16', 'E33']
['B8', 'H41', '24']
['E20', 'H45', '23']
['A4', 'F36', 'G38']
['G4', 'F45', 'H53']
['C38', 'A48', '41']
['H0', 'H38', 'A50']
['E2', 'E14', 'F44']
['G0', 'G7', '50']
['H20', 'E44', 'F54']
['H18', 'F43', 'E47']
['F20', 'G37', '28']
['B0', 'G39', 'G42']
['F4', 'G23', '48']
['B42', 'H44', 'G52']
['F6', 'B13', 'D54']
['G15', 'B28', '43']
['E11', 'E23', 'F25']
['D10', 'B44', '8']
['D17', 'D18', '58']
['G14', 'D45', '14']
['D1', 'H28', 'G49']
['D6', 'H9', 'H32']
['A23', 'F42', '21']
['A24', 'B32', '7']
['G1', 'G9', 'A10']
['A15', 'B22', 'D30']
['B19', 'D33', 'F46']
['C19', 'D48', 'G48']
['E7', 'A13', 'G43']
['E10', 'F13', 'G28']
['H4', 'E34', 'G51']
['B21', 'B41', 'G50']
['E5', 'B9', 'D27']
['C4', 'D46', 'G47']
['F9', 'D23', 'D41']
['H13', 'A38', '31']
['D16', 'C28', 'B54']
['B23', 'F27', '11']
['H6', 'D19', 'C33']
['C35', 'H35', 'H42']
['A20', 'A45', 'G53']
['C25', 'F31', 'A43']
['A22', 'A40', '10']
['A34', 'H46', 'D49']
['G13', 'H31', 'D44']
['F3', 'F30', '54']
['A44', '0']
['F1', 'B53', '25']
['E27', 'B48', 'F48']
['E18', 'E39', '30']
['D0', 'C6', 'C30']
['C27', 'C34', '27']
['B27', 'D35', 'G46']
['E12', 'G36', 'D39']
['G11', 'G45', '44']
['A8', 'E32', 'F38']
['B25', 'D25', 'A47']
['G10', 'G29', 'H47']
['F11', 'C22', 'D22']
['D9', 'B29', '5']
['C40', 'E40', 'E45']
['B6', 'C8', '38']
['E8', 'D36', 'B45']
['D7', 'C24', 'H52']
['C13', 'E30', 'D42']
['A26', 'G34', 'E53']
['C12', 'D47', '15']
['D20', 'D38', 'A53']
['B20', 'A46', '20']
['G2', 'A6', 'A32']
['C9', 'D26', '59']
['C31', '36', '49']
['B15', 'E28', 'B40']
['F37', 'C45', 'F49']
['F5', 'D14', '22']
['E4', 'C52', '13']
['F24', 'G24', 'B36']
['G6', 'G22', 'D31']
['C29', 'B33', 'B43']
['F7', 'D24', 'G33']
['F2', 'D13', 'A37']
['A2', 'A33', 'E50']
['A9', 'F40', 'E46']
['A17', 'E29', 'C47']
['G8', 'H39', 'G40']
['G30', 'F32', 'E54']
['A16', '4', '19']
['H3', 'H25', 'F53']
['H14', 'H40', 'C46']
['D8', 'E15', 'F34']
['H5', 'F47', '29']
['A12', 'B26', 'H43']
['C2', 'G26', '56']
['E13', 'G21', 'H24']
['F22', 'C32', '26']
['H15', 'G16', 'B49']
['B11', 'C14', 'F26']
['B14', 'B18', '46']
['E19', 'G44', '45']
['H11', 'C18', 'F21']
['H16', 'E31', 'C49']
['E25', 'A49', '51']
['D15', 'G25', 'B34']
['A0', 'F0', 'B50']
['H27', 'H48', '40']
['E35', 'E37', 'E41']
['E16', 'H17', 'C42']
['G19', 'B35', 'F50']
['H8', 'C41', 'C51']
['C0', 'H7', 'G20']
['A7', 'H10', 'D28']
['E17', 'F28', '42']
['D12', 'C39', '34']
['B1', 'C1', 'D3']
['G3', 'E38', 'E51']
['F39', 'E48', 'E52']
['B12', 'G41', '16']
['A11', 'H29', 'H30']
['A25', 'E26', '6']
['D34', 'F35', 'A51']
['F12', 'A18', 'E36']
['E21', 'C37', '32']
