['AnthonyDavis', 'JusufNurkic']
['ZazaPachulia', 'JaMychalGreen']
['JaysonTatum', 'FrankNtilikina']
['TreveonGraham', 'LarryNance']
['StanleyJohnson', 'JordanClarkson']
['SindariusThornwell', 'RajonRondo']
['JohnCollins', 'RaymondFelton']
['JaeCrowder', 'NemanjaBjelica']
['JoseCalderon', 'PatrickMcCaw']
['MontrezlHarrell', 'JoeIngles']
['DanielTheis', 'AnthonyTolliver']
['JJRedick', 'ManuGinobili']
['JRSmith', 'TrevorAriza']
['DewayneDedmon', 'MarcusSmart']
['QuincyAcy', 'JamesEnnis']
['DwightPowell', 'ETwaunMoore']
['ChrisPaul', 'TJWarren']
['BamAdebayo', 'KyleOQuinn']
['EnesKanter', 'WillieCauleyStein']
['KevinLove', 'AmirJohnson']
['JerianGrant', 'RussellWestbrook']
['KrisDunn', 'TylerJohnson']
['SamDekker', 'NikolaVucevic']
['KembaWalker', 'ThonMaker']
['MichaelBeasley', 'MikeScott']
['TaureanWallerPrince', 'MarcoBelinelli']
['ClintCapela', 'WayneEllington']
['JJBarea', 'JeramiGrant']
['AndreIguodala', 'TyrekeEvans']
['RondaeHollisJefferson', 'DirkNowitzki']
['DavidNwaba', 'JohnWall']
['IsaiahTaylor', 'JaredDudley']
['ShabazzMuhammad', 'BuddyHield']
['DwightHoward', 'BradleyBeal']
['DionWaiters', 'KristapsPorzingis']
['SalahMejri', 'BrookLopez']
['AustinRivers', 'MarioHezonja']
['CarmeloAnthony', 'ShelvinMack']
['JustinHoliday', 'EvanFournier']
['BojanBogdanovic', 'JoeYoung']
['PaulZipser', 'MarcGasol']
['LucMbahaMoute', 'JarellMartin']
['AndreRoberson', 'DarioSaric']
['BenMcLemore']
['DenzelValentine', 'AndreDrummond']
['MichaelKiddGilchrist', 'JeffGreen']
['DeyontaDavis', 'SkalLabissiere']
['RyanAnderson', 'DanteCunningham']
['NickYoung', 'ElfridPayton']
['LouWilliams', 'GiannisAntetokounmpo']
['JrueHoliday', 'MarcinGortat']
['JohnHenson', 'NikolaMirotic']
['TorreyCraig', 'JustiseWinslow']
['DwyaneWade', 'IanClark']
['PaulMillsap', 'JameerNelson']
['TylerUlis', 'RudyGay']
['LonzoBall', 'TroyDaniels']
['TristanThompson', 'KellyOubre']
['GeorgeHill', 'TomasSatoransky']
['KarlAnthonyTowns', 'RudyGobert']
['MichaelCarterWilliams', 'JonathonSimmons']
['MikeMuscala', 'EmmanuelMudiay']
['MalcolmDelaney', 'AlJefferson']
['KostaKoufos', 'PattyMills']
['AlexAbrines', 'EvanTurner']
['DJAugustin', 'TimotheLuwawuCabarrot']
['GoranDragic', 'DannyGreen']
['DavidWest', 'JoshHuestis']
['JabariParker', 'DamianLillard']
['RobinLopez', 'AndrewWiggins']
['TylerZeller', 'KentaviousCaldwellPope']
['MarioChalmers', 'StevenAdams']
['DougMcDermott', 'BrynForbes']
['MylesTurner', 'DonovanMitchell']
['MilosTeodosic', 'SterlingBrown']
['CourtneyLee', 'ZachRandolph']
['YogiFerrell', 'CoryJoseph']
['JonasValanciunas', 'JakobPoeltl']
['MarcusMorris', 'CarisLeVert']
['ShaunLivingston', 'RoyceONeale']
['JaylenBrown', 'TonySnell']
['StephenCurry', 'WesleyIwundu']
['KyrieIrving', 'AronBaynes']
['VictorOladipo', 'JoshHart']
['TreyLyles', 'DeAndreJordan']
['JerrydBayless', 'AlFarouqAminu']
['MalcolmBrogdon', 'SergeIbaka']
['KentBazemore', 'SpencerDinwiddie']
['GeraldGreen', 'PascalSiakam']
['LanceStephenson', 'IanMahinmi']
['CoreyBrewer', 'EkpeUdoh']
['JoeHarris', 'EricBledsoe']
['GarrettTemple', 'PauGasol']
['EricGordon', 'RodneyHood']
['BrandonIngram', 'KyleLowry']
['DraymondGreen', 'AlecBurks']
['DennisSmith', 'JamalMurray']
['WesleyJohnson', 'BismackBiyombo']
['LeBronJames', 'JimmyButler']
['JeremyLamb', 'DavisBertans']
['ErsanIlyasova', 'MarqueseChriss']
['NeneHilario', 'AaronGordon']
['TerryRozier', 'TimHardaway']
['HassanWhiteside', 'BogdanBogdanovic']
['WillBarton', 'DeMarDeRozan']
['JoshRichardson', 'ShabazzNapier']
['KyleKorver', 'WilsonChandler']
['MalikMonk', 'KellyOlynyk']
['AlHorford', 'WesleyMatthews']
['MauriceHarkless', 'LaMarcusAldridge']
['IshSmith', 'JamesHarden']
['PatrickPatterson', 'DeAaronFox']
['CediOsman', 'TJMcConnell']
['BobbyPortis', 'JonasJerebko']
['KlayThompson', 'JodieMeeks']
['CristianoFelicio', 'RichaunHolmes']
['KhrisMiddleton', 'CJMcCollum']
['PaulGeorge', 'PatConnaughton']
['JarrettAllen', 'DelonWright']
['ReggieJackson', 'OGAnunoby']
['DAngeloRussell', 'JustinJackson']
['DeMarcusCousins', 'MarkieffMorris']
['SemiOjeleye', 'DarrenCollison']
['PJTucker', 'ZachCollins']
['LauriMarkkanen', 'DevinBooker']
['BlakeGriffin', 'JuliusRandle']
['DeMarreCarroll', 'JasonTerry']
['LanceThomas', 'TysonChandler']
['MasonPlumlee', 'DillonBrooks']
['JeffTeague', 'JarrettJack']
['KyleKuzma', 'CJMiles']
['DariusMiller', 'JoelEmbiid']
['DennisSchroder', 'GaryHarris']
['HarrisonBarnes', 'AveryBradley']
['ReggieBullock', 'ThaddeusYoung']
['DevinHarris', 'AndrewHarrison']
['TajGibson', 'BenSimmons']
['NikolaJokic', 'LangstonGalloway']
['GorguiDieng', 'FredVanVleet']
['JamalCrawford', 'AlexLen']
['FrankKaminsky', 'DejounteMurray']
['RobertCovington', 'KyleAnderson']
['DomantasSabonis', 'DraganBender']
['AllenCrabbe', 'NicolasBatum']
['JamesJohnson', 'RickyRubio']
['DerrickFavors', 'OttoPorter']
['TyusJones', 'JoshJackson']
['MaxiKleber', 'EdDavis']
['MarvinWilliams', 'LukeKennard']
['TobiasHarris', 'KevinDurant']
