['452', '472', '53', '563', '402', '174', '135']
['693', '231', '400', '462', '290', '12', '670']
['188', '545', '466', '683', '540', '197', '163']
['156', '464', '96', '498', '65', '220', '489']
['184', '406', '325', '501', '416', '1', '546']
['459', '201', '618', '261', '6', '334', '689']
['234', '40', '93', '122', '16', '72', '44']
['664', '672', '308', '473', '293', '524', '685']
['461', '589', '126', '377', '179', '83', '190']
['630', '379', '118', '217', '222', '362', '388']
['382', '289', '507', '677', '654', '494', '323']
['79', '480', '155', '23', '31', '488', '697']
['206', '80', '441', '92', '665', '110', '602']
['212', '649', '655', '671', '411', '675', '543']
['273', '485', '442', '680', '232', '278', '374']
['460', '284', '600', '620', '505', '476', '495']
['340', '300', '129', '376', '329', '533', '535']
['324', '48', '612', '316', '114', '487', '36']
['25', '319', '312', '115', '199', '586', '536']
['210', '550', '225', '214', '138', '448', '332']
['145', '663', '91', '343', '669', '243', '440']
['270', '26', '656', '519', '88', '650', '43']
['399', '410', '583', '204', '557', '660', '509']
['647', '551', '127', '634', '333', '482', '588']
['267', '67', '266', '428', '288', '451', '597']
['443', '244', '131', '106', '661', '336', '434']
['688', '95', '347', '108', '139', '682', '130']
['640', '295', '264', '615', '687', '398', '294']
['24', '107', '349', '144', '226', '603', '692']
['396', '624', '503', '19', '625', '150', '386']
['178', '100', '417', '301', '260', '556', '167']
['674', '437', '541', '196', '255', '621', '444']
['5', '269', '59', '45', '518', '38', '631']
['537', '283', '354', '470', '9', '694', '392']
['195', '215', '408', '486', '596', '367', '500']
['681', '69', '121', '549', '128', '133', '353']
['383', '320', '397', '97', '651', '555', '55']
['457', '170', '575', '558', '542', '611', '21']
['158', '18', '587', '364', '638', '439', '66']
['539', '62', '322', '510', '679', '552', '268']
['39', '633', '564', '635', '200', '125', '282']
['695', '469', '425', '594', '46', '230', '521']
['479', '285', '515', '628', '281', '82', '30']
['445', '209', '203', '241', '112', '223', '57']
['623', '477', '598', '297', '103', '566', '77']
['636', '561', '236', '511', '10', '497', '86']
['171', '78', '17', '391', '275', '279', '265']
['415', '175', '49', '579', '475', '20', '491']
['604', '431', '676', '565', '608', '421', '315']
['313', '534', '169', '514', '71', '54', '251']
['527', '157', '499', '187', '140', '181', '189']
['465', '328', '571', '305', '360', '420', '61']
['132', '526', '622', '632', '446', '321', '493']
['104', '423', '164', '432', '458', '407', '387']
['506', '143', '240', '344', '277', '172', '13']
['153', '570', '468', '435', '84', '168', '455']
['504', '342', '304', '182', '390', '162', '237']
['643', '481', '4', '109', '286', '436', '646']
['299', '645', '384', '22', '228', '592', '492']
['389', '365', '14', '666', '307', '56', '366']
['216', '355', '405', '331', '90', '554', '606']
['538', '271', '335', '419', '548', '81', '531']
['185', '559', '429', '7', '76', '438', '456']
['60', '508', '249', '659', '467', '262', '186']
['699', '11', '532', '330', '235', '609', '412']
['502', '309', '47', '544', '401', '653', '263']
['180', '474', '274', '160', '252', '449', '568']
['250', '569', '358', '580', '617', '28', '327']
['257', '601', '642', '276', '351', '454', '152']
['414', '15', '326', '310', '619', '450', '85']
['418', '306', '253', '530', '296', '177', '657']
['148', '352', '404', '147', '684', '591', '219']
['211', '242', '691', '27', '529', '427', '512']
['70', '403', '75', '648', '610', '173', '577']
['198', '280', '35', '614', '641', '318', '453']
['248', '149', '154', '686', '385', '0', '292']
['41', '151', '29', '205', '94', '572', '37']
['247', '259', '221', '593', '520', '124', '573']
['256', '361', '513', '166', '117', '165', '74']
['359', '229', '246', '58', '696', '98', '567']
['690', '590', '629', '303', '409', '350', '523']
['599', '99', '8', '3', '516', '574', '522']
['644', '394', '116', '375', '463', '471', '578']
['105', '120', '113', '146', '393', '413', '213']
['202', '111', '547', '245', '207', '272', '560']
['311', '119', '339', '345', '50', '123', '667']
['525', '395', '553', '582', '426', '291', '193']
['484', '141', '662', '613', '363', '34', '370']
['378', '191', '73', '254', '673', '224', '369']
['368', '585', '337', '490', '562', '194', '302']
['668', '134', '372', '161', '447', '595', '517']
['258', '227', '584', '658', '637', '218', '605']
['239', '639', '346', '137', '698', '32', '159']
['287', '576', '238', '233', '627', '652', '68']
['678', '298', '348', '430', '102', '208', '424']
['380', '626', '142', '183', '528', '42', '87']
['192', '581', '33', '381', '371', '64', '51']
['52', '478', '314', '496', '607', '317', '89']
['101', '422', '136', '176', '357', '483', '373']
['356', '433', '616', '2', '338', '63', '341']
