['622', '840', '63', '539', '548', '791', '553', '807', '512', '75', '742', '177', '332', '800', '52', '324', '300', '101', '877', '294', '471', '587', '720', '594', '207', '128', '203', '172', '95', '354', '525', '90', '53', '850', '231', '209', '816', '760', '895', '766', '651', '193', '597', '664', '413']
['577', '321', '279', '590', '212', '827', '117', '499', '239', '126', '157', '828', '393', '696', '341', '125', '166', '701', '608', '3', '513', '626', '598', '752', '637', '490', '868', '721', '537', '744', '476', '129', '536', '305', '228', '291', '459', '845', '826', '88', '786', '57', '309', '152', '123']
['563', '359', '730', '551', '169', '606', '262', '616', '545', '255', '495', '136', '422', '320', '719', '362', '311', '477', '799', '550', '538', '86', '143', '473', '456', '872', '392', '624', '693', '138', '232', '464', '518', '230', '681', '226', '69', '831', '270', '788', '851', '403', '787', '465', '54']
['25', '385', '740', '732', '801', '427', '500', '64', '147', '450', '756', '769', '127', '632', '17', '592', '879', '703', '852', '634', '124', '206', '650', '888', '736', '461', '238', '747', '171', '286', '383', '485', '433', '524', '342', '374', '612', '585', '302', '407', '661', '149', '853', '210', '880']
['215', '487', '448', '451', '170', '833', '876', '191', '308', '480', '390', '610', '364', '522', '197', '889', '251', '240', '708', '264', '317', '746', '379', '307', '790', '409', '219', '205', '633', '182', '560', '288', '387', '722', '74', '6', '183', '282', '578', '375', '870', '41', '344', '155', '185']
['66', '886', '653', '819', '254', '856', '809', '384', '482', '688', '623', '154', '27', '290', '4', '848', '89', '99', '369', '258', '406', '222', '813', '274', '346', '11', '115', '861', '772', '620', '411', '401', '396', '377', '709', '547', '671', '229', '436', '347', '847', '815', '292', '442', '98']
['562', '652', '659', '84', '135', '574', '504', '179', '51', '318', '818', '899', '284', '498', '382', '728', '242', '605', '558', '704', '420', '727', '186', '414', '797', '576', '21', '431', '7', '271', '779', '657', '32', '180', '438', '649', '764', '440', '780', '723', '405', '804', '189', '639', '365']
['23', '794', '259', '775', '265', '596', '737', '890', '492', '541', '648', '855', '195', '253', '105', '289', '174', '468', '531', '8', '60', '472', '869', '368', '552', '65', '24', '208', '247', '773', '474', '636', '814', '297', '70', '277', '665', '846', '114', '80', '423', '257', '523', '588', '568']
['62', '678', '137', '43', '14', '131', '663', '412', '674', '627', '758', '768', '784', '621', '580', '796', '31', '159', '421', '19', '144', '50', '712', '724', '811', '278', '245', '424', '281', '733', '739', '567', '571', '429', '142', '381', '839', '638', '394', '894', '221', '329', '336', '263', '493']
['204', '667', '506', '214', '366', '584', '316', '825', '370', '488', '505', '716', '503', '252', '61', '891', '120', '162', '496', '629', '771', '455', '743', '677', '718', '862', '9', '897', '417', '112', '603', '896', '216', '2', '153', '542', '466', '314', '322', '295', '785', '735', '59', '78', '680']
['0', '802', '367', '774', '685', '380', '338', '750', '220', '549', '236', '330', '20', '715', '792', '266', '515', '360', '140', '457', '415', '109', '887', '333', '453', '581', '717', '408', '759', '865', '349', '313', '287', '134', '237', '160', '556', '81', '714', '789', '555', '516', '835', '200', '863']
['256', '168', '85', '697', '83', '662', '702', '844', '672', '725', '604', '878', '181', '376', '29', '700', '554', '110', '613', '857', '529', '18', '793', '641', '211', '34', '698', '566', '371', '343', '829', '13', '176', '108', '470', '175', '452', '192', '357', '303', '484', '334', '319', '386', '526']
['546', '248', '173', '602', '139', '132', '361', '822', '645', '795', '67', '328', '198', '353', '249', '489', '273', '805', '145', '298', '418', '234', '275', '694', '111', '30', '586', '893', '345', '49', '116', '821', '705', '441', '885', '106', '478', '692', '517', '190', '283', '241', '310', '618', '611']
['82', '866', '763', '130', '559', '358', '268', '583', '68', '617', '690', '26', '830', '102', '803', '299', '28', '225', '373', '842', '765', '479', '575', '462', '519', '874', '40', '625', '73', '184', '113', '428', '738', '615', '754', '832', '534', '56', '564', '196', '753', '601', '351', '36', '570']
['218', '881', '783', '867', '327', '434', '514', '762', '532', '71', '527', '595', '642', '449', '599', '337', '58', '837', '194', '33', '569', '235', '644', '435', '91', '631', '5', '12', '669', '416', '217', '122', '430', '378', '188', '640', '540', '591', '187', '42', '47', '749', '630', '167', '315']
['35', '398', '528', '619', '734', '243', '647', '202', '246', '96', '573', '808', '306', '410', '458', '1', '72', '296', '201', '355', '579', '276', '729', '582', '609', '335', '614', '707', '660', '164', '510', '686', '778', '104', '446', '823', '820', '460', '710', '535', '572', '419', '836', '447', '312']
['481', '777', '689', '38', '432', '668', '161', '684', '148', '352', '77', '843', '486', '670', '156', '858', '87', '798', '93', '817', '654', '873', '395', '402', '706', '628', '875', '607', '782', '521', '883', '810', '561', '501', '726', '244', '363', '224', '269', '502', '141', '39', '301', '731', '323']
['882', '250', '326', '511', '400', '331', '655', '356', '770', '121', '119', '107', '507', '133', '859', '350', '543', '443', '16', '267', '94', '824', '841', '150', '348', '10', '45', '497', '146', '389', '454', '467', '892', '483', '635', '444', '48', '227', '864', '683', '767', '691', '151', '898', '97']
['666', '223', '399', '178', '463', '55', '682', '871', '711', '884', '165', '656', '437', '745', '589', '806', '199', '391', '761', '557', '741', '15', '37', '658', '293', '44', '860', '838', '679', '643', '849', '388', '475', '675', '854', '491', '272', '426', '118', '751', '304', '103', '757', '280', '163']
['260', '213', '339', '593', '673', '533', '812', '79', '340', '699', '509', '372', '92', '695', '687', '445', '425', '158', '646', '285', '834', '76', '776', '100', '508', '544', '397', '325', '22', '530', '469', '46', '494', '233', '713', '261', '565', '439', '600', '404', '520', '676', '781', '748', '755']
