['178', '430', '470', '618', '418']
['346', '525', '21', '923', '62']
['373', '631', '500', '838', '17']
['321', '966', '801', '34', '553']
['892', '163', '581', '915', '842']
['142', '937', '15', '307', '594']
['635', '891', '358', '694', '506']
['711', '330', '268', '247', '177']
['233', '938', '293', '195', '52']
['82', '698', '445', '968', '168']
['302', '468', '834', '864', '164']
['865', '37', '334', '994', '920']
['267', '903', '152', '144', '603']
['250', '292', '215', '943', '590']
['494', '587', '92', '584', '298']
['756', '551', '159', '175', '172']
['862', '502', '191', '185', '352']
['556', '283', '76', '927', '823']
['689', '582', '452', '476', '261']
['588', '12', '666', '477', '237']
['611', '479', '219', '559', '871']
['578', '221', '869', '160', '331']
['732', '853', '196', '778', '89']
['808', '849', '407', '72', '28']
['909', '457', '713', '960', '202']
['658', '97', '706', '13', '893']
['439', '771', '776', '485', '863']
['503', '981', '972', '649', '230']
['985', '712', '61', '492', '929']
['876', '284', '741', '917', '988']
['679', '941', '322', '197', '737']
['947', '143', '414', '446', '353']
['971', '443', '162', '558', '372']
['978', '701', '324', '877', '599']
['379', '874', '150', '753', '827']
['671', '43', '201', '710', '507']
['858', '375', '807', '740', '30']
['114', '526', '490', '371', '568']
['444', '715', '841', '717', '513']
['867', '24', '919', '681', '299']
['796', '210', '817', '591', '107']
['703', '349', '800', '425', '742']
['682', '569', '348', '791', '787']
['795', '399', '57', '816', '67']
['692', '881', '161', '253', '347']
['32', '904', '860', '602', '257']
['951', '31', '70', '607', '980']
['85', '462', '288', '991', '166']
['596', '933', '634', '738', '239']
['672', '363', '209', '111', '417']
['141', '275', '183', '759', '550']
['381', '370', '216', '316', '63']
['763', '113', '723', '541', '543']
['432', '280', '735', '5', '415']
['105', '612', '624', '918', '610']
['171', '193', '517', '25', '318']
['51', '531', '447', '54', '685']
['145', '356', '495', '524', '206']
['156', '600', '516', '182', '146']
['499', '355', '522', '604', '93']
['214', '281', '484', '643', '266']
['677', '397', '761', '189', '953']
['489', '782', '614', '886', '845']
['255', '571', '798', '969', '575']
['271', '908', '642', '338', '992']
['329', '949', '313', '574', '440']
['165', '646', '486', '232', '683']
['4', '244', '945', '264', '922']
['47', '3', '589', '989', '644']
['442', '65', '608', '889', '882']
['784', '194', '207', '695', '130']
['836', '480', '859', '340', '680']
['2', '540', '628', '240', '932']
['668', '822', '627', '769', '339']
['530', '678', '963', '139', '905']
['287', '650', '108', '312', '691']
['734', '758', '748', '99', '40']
['10', '80', '272', '872', '127']
['636', '899', '59', '637', '645']
['521', '380', '716', '493', '26']
['912', '718', '664', '123', '0']
['739', '20', '41', '8', '572']
['208', '744', '252', '125', '626']
['86', '579', '958', '389', '251']
['11', '851', '755', '727', '998']
['482', '708', '519', '955', '56']
['297', '722', '533', '140', '725']
['651', '625', '535', '236', '337']
['757', '481', '719', '218', '999']
['956', '623', '242', '885', '308']
['102', '866', '406', '157', '585']
['548', '511', '498', '345', '226']
['924', '422', '549', '592', '464']
['55', '246', '632', '538', '382']
['775', '736', '930', '544', '437']
['217', '103', '745', '231', '229']
['896', '770', '674', '426', '518']
['510', '359', '119', '58', '478']
['995', '176', '846', '241', '926']
['78', '819', '186', '961', '990']
['810', '560', '433', '962', '132']
['984', '598', '204', '184', '731']
['606', '290', '870', '46', '687']
['441', '620', '696', '820', '395']
['883', '488', '520', '497', '501']
['809', '726', '295', '515', '412']
['148', '837', '729', '190', '830']
['413', '894', '793', '427', '27']
['235', '454', '238', '135', '400']
['593', '654', '403', '508', '965']
['431', '815', '934', '262', '429']
['659', '792', '332', '94', '405']
['880', '365', '914', '868', '88']
['653', '344', '772', '777', '436']
['573', '378', '408', '586', '81']
['948', '767', '317', '595', '44']
['765', '170', '797', '469', '53']
['211', '916', '68', '351', '109']
['565', '879', '91', '996', '557']
['788', '423', '279', '832', '77']
['931', '14', '619', '630', '505']
['528', '151', '973', '561', '780']
['368', '884', '9', '451', '213']
['487', '289', '690', '952', '259']
['676', '661', '273', '121', '828']
['496', '911', '959', '688', '667']
['438', '124', '567', '804', '491']
['260', '357', '633', '967', '700']
['384', '361', '48', '369', '936']
['935', '416', '434', '580', '806']
['840', '64', '115', '309', '117']
['147', '23', '256', '167', '766']
['986', '310', '786', '743', '276']
['514', '831', '212', '366', '282']
['536', '542', '467', '84', '42']
['854', '814', '277', '402', '394']
['794', '898', '950', '747', '388']
['199', '670', '458', '910', '424']
['779', '982', '675', '38', '746']
['79', '265', '129', '205', '303']
['993', '890', '131', '764', '90']
['463', '774', '818', '420', '154']
['833', '970', '18', '315', '733']
['341', '613', '638', '656', '285']
['861', '1', '714', '799', '821']
['29', '534', '376', '49', '472']
['657', '546', '686', '976', '605']
['577', '987', '50', '940', '460']
['720', '179', '128', '325', '149']
['228', '552', '286', '461', '401']
['928', '555', '305', '254', '198']
['45', '6', '474', '829', '404']
['22', '377', '118', '410', '291']
['754', '409', '136', '301', '839']
['857', '181', '997', '304', '73']
['812', '576', '616', '95', '134']
['465', '66', '564', '328', '411']
['120', '245', '704', '563', '466']
['398', '856', '749', '435', '925']
['913', '101', '975', '709', '374']
['617', '69', '314', '760', '523']
['137', '768', '385', '60', '87']
['906', '306', '224', '243', '133']
['537', '954', '335', '532', '665']
['220', '964', '622', '294', '566']
['752', '641', '697', '106', '855']
['785', '473', '684', '188', '248']
['705', '104', '669', '471', '174']
['702', '826', '662', '647', '428']
['311', '421', '225', '850', '116']
['269', '974', '813', '320', '512']
['475', '83', '360', '805', '383']
['98', '873', '539', '547', '449']
['223', '450', '364', '263', '336']
['601', '901', '71', '977', '811']
['227', '562', '300', '699', '419']
['33', '789', '39', '110', '327']
['203', '983', '343', '74', '504']
['939', '554', '333', '652', '724']
['112', '155', '790', '527', '979']
['350', '721', '529', '362', '663']
['319', '96', '36', '392', '153']
['847', '751', '19', '35', '483']
['844', '648', '122', '222', '615']
['902', '583', '192', '783', '459']
['835', '843', '825', '621', '570']
['673', '944', '639', '234', '453']
['878', '16', '75', '545', '895']
['249', '907', '138', '942', '270']
['187', '629', '7', '888', '455']
['100', '897', '824', '762', '875']
['728', '655', '773', '323', '342']
['158', '391', '296', '126', '921']
['597', '946', '386', '707', '609']
['396', '354', '274', '660', '456']
['326', '390', '887', '803', '781']
['180', '730', '640', '200', '258']
['693', '848', '387', '278', '509']
['957', '367', '169', '448', '173']
['852', '750', '802', '900', '393']
