['356', '511', '471', '564', '86', '193', '11', '543', '473', '71']
['223', '148', '685', '757', '376', '104', '419', '15', '195', '427']
['399', '689', '586', '620', '368', '722', '141', '103', '390', '750']
['290', '284', '159', '487', '203', '112', '552', '683', '204', '452']
['185', '753', '682', '26', '422', '84', '654', '5', '696', '334']
['562', '377', '64', '467', '412', '706', '526', '705', '106', '369']
['572', '94', '793', '265', '303', '726', '267', '492', '746', '251']
['464', '60', '607', '313', '540', '570', '126', '745', '799', '261']
['151', '371', '679', '392', '76', '62', '170', '721', '389', '425']
['627', '32', '301', '587', '130', '14', '468', '576', '652', '646']
['451', '537', '221', '532', '102', '197', '409', '404', '317', '73']
['547', '742', '515', '285', '417', '692', '483', '430', '501', '7']
['647', '87', '458', '751', '248', '282', '205', '704', '465', '157']
['770', '201', '366', '109', '531', '108', '235', '83', '372', '648']
['306', '98', '8', '527', '712', '383', '622', '495', '381', '386']
['345', '460', '6', '358', '213', '437', '256', '212', '441', '176']
['119', '635', '642', '30', '362', '23', '553', '767', '505', '36']
['394', '147', '477', '311', '380', '645', '489', '230', '599', '461']
['413', '215', '774', '710', '638', '393', '410', '379', '660', '624']
['324', '470', '610', '556', '513', '263', '730', '225', '561', '363']
['149', '474', '224', '656', '423', '788', '304', '485', '550', '99']
['719', '665', '403', '160', '463', '435', '727', '560', '502', '436']
['184', '677', '299', '662', '18', '658', '782', '1', '338', '142']
['95', '432', '785', '191', '667', '373', '731', '768', '510', '31']
['52', '245', '307', '286', '538', '630', '172', '602', '370', '457']
['279', '454', '518', '192', '738', '16', '288', '786', '181', '292']
['129', '65', '444', '545', '735', '214', '775', '155', '486', '262']
['676', '482', '614', '327', '684', '673', '79', '13', '48', '40']
['175', '359', '63', '164', '469', '343', '459', '211', '280', '644']
['133', '97', '720', '296', '342', '244', '243', '520', '567', '145']
['346', '0', '636', '772', '789', '580', '611', '246', '426', '216']
['590', '354', '209', '4', '174', '478', '2', '693', '574', '146']
['55', '91', '189', '295', '758', '123', '414', '525', '391', '228']
['360', '488', '28', '446', '783', '621', '77', '431', '597', '490']
['589', '581', '579', '219', '3', '33', '604', '69', '341', '539']
['312', '264', '761', '776', '325', '121', '183', '631', '355', '481']
['434', '771', '187', '162', '78', '344', '165', '347', '695', '433']
['210', '792', '519', '194', '450', '777', '506', '608', '402', '497']
['632', '169', '92', '529', '725', '416', '554', '272', '166', '558']
['298', '395', '681', '601', '353', '424', '670', '274', '222', '255']
['509', '294', '241', '128', '523', '137', '797', '405', '47', '524']
['514', '316', '736', '196', '135', '226', '675', '9', '595', '254']
['499', '408', '671', '512', '249', '96', '22', '163', '287', '749']
['257', '699', '302', '351', '384', '787', '493', '122', '546', '229']
['569', '784', '10', '319', '375', '180', '613', '764', '571', '101']
['107', '741', '418', '591', '740', '82', '357', '75', '716', '752']
['29', '253', '618', '476', '666', '388', '612', '568', '709', '242']
['674', '154', '634', '291', '281', '603', '687', '791', '297', '321']
['332', '754', '200', '669', '708', '93', '56', '701', '43', '536']
['629', '700', '367', '672', '616', '206', '504', '484', '20', '655']
['421', '330', '233', '555', '140', '549', '400', '335', '517', '27']
['59', '136', '278', '628', '583', '39', '715', '42', '328', '445']
['397', '798', '271', '748', '352', '747', '396', '585', '268', '182']
['661', '132', '80', '361', '733', '329', '766', '755', '171', '494']
['659', '350', '150', '455', '238', '38', '339', '85', '528', '617']
['439', '234', '557', '448', '138', '300', '266', '625', '273', '729']
['74', '565', '594', '650', '763', '516', '364', '34', '348', '690']
['41', '428', '443', '440', '756', '718', '382', '508', '522', '530']
['139', '100', '333', '668', '639', '544', '401', '760', '156', '179']
['232', '717', '582', '773', '794', '202', '318', '57', '310', '240']
['227', '724', '125', '110', '305', '21', '237', '258', '641', '231']
['236', '198', '713', '657', '250', '640', '218', '765', '398', '605']
['596', '374', '598', '309', '759', '664', '68', '239', '734', '293']
['637', '475', '548', '563', '61', '117', '113', '491', '739', '737']
['44', '178', '89', '559', '283', '252', '573', '50', '173', '105']
['144', '270', '406', '320', '51', '17', '25', '781', '415', '615']
['779', '534', '158', '134', '190', '67', '466', '276', '503', '260']
['124', '780', '53', '127', '177', '592', '551', '686', '49', '732']
['600', '542', '167', '588', '447', '577', '326', '323', '275', '420']
['694', '365', '500', '152', '743', '81', '349', '58', '623', '322']
['619', '697', '507', '795', '90', '116', '575', '651', '88', '535']
['37', '703', '340', '453', '702', '336', '220', '744', '208', '70']
['626', '663', '314', '462', '449', '711', '593', '796', '521', '331']
['188', '217', '118', '566', '472', '46', '480', '207', '411', '769']
['533', '308', '153', '161', '643', '584', '633', '259', '496', '315']
['35', '120', '442', '723', '114', '407', '277', '269', '186', '609']
['714', '131', '143', '66', '387', '691', '54', '578', '456', '111']
['199', '790', '728', '72', '498', '680', '541', '438', '479', '24']
['778', '12', '429', '378', '653', '289', '45', '688', '698', '649']
['385', '168', '19', '115', '247', '337', '606', '707', '678', '762']
