['143', '153', '218', '239', '270', '285', '341', '430', '474']
['9', '48', '85', '139', '176', '232', '274', '298', '367', '435']
['6', '33', '151', '167', '196', '209', '228', '273', '294', '416']
['13', '78', '97', '219', '226', '295', '306', '386', '410', '443']
['84', '119', '123', '229', '253', '262', '300', '327', '337', '446']
['8', '19', '27', '134', '140', '264', '338', '340', '358', '428']
['64', '81', '117', '180', '224', '250', '312', '349', '485', '490']
['89', '152', '184', '320', '366', '375', '436', '445', '448']
['74', '129', '138', '201', '227', '284', '399', '401', '408', '480']
['169', '243', '265', '292', '308', '352', '384', '466', '472', '491']
['38', '70', '127', '142', '204', '220', '282', '365', '389', '455']
['15', '28', '31', '66', '90', '131', '195', '212', '223', '413']
['29', '120', '130', '210', '211', '242', '287', '359', '471']
['91', '99', '144', '170', '245', '257', '290', '432', '463', '489']
['67', '112', '145', '178', '185', '216', '301', '343', '402', '484']
['37', '53', '98', '113', '133', '163', '194', '277', '281', '382']
['22', '39', '75', '94', '189', '207', '307', '388', '420', '467']
['77', '87', '93', '125', '188', '215', '237', '278', '322', '417']
['24', '41', '150', '199', '249', '400', '409', '459', '469', '482']
['17', '20', '47', '51', '57', '79', '256', '387', '488', '493']
['71', '95', '149', '158', '161', '238', '299', '342', '368', '434']
['30', '124', '230', '236', '304', '353', '380', '464', '476', '481']
['58', '69', '154', '160', '259', '296', '305', '336', '411']
['56', '60', '61', '147', '162', '302', '369', '406', '415', '419']
['16', '21', '44', '54', '73', '177', '179', '317', '323', '477']
['2', '32', '52', '193', '309', '326', '423', '441', '475', '483']
['62', '107', '116', '141', '156', '168', '244', '393', '398', '452']
['76', '217', '293', '310', '331', '361', '422', '426', '458', '460']
['45', '65', '146', '213', '279', '418', '437', '470', '473', '478']
['34', '72', '148', '187', '263', '283', '291', '376', '395', '403']
['171', '231', '267', '276', '351', '378', '385', '414', '440', '492']
['18', '46', '136', '173', '192', '252', '346', '363', '370', '405']
['49', '174', '286', '303', '321', '339', '350', '356', '438', '462']
['96', '114', '122', '126', '155', '280', '311', '313', '314', '325']
['23', '42', '80', '182', '186', '197', '240', '247', '315', '449']
['10', '35', '63', '118', '121', '203', '266', '288', '289', '345']
['26', '172', '175', '328', '357', '371', '383', '439', '454', '479']
['11', '92', '128', '166', '208', '225', '255', '269', '318', '332']
['82', '83', '86', '137', '335', '348', '355', '390', '404', '447']
['14', '159', '191', '222', '258', '260', '354', '372', '397', '431']
['55', '202', '268', '272', '275', '330', '347', '396', '412', '433']
['105', '135', '165', '198', '248', '251', '324', '425', '444', '494']
['115', '157', '181', '271', '362', '373', '429', '457', '468', '487']
['12', '50', '88', '233', '261', '297', '392', '424', '451', '486']
['164', '205', '235', '316', '360', '374', '394', '427', '450', '453']
['5', '43', '111', '132', '200', '241', '254', '377', '379', '461']
['25', '36', '100', '190', '214', '221', '319', '333', '456', '495']
['1', '3', '4', '101', '102', '103', '106', '108', '109', '110']
['7', '68', '183', '206', '246', '329', '334', '364', '391']
['40', '59', '104', '234', '344', '381', '407', '421', '442', '465']
