['4', '29', '39', '40', '72', '80', '112', '126', '127', '137', '196', '201', '228', '267', '308', '309', '347', '364', '470', '487']
['36', '54', '74', '94', '106', '129', '173', '197', '226', '253', '283', '325', '368', '385', '407', '426', '431', '437', '440', '462']
['19', '35', '38', '45', '118', '149', '167', '218', '274', '286', '314', '317', '348', '397', '411', '424', '427', '468', '488', '497']
['2', '60', '64', '68', '79', '101', '148', '163', '180', '272', '273', '349', '356', '361', '377', '384', '396', '455', '459', '479']
['3', '26', '43', '59', '102', '119', '145', '177', '204', '256', '261', '295', '305', '344', '430', '448', '451', '460', '464', '480']
['18', '55', '70', '103', '146', '179', '190', '192', '229', '234', '240', '260', '310', '373', '391', '442', '450', '461', '465', '476']
['11', '85', '86', '114', '143', '154', '165', '184', '191', '284', '301', '367', '387', '392', '406', '412', '435', '441', '474', '485']
['32', '120', '131', '150', '155', '189', '217', '222', '241', '320', '332', '340', '357', '376', '383', '428', '446', '447', '483', '489']
['28', '44', '69', '82', '178', '198', '199', '206', '208', '213', '220', '246', '252', '294', '296', '306', '365', '389', '410', '469']
['0', '48', '92', '93', '130', '132', '139', '159', '221', '237', '244', '245', '264', '268', '335', '399', '417', '421', '457', '477']
['21', '46', '53', '56', '76', '77', '81', '110', '182', '210', '263', '275', '287', '338', '343', '358', '371', '416', '463', '493']
['10', '20', '31', '111', '115', '138', '147', '161', '292', '304', '321', '322', '341', '352', '355', '394', '429', '444', '473', '492']
['41', '42', '104', '109', '124', '141', '144', '175', '186', '194', '239', '251', '312', '360', '375', '403', '408', '436', '452', '475']
['73', '83', '125', '142', '176', '183', '202', '247', '257', '276', '280', '285', '326', '330', '372', '380', '404', '422', '481', '499']
['52', '108', '123', '160', '169', '225', '236', '242', '248', '254', '269', '329', '354', '369', '382', '395', '398', '400', '415', '471']
['8', '13', '88', '116', '151', '164', '170', '181', '233', '243', '259', '298', '339', '386', '438', '443', '445', '454', '478', '494']
['25', '33', '49', '75', '100', '188', '205', '215', '227', '231', '238', '255', '288', '313', '336', '370', '402', '482', '491', '496']
['5', '50', '57', '91', '95', '105', '152', '172', '203', '232', '327', '351', '359', '374', '393', '418', '439', '484', '490', '495']
['6', '61', '71', '84', '96', '97', '153', '157', '214', '230', '293', '300', '318', '319', '378', '390', '409', '414', '419', '466']
['12', '14', '90', '99', '107', '168', '193', '207', '211', '219', '224', '235', '289', '297', '342', '379', '388', '425', '449', '456']
['15', '30', '67', '98', '140', '166', '171', '195', '209', '258', '271', '281', '328', '331', '337', '345', '353', '381', '405', '413']
['27', '62', '65', '78', '134', '185', '200', '249', '266', '270', '278', '279', '311', '324', '333', '366', '420', '423', '432', '453']
['1', '22', '23', '34', '37', '63', '122', '128', '162', '216', '223', '250', '277', '303', '307', '323', '334', '350', '363', '458']
['16', '17', '24', '47', '51', '87', '113', '133', '135', '136', '158', '187', '212', '262', '290', '315', '316', '346', '467', '498']
['7', '9', '58', '66', '89', '117', '121', '156', '174', '265', '282', '291', '299', '302', '362', '401', '433', '434', '472', '486']
