['40', '44', '66', '67', '70']
['42', '69', '131', '146', '174']
['18', '73', '138', '170', '242']
['116', '178', '183', '184', '195']
['139', '142', '145', '203', '230']
['36', '43', '64', '65', '135']
['10', '50', '166', '176', '181']
['23', '45', '58', '59', '162']
['79', '147', '189', '226', '246']
['1', '2', '3', '62', '63']
['12', '57', '82', '95', '225']
['8', '9', '13', '120', '193']
['37', '51', '72', '167', '232']
['88', '94', '123', '134', '233']
['24', '27', '90', '164', '221']
['137', '143', '171', '188', '222']
['25', '39', '52', '202', '208']
['17', '28', '126', '191', '205']
['119', '152', '199', '223', '234']
['48', '61', '111', '160', '175']
['107', '112', '182', '212', '216']
['20', '47', '93', '114', '158']
['83', '89', '132', '224', '229']
['169', '186', '238', '240', '245']
['74', '106', '117', '130', '228']
['38', '56', '96', '206', '247']
['121', '151', '153', '236', '244']
['4', '26', '84', '102', '192']
['31', '60', '98', '125', '128']
['30', '129', '172', '179', '217']
['86', '194', '201', '227', '250']
['41', '49', '113', '115', '133']
['5', '14', '118', '209', '215']
['29', '92', '110', '210', '248']
['33', '77', '85', '161', '243']
['7', '21', '140', '154', '237']
['11', '87', '144', '157', '239']
['71', '80', '156', '218', '235']
['54', '55', '78', '196', '231']
['100', '103', '197', '213', '241']
['91', '97', '105', '185', '207']
['15', '16', '109', '141', '220']
['76', '124', '148', '159', '219']
['32', '35', '108', '127', '187']
['34', '99', '173', '204', '214']
['46', '81', '150', '155', '163']
['68', '177', '180', '190', '249']
['19', '101', '149', '165', '211']
['22', '53', '104', '136', '168']
['6', '75', '122', '198', '200']
