['2', '94', '132', '47', '107', '125', '287', '290', '212', '181', '443', '432']
['1', '155', '79', '81', '116', '201', '199', '265', '190', '164', '434', '340']
['75', '54', '233', '245', '304', '243', '373', '440', '330', '316', '332', '447']
['118', '3', '237', '276', '255', '246', '236', '200', '185', '270', '448', '436']
['65', '152', '59', '130', '126', '38', '163', '249', '347', '461', '411', '354']
['32', '119', '151', '158', '275', '213', '300', '210', '329', '381', '433', '317']
['104', '117', '27', '5', '136', '92', '259', '162', '284', '179', '377', '371']
['101', '67', '204', '208', '279', '217', '414', '418', '367', '342', '352', '456']
['55', '84', '109', '218', '293', '263', '239', '271', '308', '323', '364', '334']
['73', '106', '141', '283', '288', '301', '195', '267', '191', '368', '458', '442']
['51', '39', '76', '49', '145', '63', '173', '299', '291', '294', '390', '437']
['93', '112', '102', '121', '28', '40', '35', '171', '311', '273', '407', '321']
['103', '60', '85', '19', '306', '224', '298', '286', '232', '328', '455', '376']
['68', '242', '220', '205', '225', '227', '215', '240', '338', '406', '454', '413']
['43', '100', '50', '99', '18', '187', '216', '183', '459', '409', '351', '420']
['150', '37', '46', '310', '168', '222', '343', '441', '379', '403', '318', '452']
['80', '142', '48', '282', '272', '438', '462', '392', '325', '360', '427', '424']
['16', '137', '138', '127', '123', '146', '252', '380', '460', '430', '327', '395']
['0', '71', '309', '274', '277', '281', '192', '231', '278', '348', '417', '449']
['23', '42', '22', '115', '247', '165', '256', '382', '322', '312', '324', '429']
['36', '143', '29', '111', '139', '11', '198', '188', '202', '320', '412', '464']
['13', '120', '58', '203', '156', '170', '289', '435', '346', '421', '361', '355']
['25', '14', '30', '77', '44', '292', '261', '248', '182', '404', '389', '384']
['95', '53', '134', '64', '124', '221', '172', '169', '254', '369', '422', '402']
['108', '26', '34', '175', '463', '398', '465', '385', '444', '358', '331', '319']
['131', '10', '98', '241', '260', '226', '219', '264', '353', '415', '466', '419']
['6', '122', '78', '8', '229', '258', '244', '207', '230', '339', '408', '399']
['87', '148', '31', '140', '17', '266', '177', '253', '235', '305', '410', '362']
['128', '52', '250', '307', '211', '375', '397', '344', '428', '431', '425', '405']
['66', '129', '9', '110', '41', '197', '159', '184', '234', '378', '451', '401']
['45', '88', '153', '144', '90', '154', '303', '214', '251', '166', '269', '394']
['105', '86', '21', '4', '149', '70', '83', '174', '167', '238', '345', '416']
['20', '72', '297', '160', '178', '180', '296', '280', '372', '450', '467', '366']
['15', '113', '24', '223', '196', '268', '341', '396', '365', '426', '386', '383']
['61', '114', '7', '97', '133', '157', '209', '285', '206', '388', '439', '453']
['33', '400', '295', '186', '257', '194', '457', '391', '387', '446', '393', '335']
['89', '96', '135', '57', '189', '262', '193', '161', '313', '423', '326', '333']
['91', '82', '12', '74', '147', '302', '228', '176', '315', '363', '374', '445']
['62', '69', '56', '314', '359', '337', '357', '370', '350', '336', '356', '349']
