['18', '31', '50', '60', '78', '105', '108', '119', '135', '200', '206', '211', '227', '233', '235', '287', '305', '325', '381', '406', '481', '482']
['8', '41', '46', '79', '81', '92', '131', '144', '155', '159', '176', '191', '222', '271', '273', '286', '296', '317', '329', '345', '349', '356']
['10', '22', '34', '62', '71', '99', '139', '201', '216', '226', '293', '300', '340', '373', '377', '402', '407', '412', '416', '447', '457', '470']
['11', '32', '40', '55', '118', '126', '177', '179', '218', '245', '265', '298', '301', '309', '315', '351', '388', '431', '432', '438', '459', '460']
['20', '23', '70', '77', '106', '122', '169', '196', '205', '209', '219', '241', '247', '290', '320', '352', '364', '371', '372', '390', '448', '475']
['30', '69', '80', '87', '90', '133', '145', '189', '190', '192', '195', '202', '213', '221', '225', '253', '294', '299', '361', '417', '421', '428']
['0', '4', '154', '242', '243', '244', '246', '248', '249', '250', '251', '252', '254', '255', '256', '257', '258', '259', '260', '261', '262', '263']
['5', '39', '88', '111', '161', '199', '230', '231', '240', '269', '322', '342', '350', '353', '374', '397', '410', '411', '446', '451', '453', '474']
['3', '19', '29', '33', '51', '65', '86', '121', '137', '165', '178', '186', '264', '297', '302', '346', '369', '389', '401', '422', '456', '478']
['6', '26', '57', '110', '114', '120', '185', '194', '198', '203', '217', '224', '228', '229', '274', '275', '291', '310', '331', '334', '429', '469']
['48', '67', '72', '96', '130', '181', '193', '214', '236', '279', '281', '283', '328', '335', '339', '343', '354', '395', '408', '442', '461', '467']
['1', '24', '37', '83', '109', '146', '156', '282', '288', '292', '333', '355', '357', '358', '363', '386', '387', '393', '399', '434', '439', '464']
['63', '75', '76', '89', '98', '132', '134', '157', '164', '166', '208', '220', '285', '312', '313', '365', '368', '398', '400', '423', '435', '452']
['42', '68', '101', '115', '123', '124', '129', '163', '170', '272', '307', '338', '379', '394', '426', '427', '430', '444', '455', '458', '463', '483']
['13', '17', '28', '94', '95', '112', '113', '128', '173', '180', '187', '284', '303', '306', '321', '327', '375', '414', '437', '449', '450', '476']
['7', '15', '35', '38', '82', '103', '117', '143', '151', '171', '188', '215', '289', '323', '336', '337', '341', '359', '465', '468', '473', '480']
['21', '52', '66', '73', '91', '97', '148', '152', '160', '162', '182', '197', '204', '223', '267', '332', '348', '367', '391', '403', '424', '471']
['12', '53', '56', '85', '102', '141', '175', '207', '239', '276', '278', '314', '316', '344', '378', '382', '409', '418', '433', '440', '443', '445']
['9', '25', '44', '54', '127', '136', '140', '142', '147', '158', '167', '174', '184', '266', '295', '308', '311', '324', '404', '462', '472', '479']
['16', '49', '84', '100', '107', '138', '172', '183', '212', '232', '237', '238', '268', '326', '330', '370', '380', '383', '384', '392', '413', '425']
['36', '45', '61', '64', '74', '93', '116', '125', '150', '153', '168', '210', '234', '270', '319', '360', '362', '376', '415', '419', '420', '477']
['2', '14', '27', '43', '47', '58', '59', '104', '149', '277', '280', '304', '318', '347', '366', '385', '396', '405', '436', '441', '454', '466']
