['32', '36', '47', '72', '85', '93', '96', '126', '179', '220', '232', '235', '248', '273', '283', '289', '296', '302', '323', '330', '339', '368', '459', '465', '471']
['9', '27', '42', '46', '55', '78', '97', '111', '128', '142', '170', '175', '211', '241', '246', '250', '257', '276', '297', '327', '331', '337', '374', '428', '449']
['5', '30', '41', '50', '59', '109', '136', '144', '157', '177', '182', '184', '240', '256', '261', '279', '284', '290', '328', '338', '409', '417', '437', '469', '497']
['0', '20', '66', '375', '376', '377', '378', '379', '380', '383', '384', '385', '386', '387', '388', '389', '390', '391', '393', '394', '395', '396', '397', '398', '399']
['38', '40', '48', '61', '67', '84', '94', '99', '108', '114', '115', '118', '127', '154', '163', '180', '202', '221', '233', '258', '373', '425', '429', '458', '498']
['2', '3', '19', '25', '64', '73', '83', '152', '187', '201', '216', '291', '305', '329', '341', '345', '356', '415', '420', '430', '435', '438', '450', '463', '475']
['74', '92', '95', '103', '107', '143', '174', '188', '206', '209', '219', '230', '243', '255', '259', '286', '334', '350', '410', '434', '454', '472', '476', '491', '494']
['54', '70', '75', '76', '77', '110', '112', '116', '129', '215', '218', '236', '238', '252', '277', '298', '309', '342', '371', '413', '422', '443', '445', '456', '460']
['14', '17', '90', '100', '134', '146', '148', '171', '181', '185', '190', '198', '203', '217', '231', '247', '282', '325', '347', '357', '436', '461', '473', '479', '495']
['26', '34', '43', '52', '86', '121', '140', '160', '172', '210', '214', '253', '271', '303', '304', '354', '367', '370', '372', '381', '411', '414', '446', '470', '490']
['1', '51', '56', '80', '88', '113', '147', '165', '168', '178', '194', '208', '225', '239', '299', '300', '312', '346', '408', '416', '444', '457', '478', '483', '485']
['28', '31', '62', '125', '139', '149', '161', '192', '193', '196', '226', '234', '242', '287', '293', '294', '306', '321', '343', '349', '355', '362', '365', '405', '427']
['8', '11', '23', '33', '37', '45', '63', '135', '223', '227', '267', '270', '272', '292', '315', '322', '332', '358', '363', '366', '432', '448', '466', '488', '493']
['21', '49', '53', '89', '117', '130', '155', '169', '173', '183', '186', '224', '237', '260', '288', '319', '324', '360', '400', '401', '402', '421', '426', '433', '489']
['7', '18', '39', '68', '71', '98', '106', '119', '145', '153', '195', '207', '244', '249', '251', '301', '311', '335', '348', '351', '403', '431', '451', '452', '492']
['10', '12', '44', '57', '69', '166', '167', '200', '212', '213', '266', '268', '285', '317', '318', '320', '336', '353', '364', '392', '404', '407', '439', '441', '467']
['4', '24', '29', '60', '65', '123', '131', '151', '162', '189', '197', '228', '245', '254', '262', '263', '275', '295', '308', '310', '340', '344', '406', '462', '482']
['6', '35', '82', '91', '102', '137', '138', '141', '156', '159', '176', '269', '281', '313', '314', '359', '382', '412', '418', '423', '440', '447', '468', '474', '496']
['22', '87', '101', '122', '124', '133', '164', '199', '204', '264', '265', '278', '307', '316', '326', '333', '352', '361', '369', '419', '424', '442', '453', '477', '484']
['13', '15', '16', '58', '79', '81', '104', '105', '120', '132', '150', '158', '191', '205', '222', '229', '274', '280', '455', '464', '480', '481', '486', '487', '499']
