['785', '143', '514', '273', '299', '541', '196', '422', '940', '314', '935', '171', '170', '721', '392', '570', '490', '615', '11', '636']
['698', '311', '998', '627', '167', '602', '133', '84', '366', '24', '224', '348', '758', '645', '453', '411', '100', '33', '588', '566']
['76', '961', '970', '757', '719', '684', '647', '686', '420', '953', '210', '269', '810', '598', '941', '75', '237', '362', '958', '367']
['909', '284', '176', '192', '430', '519', '874', '69', '82', '369', '120', '637', '797', '7', '774', '201', '137', '919', '384', '333']
['523', '775', '550', '389', '579', '435', '439', '9', '657', '516', '681', '255', '745', '265', '334', '880', '520', '247', '589', '418']
['610', '626', '256', '701', '371', '67', '136', '195', '794', '915', '62', '425', '394', '12', '816', '813', '613', '452', '456', '674']
['723', '181', '317', '606', '370', '358', '78', '202', '309', '926', '642', '49', '777', '706', '50', '969', '330', '946', '848', '443']
['898', '363', '665', '823', '742', '232', '862', '13', '264', '59', '942', '586', '20', '752', '621', '325', '473', '819', '53', '778']
['576', '634', '655', '790', '846', '173', '306', '239', '914', '429', '631', '707', '975', '985', '27', '286', '338', '945', '80', '328']
['837', '293', '489', '858', '398', '815', '89', '155', '383', '699', '708', '944', '584', '147', '923', '468', '205', '110', '399', '423']
['115', '444', '951', '294', '693', '765', '879', '554', '203', '878', '920', '769', '886', '134', '539', '724', '41', '680', '162', '184']
['29', '795', '460', '105', '295', '653', '581', '755', '834', '318', '927', '212', '119', '180', '72', '990', '902', '298', '918', '583']
['368', '496', '952', '185', '807', '611', '45', '524', '446', '1', '407', '805', '773', '817', '14', '933', '838', '246', '90', '124']
['901', '663', '957', '258', '347', '476', '470', '717', '866', '614', '208', '10', '612', '865', '164', '332', '197', '190', '996', '191']
['355', '108', '992', '656', '972', '544', '749', '341', '335', '436', '730', '386', '91', '462', '643', '718', '979', '734', '290', '144']
['350', '768', '484', '903', '324', '743', '483', '828', '459', '863', '182', '198', '296', '321', '896', '339', '63', '821', '884', '44']
['792', '428', '501', '672', '248', '211', '413', '904', '924', '291', '994', '77', '567', '51', '305', '441', '145', '911', '500', '19']
['231', '726', '352', '696', '238', '109', '840', '849', '194', '868', '547', '887', '343', '16', '658', '850', '493', '859', '531', '960']
['112', '253', '270', '691', '812', '499', '543', '899', '599', '931', '511', '56', '832', '96', '175', '454', '508', '5', '357', '502']
['825', '310', '973', '463', '860', '0', '214', '31', '243', '481', '619', '748', '152', '438', '682', '925', '689', '603', '692', '811']
['732', '391', '746', '397', '17', '292', '245', '561', '377', '989', '555', '993', '129', '651', '652', '781', '857', '128', '153', '578']
['537', '551', '229', '741', '204', '700', '414', '316', '618', '754', '736', '125', '146', '150', '756', '521', '267', '169', '988', '396']
['79', '189', '485', '623', '262', '122', '763', '690', '668', '629', '376', '729', '670', '844', '964', '829', '404', '23', '390', '675']
['494', '408', '30', '803', '713', '230', '83', '187', '71', '761', '260', '930', '967', '962', '954', '437', '373', '359', '788', '235']
['127', '875', '40', '533', '268', '36', '987', '709', '506', '477', '894', '662', '283', '166', '57', '250', '163', '740', '851', '505']
['331', '585', '303', '563', '492', '971', '275', '738', '160', '274', '605', '864', '154', '685', '289', '528', '950', '568', '157', '28']
['457', '799', '68', '349', '88', '365', '562', '142', '854', '556', '433', '372', '517', '735', '107', '375', '907', '796', '95', '406']
['695', '46', '526', '877', '872', '6', '991', '679', '873', '507', '762', '64', '839', '917', '835', '480', '673', '966', '522', '809']
['74', '464', '891', '659', '98', '786', '897', '982', '574', '876', '861', '382', '895', '251', '977', '963', '447', '984', '888', '381']
['715', '739', '666', '38', '525', '101', '419', '149', '750', '770', '35', '906', '393', '138', '856', '664', '883', '601', '640', '913']
['694', '400', '87', '529', '980', '405', '39', '608', '870', '841', '48', '635', '965', '132', '892', '206', '772', '469', '764', '432']
['590', '702', '545', '148', '337', '227', '787', '221', '135', '223', '2', '939', '620', '111', '424', '540', '798', '374', '622', '249']
