['559', '952', '120', '155', '598', '35', '815', '581', '88', '761', '814', '264', '606', '883', '275', '751', '540', '494', '219', '75', '530']
['524', '134', '435', '216', '911', '127', '589', '50', '919', '732', '899', '150', '780', '657', '434', '189', '621', '820', '119', '44', '349', '342', '378', '573', '377', '561', '112', '220', '654', '161', '805', '650']
['656', '466', '343', '678', '126', '175', '594', '371', '211', '246', '388', '512', '18', '946', '142', '243', '490', '686', '898', '825', '151', '477', '124', '738', '436', '376', '337', '859', '800', '402', '174', '60']
['948', '894', '193', '831', '849', '754', '485', '411', '252', '204', '638', '521', '176', '910', '426', '160', '896', '850', '771', '878', '659', '111', '278', '557', '661', '544', '257', '563', '288', '230', '132', '786']
['582', '935', '649', '704', '576', '424', '341', '114', '138', '797', '482', '612', '658', '932', '225', '237', '788', '921', '431', '390', '318', '224', '769', '804', '369', '840', '939', '301', '391', '662', '722', '418']
['240', '350', '210', '956', '773', '422', '845', '775', '489', '940', '903', '304', '787', '22', '3', '109', '113', '33', '438', '236', '228', '443', '479', '924', '558', '715', '266', '734', '506', '536', '591', '324']
['384', '29', '231', '487', '72', '164', '503', '361', '81', '468', '103', '239', '699', '812', '99', '36', '11', '835', '188', '823', '643', '571', '392', '492', '542', '695', '560', '865', '743', '297', '414', '159']
['586', '223', '374', '511', '758', '484', '609', '348', '682', '94', '555', '923', '655', '711', '315', '143', '537', '846', '640', '684', '509', '593', '587', '334', '818', '705', '471', '194', '533', '879', '49', '84']
['256', '641', '393', '469', '209', '259', '779', '717', '723', '12', '526', '380', '441', '395', '258', '709', '38', '325', '869', '286', '269', '578', '539', '427', '790', '283', '291', '141', '535', '173', '782', '602']
['385', '862', '273', '344', '755', '857', '177', '199', '65', '670', '76', '64', '244']
['691', '712', '171', '954', '577', '851', '277', '400', '716', '89', '319', '245', '604', '310', '881', '750', '907', '614', '457', '433', '37', '514', '279', '821', '826', '172', '185', '2', '810', '884', '381', '949']
['265', '909', '500', '664', '798', '197', '52', '817', '927', '421', '803', '41', '876', '507', '6', '293', '853', '15', '196', '139', '493', '625', '162', '0', '543', '255', '957', '663', '792', '901', '207', '386']
['837', '398', '632', '83', '706', '498', '309', '136', '736', '450', '841', '183', '564', '202', '452', '644', '694', '860', '596', '145', '836', '66', '373', '510', '808', '261', '285', '412', '345', '937', '40', '938']
['647', '950', '570', '538', '622', '749', '759', '476', '631', '611', '146', '387', '652', '190', '133', '784', '486', '57', '731', '595', '827', '17', '370', '214', '839', '895', '547', '630', '778', '618', '942', '227']
['707', '955', '872', '794', '676', '847', '149', '140', '726', '943', '419', '218', '733', '70', '308', '890', '364', '922', '583', '340', '541', '274', '914', '45', '725', '617', '766', '534', '889', '747', '4', '660']
['569', '861', '628', '336', '501', '697', '552', '610', '554', '215', '567', '912', '467', '504', '303', '249', '357', '90', '292', '729', '287', '719', '708', '247', '668', '925', '403', '316', '102', '313', '675', '222']
['372', '108', '299', '801', '740', '483', '129', '669', '516', '834', '811', '107', '619', '832', '944', '9', '367', '702', '796', '320', '440', '548', '648', '681', '282', '673', '362', '351', '700', '213', '627', '328']
['626', '92', '474', '880', '62', '842', '674', '182', '529', '125', '180', '54', '685', '23', '358', '179', '934', '105', '389', '683', '809', '824', '187', '799', '642', '307', '783', '332', '327', '615', '34', '692']
['793', '871', '61', '48', '144', '579', '550', '480', '404', '496', '366', '27', '745', '95', '192', '20', '806', '205', '764', '399', '941', '77', '525', '597', '646', '742', '833', '198', '908', '936', '405', '756']
['152', '961', '701', '346', '253', '401', '333', '302', '82', '14', '154', '456', '527', '629', '917', '445', '191', '97', '8', '813', '549', '432', '79', '551', '406', '517', '147', '930', '167', '874', '311', '665']
['885', '128', '519', '158', '590', '272', '312', '359', '789', '331', '201', '651', '39', '96', '585', '458', '566', '768', '56', '753', '635', '459', '698', '455', '727', '703', '365', '397', '502', '592', '461', '354']
['958', '416', '21', '51', '449', '242', '545', '713', '465', '314', '460', '515', '687', '42', '546', '353', '770', '864', '166', '91', '763', '238', '776', '945', '137', '69', '415', '844', '653', '735', '737', '600']
['263', '321', '181', '693', '251', '295', '565', '329', '822', '260', '74', '442', '451', '623', '645', '873', '478', '131', '607', '856', '574', '918', '523', '448', '115', '446', '169', '562', '429', '59', '580', '148']
['163', '1', '886', '863', '93', '666', '439', '744', '746', '916', '410', '774', '556', '5', '959', '877', '867', '235', '791', '532', '98', '55', '31', '584', '71', '339', '616', '637', '296', '226', '396', '430']
['420', '765', '217', '428', '828', '423', '608', '330', '335', '688', '407', '858', '720', '887', '900', '599', '672', '953', '24', '294', '913', '680', '689', '568', '352', '305', '866', '951', '322', '472', '232', '425']
['43', '290', '875', '920', '355', '710', '777', '633', '241', '601', '671', '464', '80', '724', '289', '68', '250', '843', '104', '473', '184', '444', '156', '848', '620', '417', '338', '100', '375', '470', '26', '46']
['520', '767', '605', '781', '116', '206', '882', '926', '819', '437', '212', '714', '497', '118', '795', '122', '624', '838', '454', '488', '121', '262', '906', '101', '170', '168', '481', '730', '752', '690', '854', '528']
['10', '270', '891', '58', '368', '933', '268', '135', '203', '855', '284', '267', '852', '195', '233', '495', '772', '229', '902', '904', '830', '748', '208', '762', '696', '760', '475', '741', '757', '7', '721', '928']
['667', '905', '522', '47', '413', '892', '298', '382', '505', '73', '491', '300', '85', '508', '78', '363', '30', '67', '200', '25', '679', '453', '408', '130', '816', '117', '947', '870', '613', '123', '186', '409']
['326', '394', '888', '19', '248', '639', '317', '276', '915', '153', '553', '462', '28', '281', '807', '254', '518', '13', '531', '893', '929', '87', '677', '931', '360', '178', '110', '785', '106', '739', '634', '280']
['868', '513', '636', '323', '588', '829', '234', '383', '463', '960', '16', '379', '157', '86', '603', '572', '728', '499', '165', '306', '356', '718', '802', '63', '221', '575', '32', '447', '53', '347', '271', '897']
