['a76', 'a104', 'a140', 'a185', 'a225', 'a237', 'a258', 'a268', 'a326', 'a429', 'a430', 'a442']
['a9', 'a80', 'a126', 'a221', 'a223', 'a226', 'a228', 'a249', 'a260', 'a383', 'a468', 'a472']
['a14', 'a55', 'a81', 'a155', 'a173', 'a180', 'a212', 'a259', 'a285', 'a323', 'a427', 'a462']
['a47', 'a58', 'a97', 'a101', 'a191', 'a203', 'a272', 'a301', 'a312', 'a329', 'a341', 'a354']
['a75', 'a91', 'a120', 'a121', 'a164', 'a183', 'a290', 'a338', 'a372', 'a405', 'a440', 'a449']
['a49', 'a90', 'a130', 'a207', 'a230', 'a236', 'a278', 'a291', 'a327', 'a331', 'a447', 'a465']
['a7', 'a133', 'a199', 'a208', 'a210', 'a229', 'a234', 'a266', 'a281', 'a297', 'a311', 'a394']
['a69', 'a92', 'a116', 'a232', 'a233', 'a254', 'a256', 'a332', 'a367', 'a408', 'a418', 'a420']
['a16', 'a77', 'a177', 'a235', 'a302', 'a303', 'a313', 'a321', 'a388', 'a396', 'a435', 'a453']
['a48', 'a53', 'a153', 'a271', 'a276', 'a282', 'a296', 'a347', 'a350', 'a368', 'a419', 'a455']
['a51', 'a109', 'a112', 'a135', 'a197', 'a241', 'a264', 'a381', 'a385', 'a410', 'a426', 'a473']
['a24', 'a50', 'a59', 'a125', 'a157', 'a182', 'a193', 'a298', 'a307', 'a340', 'a371', 'a470']
['a4', 'a117', 'a148', 'a154', 'a161', 'a170', 'a220', 'a336', 'a404', 'a456', 'a471', 'a479']
['a5', 'a17', 'a99', 'a134', 'a198', 'a213', 'a316', 'a322', 'a337', 'a431', 'a469', 'a480']
['a30', 'a34', 'a35', 'a62', 'a96', 'a115', 'a209', 'a211', 'a251', 'a309', 'a349', 'a424']
['a107', 'a156', 'a224', 'a238', 'a245', 'a270', 'a277', 'a357', 'a403', 'a421', 'a448', 'a451']
['a21', 'a68', 'a149', 'a163', 'a201', 'a214', 'a265', 'a284', 'a378', 'a393', 'a433', 'a463']
['a82', 'a136', 'a174', 'a253', 'a289', 'a292', 'a333', 'a345', 'a356', 'a413', 'a437', 'a475']
['a41', 'a151', 'a167', 'a215', 'a328', 'a339', 'a355', 'a389', 'a395', 'a416', 'a417', 'a466']
['a143', 'a144', 'a147', 'a242', 'a247', 'a262', 'a346', 'a362', 'a369', 'a415', 'a438', 'a464']
['a73', 'a74', 'a85', 'a88', 'a95', 'a114', 'a188', 'a352', 'a377', 'a380', 'a387', 'a392']
['a22', 'a28', 'a31', 'a57', 'a102', 'a141', 'a168', 'a219', 'a293', 'a399', 'a432', 'a445']
['a2', 'a56', 'a98', 'a128', 'a172', 'a216', 'a299', 'a308', 'a318', 'a370', 'a373', 'a402']
['a23', 'a93', 'a129', 'a248', 'a257', 'a300', 'a319', 'a324', 'a386', 'a401', 'a458', 'a459']
['a26', 'a32', 'a33', 'a45', 'a66', 'a72', 'a160', 'a202', 'a244', 'a250', 'a294', 'a428']
['a15', 'a19', 'a38', 'a43', 'a105', 'a132', 'a165', 'a178', 'a358', 'a391', 'a409', 'a414']
['a3', 'a18', 'a39', 'a61', 'a127', 'a295', 'a310', 'a343', 'a411', 'a444', 'a467', 'a474']
['a11', 'a13', 'a42', 'a86', 'a137', 'a171', 'a200', 'a263', 'a304', 'a342', 'a365', 'a400']
['a36', 'a111', 'a123', 'a166', 'a169', 'a184', 'a246', 'a255', 'a288', 'a306', 'a425', 'a476']
['a37', 'a44', 'a60', 'a83', 'a108', 'a146', 'a218', 'a274', 'a334', 'a376', 'a406', 'a443']
['a46', 'a64', 'a70', 'a118', 'a119', 'a261', 'a279', 'a280', 'a351', 'a364', 'a439', 'a477']
['a27', 'a52', 'a65', 'a78', 'a192', 'a240', 'a252', 'a287', 'a305', 'a374', 'a390', 'a457']
['a8', 'a25', 'a79', 'a84', 'a103', 'a113', 'a159', 'a217', 'a320', 'a441', 'a461', 'a478']
['a20', 'a29', 'a67', 'a89', 'a139', 'a162', 'a196', 'a206', 'a315', 'a330', 'a353', 'a412']
['a12', 'a63', 'a106', 'a176', 'a187', 'a227', 'a314', 'a366', 'a384', 'a422', 'a434', 'a450']
['a1', 'a110', 'a138', 'a189', 'a204', 'a205', 'a222', 'a231', 'a239', 'a398', 'a423', 'a436']
['a124', 'a142', 'a145', 'a175', 'a181', 'a186', 'a317', 'a359', 'a379', 'a382', 'a454', 'a460']
['a6', 'a10', 'a94', 'a100', 'a190', 'a243', 'a275', 'a335', 'a360', 'a361', 'a363', 'a407']
['a71', 'a87', 'a150', 'a152', 'a158', 'a179', 'a267', 'a269', 'a273', 'a286', 'a348', 'a452']
['a40', 'a54', 'a122', 'a131', 'a194', 'a195', 'a283', 'a325', 'a344', 'a375', 'a397', 'a446']
