['96', '192', '237']
['4', '57', '125', '147']
['155', '158', '160', '178']
['120', '183', '239', '246']
['122', '130', '230']
['3', '56', '157', '236']
['2', '53', '104', '238']
['8', '47', '134', '206']
['18', '20', '83', '197']
['50', '140', '146', '231']
['34', '74', '99', '191']
['129', '163', '210', '241']
['89', '114', '159', '234']
['62', '76', '132', '194']
['6', '121', '168', '243']
['73', '92', '133', '195']
['17', '19', '204', '228']
['113', '123', '200', '214']
['31', '79', '110', '212']
['60', '202', '223', '225']
['5', '36', '70', '143']
['9', '85', '188', '247']
['33', '46', '111', '164']
['21', '29', '84', '208']
['64', '166', '207', '245']
['37', '52', '93', '224']
['25', '55', '75', '137']
['12', '153', '169', '229']
['144', '149', '216', '232']
['78', '142', '226', '244']
['24', '126', '190', '219']
['28', '38', '81', '193']
['14', '39', '72', '248']
['100', '103', '189', '205']
['40', '71', '112', '172']
['30', '173', '196', '213']
['16', '27', '203', '220']
['148', '165', '186', '240']
['22', '67', '90', '215']
['32', '127', '150', '235']
['11', '152', '211', '249']
['105', '182', '185', '233']
['65', '68', '77', '175']
['48', '88', '124', '209']
['51', '59', '69', '176']
['45', '94', '118', '221']
['102', '135', '139', '162']
['35', '91', '97', '170']
['86', '115', '179', '199']
['10', '15', '49', '119']
['44', '107', '161', '218']
['87', '181', '217', '242']
['82', '106', '154', '167']
['23', '42', '43', '171']
['0', '26', '201', '227']
['41', '98', '109', '145']
['58', '80', '128', '198']
['66', '131', '136', '151']
['95', '117', '177', '180']
['13', '101', '138', '184']
['63', '108', '116', '156']
['54', '141', '174', '222']
['1', '7', '61', '187']
