['2', '7', '122', '123', '251', '270', '276']
['1', '105', '116', '127', '130', '269', '271']
['9', '12', '14', '66', '146', '166', '320']
['226', '248', '250', '275', '291', '304', '305']
['84', '99', '101', '103', '104', '279', '314']
['109', '131', '133', '203', '207', '281', '349']
['8', '114', '119', '145', '148', '285', '289']
['40', '157', '158', '159', '160', '312', '326']
['22', '111', '330', '331', '332', '333', '345']
['44', '46', '89', '90', '147', '287', '319']
['129', '191', '192', '193', '194', '196', '350']
['81', '83', '211', '324', '327', '329', '343']
['25', '80', '201', '204', '206', '208', '209']
['42', '137', '220', '224', '232', '235', '277']
['65', '132', '156', '164', '165', '173', '317']
['47', '49', '144', '180', '298', '300', '310']
['36', '93', '142', '143', '198', '337', '346']
['17', '18', '21', '31', '94', '252', '328']
['254', '256', '257', '258', '268', '272', '274']
['35', '92', '95', '106', '242', '338', '339']
['33', '67', '85', '86', '87', '88', '96']
['110', '178', '190', '195', '316', '322', '341']
['27', '113', '177', '188', '228', '231', '255']
['237', '292', '294', '309', '311', '313', '315']
['41', '112', '221', '240', '283', '284', '293']
['134', '136', '163', '189', '197', '199', '321']
['26', '149', '151', '154', '155', '162', '168']
['30', '107', '150', '152', '153', '186', '213']
['58', '62', '63', '218', '241', '282', '318']
['10', '11', '13', '15', '16', '19', '78']
['3', '71', '139', '290', '302', '306', '307']
['72', '210', '225', '227', '229', '230', '246']
['77', '117', '261', '262', '263', '265', '266']
['79', '108', '141', '161', '215', '260', '264']
['48', '75', '295', '296', '297', '299', '301']
['51', '52', '59', '60', '91', '97', '202']
['20', '24', '38', '126', '138', '200', '259']
['6', '205', '222', '233', '234', '236', '238']
['4', '64', '68', '69', '70', '135', '247']
['23', '28', '29', '32', '34', '76', '342']
['115', '118', '120', '121', '124', '125', '140']
['43', '128', '170', '176', '253', '273', '278']
['37', '98', '172', '323', '344', '347', '348']
['39', '181', '183', '214', '216', '219', '223']
['57', '61', '82', '100', '182', '184', '249']
['167', '169', '171', '174', '217', '286', '325']
['5', '179', '267', '334', '335', '336', '340']
['102', '175', '185', '187', '288', '303', '308']
['45', '50', '53', '54', '55', '56', '212']
['73', '74', '239', '243', '244', '245', '280']
