['236', '903', '54', '819', '991', '424', '181', '386', '875', '777', '375', '162', '574', '927', '741', '275', '338', '826', '334', '264']
['389', '452', '40', '679', '335', '343', '107', '296', '580', '725', '227', '175', '148', '432', '904', '163', '549', '233', '543', '450']
['475', '60', '388', '400', '413', '810', '782', '217', '731', '194', '131', '801', '873', '876', '702', '989', '550', '559', '805', '779']
['49', '490', '739', '448', '959', '548', '924', '178', '10', '329', '845', '787', '126', '505', '784', '197', '12', '886', '344', '241']
['471', '786', '299', '245', '563', '515', '410', '258', '814', '641', '565', '411', '965', '301', '639', '656', '880', '238', '468', '139']
['775', '519', '282', '988', '332', '354', '964', '292', '837', '72', '113', '438', '425', '214', '427', '497', '305', '211', '13', '361']
['136', '790', '822', '726', '735', '29', '742', '911', '570', '297', '896', '160', '749', '51', '87', '831', '119', '360', '439', '620']
['895', '39', '564', '350', '689', '524', '936', '186', '884', '952', '915', '697', '48', '138', '204', '333', '129', '116', '664', '509']
['798', '596', '860', '164', '820', '27', '871', '532', '35', '824', '382', '478', '455', '447', '945', '381', '195', '946', '20', '44']
['428', '889', '437', '464', '253', '242', '170', '45', '127', '466', '317', '70', '362', '31', '812', '818', '250', '172', '68', '598']
['665', '404', '287', '409', '526', '558', '840', '104', '311', '728', '655', '156', '376', '325', '833', '535', '473', '916', '506', '811']
['248', '560', '696', '521', '584', '950', '983', '391', '446', '684', '727', '155', '813', '372', '65', '882', '534', '429', '555', '633']
['925', '323', '182', '901', '342', '458', '124', '234', '33', '235', '261', '893', '666', '600', '228', '320', '953', '611', '621', '377']
['336', '898', '795', '239', '753', '67', '62', '750', '278', '207', '152', '793', '642', '829', '37', '817', '270', '770', '503', '592']
['913', '897', '934', '306', '359', '6', '73', '874', '719', '314', '856', '972', '91', '98', '159', '0', '219', '125', '883', '88']
['64', '981', '255', '553', '479', '780', '55', '319', '949', '94', '208', '378', '533', '690', '47', '513', '644', '252', '499', '682']
['695', '557', '607', '755', '603', '71', '414', '16', '618', '851', '762', '371', '891', '213', '187', '81', '223', '881', '86', '832']
['862', '956', '201', '42', '56', '657', '624', '743', '41', '686', '141', '951', '230', '102', '454', '587', '602', '341', '303', '597']
['518', '100', '794', '176', '670', '672', '337', '196', '347', '209', '384', '733', '854', '8', '683', '285', '510', '76', '373', '623']
['358', '491', '556', '133', '680', '363', '806', '108', '816', '885', '857', '225', '539', '364', '365', '502', '19', '821', '589', '577']
['968', '716', '599', '407', '110', '619', '462', '22', '257', '773', '552', '791', '759', '705', '474', '692', '440', '765', '486', '153']
['507', '864', '982', '718', '482', '310', '263', '766', '504', '180', '855', '576', '28', '38', '966', '943', '188', '144', '703', '699']
['444', '582', '280', '161', '879', '905', '50', '938', '185', '712', '804', '349', '713', '698', '637', '132', '30', '992', '406', '892']
['368', '909', '393', '267', '77', '467', '849', '146', '971', '789', '115', '500', '46', '184', '34', '355', '744', '192', '650', '268']
['843', '83', '523', '667', '937', '249', '674', '53', '888', '134', '627', '460', '93', '312', '516', '75', '823', '797', '390', '495']
['316', '92', '97', '286', '288', '612', '763', '907', '865', '512', '90', '222', '118', '922', '412', '481', '304', '608', '527', '168']
['24', '987', '190', '828', '929', '761', '544', '724', '961', '488', '547', '926', '43', '395', '708', '480', '451', '284', '658', '57']
['634', '935', '59', '688', '673', '542', '955', '939', '554', '654', '123', '169', '416', '976', '899', '839', '262', '530', '693', '128']
['758', '847', '691', '484', '772', '796', '651', '788', '928', '143', '174', '283', '419', '370', '244', '106', '808', '622', '221', '838']
['122', '226', '973', '969', '166', '861', '274', '173', '601', '590', '9', '383', '366', '483', '675', '941', '662', '659', '586', '415']
['877', '648', '290', '800', '137', '324', '426', '191', '121', '165', '629', '872', '960', '101', '887', '830', '594', '63', '930', '167']
['402', '940', '932', '498', '588', '778', '4', '980', '78', '351', '117', '867', '835', '339', '379', '328', '706', '345', '309', '933']
['224', '112', '417', '730', '259', '340', '975', '721', '714', '189', '237', '489', '931', '193', '61', '573', '997', '834', '746', '900']
['216', '978', '767', '774', '863', '799', '912', '944', '149', '277', '710', '640', '776', '609', '998', '986', '470', '422', '676', '585']
['551', '74', '514', '246', '717', '917', '69', '84', '443', '251', '859', '199', '751', '18', '962', '918', '579', '723', '756', '457']
['732', '910', '494', '158', '485', '575', '700', '869', '418', '747', '313', '593', '441', '203', '844', '356', '135', '294', '677', '545']
['266', '369', '757', '920', '669', '322', '850', '963', '528', '687', '511', '636', '111', '357', '150', '740', '80', '566', '591', '25']
['260', '685', '431', '715', '668', '783', '738', '647', '985', '866', '645', '858', '198', '581', '870', '781', '327', '967', '613', '247']
['954', '96', '23', '293', '326', '737', '501', '561', '79', '99', '229', '729', '984', '14', '272', '736', '58', '66', '212', '401']
['17', '367', '632', '147', '701', '243', '1', '435', '380', '142', '295', '522', '734', '606', '456', '604', '476', '453', '894', '430']
['919', '436', '307', '638', '722', '179', '403', '157', '183', '496', '374', '394', '541', '82', '614', '210', '103', '663', '792', '536']
['463', '308', '420', '836', '652', '469', '595', '571', '271', '321', '145', '990', '89', '678', '206', '752', '130', '853', '616', '408']
['914', '7', '105', '442', '771', '671', '610', '276', '704', '240', '200', '477', '300', '825', '120', '653', '754', '5', '177', '649']
['908', '461', '764', '711', '26', '202', '493', '572', '232', '3', '52', '95', '993', '256', '979', '348', '707', '635', '996', '171']
['265', '768', '398', '540', '508', '392', '626', '114', '841', '405', '803', '36', '947', '517', '661', '330', '890', '15', '269', '681']
['660', '948', '538', '385', '520', '748', '449', '745', '562', '942', '492', '445', '529', '396', '32', '421', '578', '906', '807', '140']
['21', '694', '531', '994', '109', '720', '568', '459', '569', '353', '646', '346', '923', '583', '537', '809', '958', '525', '970', '957']
['878', '785', '315', '567', '215', '289', '291', '154', '151', '999', '352', '615', '852', '220', '254', '423', '827', '848', '977', '273']
['298', '815', '465', '433', '302', '846', '630', '631', '397', '546', '868', '902', '85', '11', '643', '279', '605', '995', '769', '709']
['218', '231', '331', '281', '205', '318', '434', '628', '487', '2', '625', '974', '399', '617', '760', '472', '842', '387', '802', '921']
