['622', '634', '443', '259', '665']
['366', '807', '729', '825', '724']
['193', '611', '912', '526', '268']
['379', '735', '7', '111', '599']
['642', '470', '419', '174', '832']
['74', '525', '394', '863', '523']
['416', '723', '550', '922', '197']
['757', '555', '655', '239', '603']
['517', '824', '407', '260', '194']
['498', '680', '519', '207', '435']
['235', '565', '463', '225', '918']
['503', '27', '146', '56', '919']
['798', '666', '576', '958', '750']
['650', '337', '522', '305', '87']
['588', '41', '112', '79', '327']
['438', '191', '742', '816', '890']
['954', '290', '762', '257', '331']
['51', '300', '315', '867', '200']
['334', '16', '744', '741', '209']
['754', '857', '606', '910', '250']
['249', '826', '795', '800', '616']
['866', '175', '232', '108', '385']
['692', '187', '270', '351', '383']
['702', '664', '940', '877', '90']
['995', '983', '963', '978', '577']
['432', '311', '481', '493', '917']
['444', '319', '831', '936', '282']
['819', '628', '604', '976', '94']
['454', '504', '371', '787', '440']
['736', '602', '791', '389', '412']
['956', '302', '962', '818', '827']
['155', '993', '929', '13', '299']
['589', '114', '310', '40', '144']
['635', '181', '265', '410', '580']
['141', '856', '262', '578', '95']
['398', '722', '822', '204', '644']
['653', '442', '701', '952', '129']
['942', '343', '219', '286', '652']
['100', '959', '688', '39', '811']
['772', '380', '647', '323', '869']
['623', '245', '964', '892', '871']
['188', '49', '126', '218', '547']
['601', '439', '510', '845', '778']
['593', '533', '499', '159', '645']
['711', '368', '415', '714', '594']
['326', '238', '583', '414', '72']
['530', '102', '487', '770', '713']
['18', '631', '684', '524', '710']
['465', '939', '453', '433', '261']
['876', '528', '269', '850', '420']
['430', '391', '386', '367', '17']
['335', '562', '61', '68', '543']
['186', '693', '815', '309', '136']
['178', '140', '10', '539', '590']
['694', '333', '696', '424', '392']
['86', '632', '755', '820', '352']
['370', '500', '686', '549', '743']
['654', '148', '984', '460', '205']
['246', '48', '25', '572', '988']
['47', '914', '511', '241', '109']
['458', '284', '759', '774', '226']
['947', '784', '571', '150', '298']
['705', '283', '96', '789', '769']
['937', '26', '73', '24', '320']
['147', '119', '506', '400', '567']
['346', '793', '456', '717', '813']
['721', '658', '292', '660', '28']
['43', '725', '143', '312', '206']
['903', '916', '846', '122', '92']
['913', '110', '969', '695', '585']
['662', '640', '328', '104', '509']
['271', '986', '579', '488', '595']
['373', '356', '880', '598', '708']
['924', '779', '384', '163', '889']
['553', '990', '278', '455', '753']
['862', '82', '859', '34', '955']
['124', '843', '745', '560', '153']
['785', '849', '651', '202', '607']
['718', '521', '33', '768', '417']
['165', '447', '91', '236', '307']
['761', '661', '405', '649', '570']
['377', '151', '600', '830', '0']
['340', '788', '926', '184', '213']
['179', '281', '536', '242', '734']
['85', '556', '65', '675', '709']
['505', '404', '285', '374', '471']
['255', '161', '899', '887', '895']
['3', '468', '875', '67', '266']
['797', '977', '893', '449', '339']
['896', '967', '182', '60', '166']
['608', '584', '130', '610', '303']
['176', '792', '267', '630', '461']
['870', '272', '544', '70', '304']
['387', '248', '131', '276', '685']
['596', '22', '279', '799', '42']
['883', '365', '532', '828', '558']
['677', '280', '138', '106', '804']
['8', '933', '358', '953', '727']
['171', '732', '619', '183', '615']
['564', '375', '399', '294', '996']
['542', '23', '157', '950', '733']
['180', '597', '541', '240', '336']
['894', '54', '551', '997', '222']
['897', '771', '214', '139', '478']
['98', '974', '134', '965', '154']
['341', '50', '19', '960', '195']
['105', '520', '185', '198', '681']
['220', '814', '868', '568', '173']
['848', '489', '486', '190', '663']
['981', '559', '987', '348', '291']
['657', '698', '251', '691', '107']
['720', '321', '726', '886', '44']
['808', '421', '614', '243', '508']
['78', '55', '221', '968', '834']
['496', '482', '441', '776', '943']
['64', '113', '704', '949', '403']
['59', '982', '35', '812', '160']
['985', '951', '362', '806', '464']
['636', '923', '839', '512', '353']
['881', '854', '378', '699', '5']
['573', '852', '865', '227', '557']
['361', '884', '80', '152', '127']
['297', '364', '457', '313', '177']
['909', '156', '423', '507', '783']
['338', '777', '57', '930', '9']
['475', '6', '888', '747', '738']
['794', '858', '673', '274', '513']
['167', '132', '230', '998', '980']
['911', '120', '216', '767', '492']
['244', '196', '716', '325', '429']
['703', '873', '991', '168', '683']
['851', '234', '395', '263', '322']
['355', '900', '99', '452', '229']
['853', '878', '796', '810', '617']
['4', '638', '782', '667', '169']
['751', '359', '966', '527', '609']
['199', '409', '546', '707', '490']
['561', '382', '81', '643', '388']
['531', '103', '15', '860', '687']
['142', '480', '69', '314', '201']
['363', '357', '612', '38', '823']
['659', '318', '637', '656', '71']
['203', '648', '434', '945', '411']
['431', '879', '569', '639', '817']
['715', '344', '123', '164', '437']
['676', '618', '872', '436', '731']
['11', '739', '376', '957', '835']
['273', '462', '805', '864', '491']
