['425', '229', '36', '89', '648', '858', '167', '386', '34', '999']
['821', '48', '786', '319', '364', '135', '368', '945', '407', '170']
['267', '883', '549', '28', '459', '992', '768', '939', '8', '530']
['617', '952', '457', '785', '948', '518', '507', '829', '193', '365']
['977', '604', '661', '480', '195', '665', '913', '63', '279', '755']
['898', '996', '607', '700', '633', '824', '44', '570', '981', '888']
['355', '808', '505', '781', '114', '910', '258', '20', '635', '420']
['817', '13', '531', '93', '394', '789', '950', '645', '585', '513']
['797', '243', '343', '105', '222', '964', '614', '383', '275', '60']
['256', '127', '245', '606', '80', '448', '580', '436', '682', '718']
['411', '171', '83', '479', '333', '629', '589', '528', '915', '692']
['176', '377', '820', '250', '660', '88', '741', '278', '602', '874']
['9', '592', '70', '890', '884', '681', '156', '885', '868', '990']
['655', '703', '600', '72', '49', '472', '581', '91', '779', '869']
['598', '745', '626', '339', '188', '595', '837', '489', '690', '95']
['985', '845', '772', '410', '784', '847', '92', '474', '504', '780']
['519', '129', '608', '466', '423', '272', '914', '71', '676', '594']
['669', '16', '509', '332', '843', '816', '654', '334', '652', '367']
['166', '143', '190', '749', '401', '863', '993', '432', '929', '7']
['577', '94', '121', '791', '328', '714', '58', '442', '764', '29']
['123', '325', '337', '280', '909', '41', '399', '498', '296', '211']
['418', '470', '947', '46', '575', '804', '431', '172', '371', '532']
['615', '630', '836', '444', '255', '552', '916', '175', '973', '2']
['297', '141', '748', '376', '232', '495', '314', '146', '422', '827']
['694', '517', '98', '191', '573', '832', '828', '889', '547', '155']
['148', '895', '798', '120', '870', '301', '180', '217', '393', '477']
['963', '716', '812', '335', '66', '356', '634', '329', '894', '593']
['769', '189', '953', '627', '702', '675', '185', '85', '584', '539']
['642', '536', '810', '954', '695', '102', '902', '99', '312', '979']
['366', '978', '201', '867', '81', '424', '106', '90', '879', '599']
['582', '771', '181', '218', '738', '373', '86', '619', '194', '524']
['45', '387', '855', '248', '283', '61', '302', '482', '0', '260']
['729', '37', '264', '110', '161', '510', '924', '688', '835', '583']
['641', '928', '134', '324', '14', '527', '209', '338', '182', '722']
['840', '79', '210', '292', '352', '240', '116', '994', '962', '725']
['347', '331', '104', '169', '478', '611', '922', '622', '469', '221']
['103', '907', '398', '414', '391', '733', '374', '545', '696', '822']
['906', '605', '806', '704', '147', '886', '520', '370', '621', '484']
['265', '638', '849', '650', '277', '109', '138', '526', '506', '740']
['27', '712', '65', '734', '535', '313', '508', '241', '563', '613']
['223', '207', '186', '831', '860', '320', '35', '807', '493', '159']
['663', '465', '555', '960', '357', '282', '236', '980', '69', '550']
['987', '551', '287', '290', '966', '566', '326', '512', '546', '87']
['205', '664', '483', '554', '983', '596', '666', '235', '108', '336']
['794', '228', '344', '842', '881', '341', '940', '434', '128', '42']
['574', '242', '158', '557', '142', '441', '113', '880', '576', '671']
