['214', '215', '242', '243', '244']
['44', '202', '203', '204', '205']
['45', '51', '193', '194', '232']
['91', '92', '93', '94', '245']
['168', '171', '173', '174', '175']
['147', '148', '149', '150', '201']
['20', '21', '76', '77', '118']
['33', '106', '109', '110', '247']
['100', '162', '216', '218', '219']
['24', '155', '157', '234', '235']
['47', '48', '52', '53', '237']
['31', '178', '179', '191', '192']
['6', '15', '186', '187', '188']
['79', '80', '134', '135', '220']
['153', '154', '211', '212', '213']
['156', '158', '159', '160', '248']
['132', '133', '136', '137', '139']
['73', '86', '87', '233', '246']
['46', '49', '138', '221', '222']
['11', '12', '62', '63', '240']
['124', '125', '226', '227', '229']
['141', '142', '143', '181', '231']
['84', '85', '236', '238', '239']
['78', '197', '198', '199', '200']
['41', '42', '43', '120', '228']
['88', '112', '113', '114', '115']
['17', '18', '19', '32', '107']
['23', '34', '140', '169', '170']
['102', '103', '183', '184', '185']
['36', '61', '121', '122', '123']
['16', '74', '104', '105', '225']
['116', '119', '151', '152', '196']
['30', '126', '128', '129', '130']
['54', '55', '117', '176', '177']
['7', '8', '9', '10', '37']
['38', '70', '127', '207', '208']
['13', '14', '111', '145', '161']
['89', '90', '108', '223', '224']
['56', '57', '58', '59', '60']
['25', '131', '166', '189', '190']
['144', '182', '206', '209', '210']
['1', '2', '3', '4', '241']
['22', '39', '40', '96', '99']
['5', '71', '72', '167', '230']
['50', '75', '95', '195', '217']
['66', '69', '81', '83', '146']
['64', '65', '82', '180', '250']
['35', '67', '68', '97', '98']
['26', '101', '163', '164', '165']
['27', '28', '29', '172', '249']
