['49', '83', '95', '198', '226', '253', '316', '449', '465', '485']
['19', '73', '121', '134', '242', '244', '402', '413', '437', '472']
['232', '238', '241', '273', '277', '369', '373', '423', '482', '493']
['14', '52', '281', '282', '288', '331', '336', '386', '409', '484']
['5', '43', '51', '114', '193', '240', '330', '362', '382', '450']
['11', '26', '118', '186', '229', '230', '314', '387', '391', '429']
['20', '96', '106', '156', '200', '203', '233', '292', '401', '470']
['3', '54', '72', '126', '131', '202', '231', '347', '348', '355']
['4', '9', '71', '100', '158', '173', '302', '345', '406', '448']
['91', '182', '183', '208', '396', '399', '426', '471', '473', '488']
['61', '62', '103', '104', '109', '110', '261', '394', '433', '476']
['75', '102', '130', '143', '180', '187', '287', '407', '432', '486']
['179', '217', '237', '247', '260', '317', '325', '338', '352', '419']
['199', '213', '254', '319', '320', '358', '363', '435', '441', '447']
['153', '210', '280', '307', '337', '351', '431', '434', '440', '458']
['6', '66', '84', '99', '209', '264', '305', '327', '367', '452']
['42', '326', '341', '344', '368', '418', '451', '454', '492', '494']
['101', '262', '268', '290', '312', '349', '356', '366', '388', '477']
['87', '93', '120', '140', '166', '195', '321', '397', '446', '467']
['37', '174', '245', '256', '310', '343', '350', '408', '461', '490']
['24', '139', '223', '227', '309', '335', '342', '428', '453', '456']
['1', '39', '128', '205', '207', '294', '296', '299', '304', '442']
['23', '53', '85', '138', '168', '272', '295', '297', '334', '410']
['15', '17', '50', '112', '119', '285', '303', '324', '460', '478']
['45', '55', '81', '89', '116', '151', '190', '196', '246', '308']
['32', '40', '150', '175', '216', '278', '313', '381', '398', '403']
['7', '10', '21', '58', '123', '149', '185', '371', '378', '380']
['79', '124', '129', '165', '170', '234', '235', '252', '392', '443']
['67', '108', '169', '191', '291', '404', '469', '487', '491', '496']
['46', '78', '125', '154', '167', '172', '243', '323', '375', '479']
['16', '107', '127', '177', '251', '270', '275', '370', '390', '459']
['22', '137', '215', '218', '271', '322', '339', '372', '444', '499']
['64', '145', '147', '178', '276', '286', '289', '318', '420', '466']
['148', '152', '155', '171', '189', '214', '306', '405', '462', '497']
['35', '38', '86', '212', '236', '315', '383', '393', '416', '480']
['2', '34', '59', '97', '111', '257', '265', '311', '354', '360']
['8', '113', '132', '162', '220', '225', '228', '332', '365', '377']
['57', '68', '90', '161', '194', '258', '263', '267', '357', '439']
['27', '28', '141', '239', '250', '374', '379', '385', '417', '436']
['31', '74', '105', '115', '201', '224', '329', '427', '430', '489']
['56', '133', '146', '159', '160', '164', '269', '293', '415', '463']
['44', '47', '48', '222', '259', '340', '353', '376', '422', '474']
['18', '33', '41', '65', '70', '176', '211', '219', '425', '500']
['25', '30', '144', '181', '188', '249', '283', '333', '384', '481']
['69', '80', '92', '163', '206', '248', '274', '298', '414', '438']
['36', '63', '117', '192', '266', '301', '328', '445', '495', '498']
['88', '98', '142', '221', '255', '284', '361', '364', '389', '421']
['12', '13', '60', '157', '184', '279', '300', '359', '412', '455']
['29', '77', '122', '197', '204', '400', '457', '468', '475', '483']
['76', '82', '94', '135', '136', '346', '395', '411', '424', '464']
