['347', '97', '567', '389', '480', '267']
['379', '284', '435', '547', '232', '153']
['222', '271', '716', '637', '523', '641']
['223', '594', '290', '502', '613', '156']
['146', '710', '118', '621', '616', '466']
['583', '94', '154', '397', '651', '179']
['396', '390', '247', '383', '39', '574']
['462', '451', '570', '526', '88', '189']
['591', '630', '568', '135', '195', '530']
['504', '198', '549', '15', '102', '377']
['701', '420', '590', '346', '693', '279']
['628', '676', '12', '158', '288', '596']
['618', '170', '680', '139', '714', '416']
['387', '145', '447', '454', '538', '363']
['354', '712', '16', '342', '207', '248']
['685', '604', '213', '275', '423', '23']
['14', '430', '214', '25', '348', '419']
['77', '273', '609', '555', '449', '166']
['65', '134', '321', '323', '408', '174']
['380', '602', '650', '718', '345', '661']
['633', '162', '257', '85', '263', '668']
['316', '89', '498', '106', '622', '580']
['374', '537', '125', '202', '160', '415']
['717', '573', '352', '228', '152', '612']
['78', '183', '719', '542', '448', '652']
['611', '270', '558', '337', '553', '30']
['662', '515', '157', '440', '519', '546']
['18', '239', '252', '254', '282', '599']
['545', '216', '617', '606', '24', '600']
['159', '677', '283', '682', '585', '698']
['569', '500', '544', '482', '562', '144']
['72', '649', '322', '514', '557', '93']
['291', '173', '410', '620', '412', '532']
['73', '632', '586', '172', '0', '310']
['104', '492', '293', '559', '311', '205']
['479', '276', '463', '177', '136', '521']
['62', '560', '191', '245', '357', '197']
['439', '697', '233', '116', '669', '338']
['219', '353', '50', '441', '46', '593']
['366', '368', '460', '115', '425', '249']
['130', '26', '255', '690', '455', '148']
['253', '689', '227', '336', '375', '424']
['495', '163', '301', '82', '86', '414']
['48', '499', '185', '627', '1', '91']
['108', '83', '229', '511', '60', '405']
['507', '133', '548', '181', '149', '438']
['552', '329', '655', '262', '199', '653']
['151', '527', '277', '341', '59', '109']
['563', '334', '312', '92', '675', '696']
['670', '237', '493', '654', '11', '215']
['325', '529', '294', '210', '188', '469']
['339', '478', '126', '168', '142', '360']
['351', '516', '7', '554', '484', '700']
['623', '36', '217', '52', '413', '487']
['111', '306', '344', '17', '631', '378']
['56', '226', '221', '686', '318', '584']
['47', '446', '403', '313', '539', '300']
['21', '211', '443', '531', '467', '362']
['303', '458', '711', '625', '640', '503']
['629', '2', '304', '647', '688', '399']
['190', '28', '299', '147', '33', '192']
['667', '575', '703', '120', '242', '307']
['167', '187', '393', '326', '75', '67']
['186', '565', '356', '648', '5', '100']
['556', '372', '204', '391', '501', '429']
['663', '496', '81', '646', '196', '58']
['643', '477', '428', '110', '388', '384']
['236', '113', '51', '528', '524', '218']
['470', '194', '702', '178', '657', '536']
['224', '656', '182', '708', '45', '266']
['681', '79', '687', '358', '64', '541']
['349', '459', '394', '131', '713', '305']
['582', '694', '107', '422', '442', '474']
['520', '309', '608', '105', '699', '434']
['314', '576', '243', '206', '605', '265']
['566', '302', '683', '238', '55', '6']
['320', '398', '165', '506', '660', '84']
['208', '461', '407', '645', '103', '315']
['69', '485', '465', '692', '298', '37']
['330', '63', '141', '452', '577', '200']
['66', '264', '589', '715', '272', '481']
['350', '112', '281', '80', '132', '473']
['709', '658', '43', '13', '468', '296']
['431', '518', '71', '597', '123', '19']
['87', '117', '287', '328', '9', '639']
['327', '96', '456', '231', '381', '41']
['601', '244', '20', '706', '636', '274']
['95', '659', '171', '124', '588', '471']
['444', '595', '241', '121', '4', '475']
['476', '44', '143', '402', '27', '34']
['180', '70', '335', '129', '453', '127']
['691', '292', '54', '119', '22', '505']
['579', '406', '258', '246', '260', '373']
['517', '671', '457', '261', '665', '332']
['525', '355', '571', '333', '674', '57']
['289', '8', '193', '340', '509', '488']
['225', '76', '99', '212', '705', '401']
['175', '286', '38', '376', '543', '535']
['418', '98', '234', '32', '486', '598']
['433', '436', '533', '445', '707', '259']
['426', '68', '280', '49', '491', '114']
['513', '42', '161', '427', '10', '184']
['319', '614', '40', '137', '3', '317']
['603', '176', '695', '269', '359', '371']
['250', '382', '370', '564', '385', '138']
['201', '169', '128', '164', '400', '490']
['512', '634', '578', '35', '101', '483']
['278', '230', '331', '404', '437', '494']
['256', '74', '31', '540', '678', '395']
['417', '203', '666', '386', '155', '369']
['684', '581', '551', '635', '592', '587']
['450', '53', '508', '29', '140', '489']
['615', '534', '251', '235', '297', '607']
['392', '626', '624', '409', '464', '411']
['365', '61', '642', '610', '367', '220']
['421', '522', '361', '704', '90', '644']
['664', '672', '308', '364', '638', '295']
['343', '324', '550', '268', '472', '679']
['285', '497', '673', '561', '122', '432']
['209', '510', '572', '150', '619', '240']
