['434', '511', '767', '668', '194', '766', '399', '637', '738', '597']
['51', '398', '320', '296', '326', '293', '763', '413', '438', '626']
['708', '743', '249', '546', '742', '346', '789', '154', '587', '797']
['753', '363', '741', '569', '601', '360', '726', '699', '133', '216']
['7', '458', '221', '19', '710', '388', '109', '93', '337', '9']
['468', '435', '657', '402', '328', '58', '263', '22', '224', '678']
['754', '623', '490', '103', '305', '471', '724', '344', '745', '23']
['122', '551', '148', '401', '558', '717', '212', '35', '219', '628']
['769', '684', '45', '125', '610', '336', '50', '752', '64', '525']
['302', '541', '647', '762', '325', '441', '68', '117', '193', '308']
['131', '463', '292', '264', '53', '274', '359', '632', '67', '256']
['152', '539', '677', '201', '310', '227', '516', '180', '416', '55']
['76', '299', '301', '512', '387', '278', '532', '238', '563', '503']
['251', '727', '113', '645', '433', '492', '612', '121', '95', '757']
['573', '384', '648', '62', '669', '155', '529', '73', '107', '488']
['177', '447', '412', '182', '393', '71', '3', '594', '602', '375']
['428', '49', '48', '673', '250', '18', '300', '209', '65', '147']
['236', '135', '243', '79', '625', '456', '439', '56', '686', '141']
['425', '157', '202', '616', '585', '736', '214', '59', '283', '615']
['776', '204', '32', '307', '725', '185', '513', '570', '319', '345']
['370', '102', '533', '368', '127', '366', '771', '261', '747', '80']
['505', '234', '105', '419', '453', '482', '77', '630', '786', '713']
['598', '72', '671', '174', '106', '692', '445', '722', '415', '611']
['90', '549', '322', '614', '521', '739', '621', '171', '716', '1']
['340', '97', '175', '63', '123', '144', '409', '354', '774', '592']
['150', '764', '295', '286', '407', '46', '672', '649', '118', '78']
['688', '603', '487', '414', '461', '203', '288', '37', '440', '631']
['629', '695', '352', '372', '88', '240', '138', '653', '430', '635']
['198', '96', '465', '248', '493', '318', '701', '374', '572', '571']
['604', '405', '343', '254', '509', '173', '112', '317', '190', '448']
['462', '367', '130', '260', '169', '242', '371', '733', '576', '455']
['213', '421', '600', '535', '636', '149', '321', '504', '431', '659']
['89', '365', '134', '540', '454', '187', '60', '775', '247', '244']
['432', '276', '581', '31', '44', '459', '364', '787', '160', '561']
['586', '172', '656', '315', '10', '379', '700', '681', '378', '266']
['8', '556', '675', '233', '220', '329', '290', '361', '436', '494']
['351', '772', '589', '536', '670', '277', '124', '530', '426', '74']
['27', '606', '460', '579', '514', '285', '139', '565', '528', '784']
['225', '682', '126', '515', '223', '84', '235', '309', '712', '709']
['410', '0', '665', '731', '241', '211', '25', '353', '404', '751']
['646', '690', '273', '765', '284', '687', '357', '489', '590', '655']
['61', '162', '159', '790', '580', '12', '715', '272', '161', '473']
['13', '495', '39', '389', '730', '332', '451', '181', '706', '397']
['382', '662', '641', '550', '749', '140', '780', '66', '255', '166']
['617', '548', '547', '634', '799', '111', '229', '381', '721', '559']
['100', '761', '481', '680', '186', '143', '756', '119', '17', '6']
['411', '20', '312', '545', '377', '267', '207', '164', '176', '183']
['331', '83', '38', '339', '192', '347', '446', '4', '178', '206']
['506', '618', '303', '110', '609', '467', '385', '760', '355', '524']
['485', '275', '400', '566', '26', '268', '429', '577', '537', '781']
['237', '552', '607', '380', '324', '544', '85', '510', '483', '323']
['316', '383', '311', '605', '146', '694', '11', '418', '280', '270']
['395', '81', '226', '115', '350', '633', '132', '798', '476', '170']
['470', '654', '28', '269', '40', '729', '643', '114', '327', '783']
['222', '208', '698', '94', '420', '30', '239', '650', '136', '750']
['651', '728', '595', '358', '759', '696', '287', '210', '165', '748']
['622', '265', '664', '679', '683', '69', '253', '734', '306', '330']
['33', '16', '137', '52', '36', '496', '195', '142', '42', '627']
['313', '427', '452', '486', '613', '497', '667', '43', '179', '718']
['608', '663', '15', '543', '560', '703', '394', '197', '555', '128']
['584', '522', '744', '342', '422', '778', '474', '444', '449', '501']
['596', '564', '457', '5', '168', '735', '599', '99', '714', '217']
['228', '534', '281', '480', '34', '792', '639', '205', '652', '167']
['191', '500', '104', '259', '262', '642', '704', '348', '14', '740']
['101', '24', '553', '527', '593', '557', '588', '54', '568', '245']
['660', '390', '218', '705', '443', '406', '252', '768', '466', '91']
['289', '691', '779', '661', '129', '755', '282', '349', '423', '341']
['298', '638', '785', '98', '230', '57', '502', '477', '583', '294']
['554', '770', '231', '304', '491', '644', '424', '373', '520', '258']
['484', '188', '658', '386', '746', '417', '199', '200', '693', '442']
['666', '145', '758', '279', '196', '437', '567', '450', '151', '518']
['21', '542', '702', '685', '333', '795', '469', '297', '538', '711']
['575', '732', '737', '676', '723', '697', '334', '232', '29', '362']
['338', '719', '674', '70', '523', '475', '41', '788', '391', '472']
['184', '689', '507', '120', '499', '508', '75', '582', '92', '720']
['246', '163', '526', '794', '782', '335', '108', '519', '796', '215']
['369', '392', '403', '47', '578', '620', '498', '640', '314', '707']
['189', '517', '271', '531', '82', '464', '791', '408', '619', '591']
['356', '116', '624', '257', '793', '396', '773', '153', '291', '86']
['156', '2', '777', '574', '562', '158', '478', '479', '87', '376']
