['993', '922', '805']
['42', '735', '681']
['450', '571', '788']
['794', '950', '202']
['885', '624', '580']
['308', '907', '773']
['708', '240', '442']
['241', '521', '148']
['517', '37', '211']
['565', '979', '519']
['835', '925', '899']
['749', '874', '425']
['538', '315', '464']
['302', '5', '94']
['145', '265', '366']
['652', '715', '249']
['834', '545', '706']
['204', '951', '250']
['779', '11', '628']
['96', '774', '882']
['372', '910', '503']
['612', '307', '666']
['80', '865', '470']
['154', '734', '985']
['676', '888', '140']
['446', '88', '955']
['69', '831', '516']
['954', '402', '92']
['162', '323', '485']
['554', '736', '856']
['152', '336', '329']
['602', '672', '994']
['590', '844', '306']
['863', '304', '668']
['458', '830', '276']
['445', '588', '319']
['472', '480', '859']
['783', '408', '664']
['56', '842', '431']
['254', '369', '212']
['220', '39', '937']
['528', '373', '716']
['440', '929', '360']
['309', '9', '368']
['800', '608', '449']
['581', '877', '448']
['282', '861', '476']
['12', '569', '725']
['804', '467', '303']
['443', '633', '362']
['792', '321', '875']
['129', '84', '481']
['838', '348', '916']
['938', '23', '258']
['566', '855', '16']
['790', '232', '247']
['83', '703', '327']
['176', '931', '539']
['810', '627', '506']
['813', '553', '857']
['246', '662', '947']
['299', '889', '136']
['649', '116', '723']
['860', '344', '103']
['848', '821', '331']
['802', '544', '478']
['635', '405', '661']
['986', '630', '699']
['157', '665', '87']
['568', '534', '305']
['169', '107', '933']
['919', '278', '222']
['654', '890', '398']
['233', '361', '586']
['996', '178', '791']
['141', '629', '809']
['274', '374', '359']
['81', '962', '127']
['942', '958', '351']
['386', '542', '497']
['461', '283', '607']
['696', '74', '968']
['403', '490', '430']
['636', '500', '300']
['850', '264', '475']
['771', '895', '631']
['400', '573', '945']
['172', '367', '971']
['392', '198', '989']
['168', '870', '572']
['106', '380', '851']
['134', '436', '466']
['913', '960', '439']
['730', '541', '923']
['603', '26', '535']
['693', '118', '143']
['880', '952', '89']
['928', '768', '253']
['940', '634', '24']
['483', '579', '433']
['600', '808', '690']
['196', '701', '396']
['530', '748', '845']
['332', '765', '551']
['598', '35', '63']
['71', '814', '547']
['165', '615', '843']
['619', '242', '252']
['946', '62', '473']
['199', '726', '924']
['117', '313', '78']
['113', '185', '447']
