['385', '393', '271', '321', '173', '601', '145', '9', '508', '776', '727', '733', '784', '197', '12', '222', '118', '817', '585', '341']
['21', '49', '925', '978', '758', '596', '717', '607', '755', '363', '940', '160', '584', '700', '365', '470', '663', '661', '330', '125']
['176', '7', '161', '919', '433', '436', '956', '442', '183', '69', '84', '619', '115', '446', '684', '729', '214', '223', '543', '693']
['136', '389', '942', '112', '307', '27', '929', '912', '944', '230', '965', '537', '394', '388', '413', '810', '370', '244', '357', '474']
['798', '428', '260', '728', '655', '156', '206', '751', '712', '804', '11', '220', '423', '252', '360', '825', '88', '608', '177', '649']
['315', '56', '52', '249', '134', '535', '984', '848', '947', '844', '356', '150', '477', '992', '63', '930', '495', '545', '345', '309']
['557', '935', '860', '973', '359', '501', '561', '763', '618', '645', '858', '966', '976', '455', '225', '168', '128', '592', '486', '153']
['216', '695', '694', '232', '3', '325', '113', '209', '384', '174', '962', '86', '604', '119', '422', '58', '642', '66', '829', '450']
['367', '632', '871', '2', '350', '939', '396', '189', '237', '760', '130', '891', '213', '922', '682', '677', '373', '754', '578', '5']
['358', '368', '444', '218', '231', '691', '735', '302', '286', '628', '905', '487', '742', '937', '983', '239', '698', '517', '736', '756']
['417', '492', '975', '563', '971', '789', '297', '814', '89', '301', '438', '500', '606', '813', '372', '65', '579', '723', '379', '184']
['431', '166', '861', '730', '575', '713', '637', '851', '762', '812', '262', '418', '781', '395', '441', '203', '633', '167', '681', '238']
['556', '493', '863', '799', '420', '800', '595', '354', '964', '791', '107', '98', '841', '319', '82', '506', '334', '709', '57', '247']
['122', '100', '794', '716', '715', '287', '409', '657', '778', '208', '378', '614', '528', '489', '472', '842', '876', '14', '20', '273']
['281', '910', '462', '22', '554', '686', '445', '529', '55', '346', '590', '852', '254', '227', '960', '566', '997', '361', '838', '527']
['711', '745', '562', '467', '83', '342', '458', '314', '757', '669', '856', '311', '753', '67', '217', '347', '81', '61', '573', '779']
['551', '846', '969', '895', '39', '519', '369', '199', '51', '87', '993', '731', '382', '0', '654', '536', '921', '613', '650', '270']
['24', '507', '74', '526', '558', '437', '464', '137', '667', '521', '928', '261', '383', '366', '483', '834', '616', '656', '792', '555']
['331', '761', '544', '638', '146', '343', '950', '646', '572', '670', '380', '617', '697', '835', '46', '513', '644', '8', '683', '456']
['29', '471', '917', '403', '290', '553', '795', '496', '603', '170', '79', '99', '488', '337', '1', '678', '256', '979', '662', '453']
['226', '288', '972', '780', '258', '961', '641', '565', '411', '114', '672', '980', '277', '823', '797', '172', '284', '658', '808', '622']
['518', '914', '109', '190', '59', '143', '50', '932', '668', '95', '588', '108', '816', '313', '740', '80', '303', '481', '304', '769']
['987', '968', '236', '903', '847', '259', '245', '874', '266', '719', '615', '296', '959', '885', '187', '511', '116', '904', '510', '559']
