['533', '665', '854', '563', '184']
['304', '766', '222', '348', '700']
['137', '783', '234', '661', '780']
['131', '194', '49', '292', '683']
['102', '83', '672', '456', '623']
['982', '573', '694', '286', '489']
['157', '707', '8', '338', '810']
['139', '430', '807', '773', '977']
['422', '312', '189', '887', '98']
['177', '938', '708', '332', '466']
['876', '53', '647', '690', '295']
['657', '709', '370', '843', '504']
['919', '17', '480', '900', '483']
['155', '551', '197', '724', '349']
['43', '935', '108', '68', '245']
['602', '485', '351', '319', '528']
['637', '660', '60', '685', '837']
['870', '54', '527', '890', '263']
['380', '94', '335', '333', '547']
['230', '957', '114', '727', '923']
['257', '339', '416', '303', '44']
['440', '12', '508', '434', '413']
['171', '539', '426', '354', '859']
['316', '6', '649', '384', '231']
['662', '821', '369', '548', '38']
['589', '340', '734', '473', '448']
['889', '744', '22', '390', '722']
['438', '909', '510', '37', '926']
['144', '337', '228', '752', '698']
['966', '688', '242', '911', '92']
['66', '101', '899', '71', '789']
['834', '110', '35', '18', '687']
['62', '815', '675', '19', '636']
['315', '873', '802', '741', '260']
['979', '129', '775', '865', '998']
['153', '470', '701', '63', '181']
['961', '779', '856', '571', '117']
['629', '128', '342', '831', '499']
['106', '293', '630', '598', '284']
['904', '791', '806', '149', '251']
['446', '784', '40', '166', '459']
['516', '291', '134', '521', '644']
['642', '673', '148', '235', '91']
['404', '536', '75', '227', '550']
['733', '156', '198', '27', '868']
['514', '812', '205', '950', '431']
['986', '159', '104', '50', '442']
['89', '738', '233', '310', '768']
['832', '152', '954', '616', '654']
['603', '511', '559', '379', '696']
['866', '307', '462', '386', '217']
['525', '808', '785', '314', '974']
['487', '916', '968', '385', '941']
['497', '580', '132', '14', '437']
['432', '795', '578', '452', '345']
['824', '252', '269', '105', '410']
['609', '23', '253', '219', '330']
['32', '706', '74', '52', '953']
['833', '507', '173', '299', '927']
['608', '468', '188', '881', '743']
['346', '997', '45', '320', '949']
['586', '505', '695', '777', '100']
['552', '885', '481', '572', '828']
['776', '674', '372', '300', '884']
['591', '813', '770', '383', '202']
['956', '643', '537', '57', '241']
['328', '798', '164', '764', '275']
['301', '745', '226', '357', '999']
['728', '428', '583', '515', '213']
['490', '825', '788', '138', '546']
['267', '668', '359', '30', '641']
['420', '85', '739', '930', '290']
['488', '646', '454', '162', '842']
['945', '47', '684', '65', '176']
['447', '389', '860', '920', '704']
['972', '375', '801', '829', '689']
['86', '617', '381', '90', '753']
['82', '819', '631', '326', '867']
['317', '141', '10', '526', '451']
['769', '403', '765', '561', '196']
['748', '506', '374', '494', '325']
['541', '318', '392', '84', '406']
['620', '725', '622', '244', '830']
['195', '715', '368', '720', '457']
['419', '398', '985', '365', '946']
['721', '126', '435', '305', '549']
['161', '652', '266', '439', '402']
['959', '55', '584', '103', '113']
['699', '534', '755', '731', '569']
['11', '651', '729', '3', '726']
['183', '76', '423', '145', '677']
['590', '719', '809', '759', '417']
['619', '160', '787', '13', '883']
['70', '116', '111', '254', '352']
['712', '297', '639', '716', '633']
['944', '915', '115', '207', '634']
['467', '790', '855', '154', '336']
['283', '676', '28', '199', '216']
['502', '632', '69', '72', '109']
['174', '869', '238', '495', '140']
['407', '458', '453', '640', '984']
['771', '34', '175', '585', '376']
['879', '606', '415', '523', '903']
['907', '970', '271', '836', '524']
['850', '512', '924', '308', '595']
['871', '288', '851', '577', '249']
['932', '107', '610', '329', '112']
['79', '691', '280', '479', '48']
['751', '395', '123', '570', '121']
['232', '553', '975', '852', '897']
['298', '804', '135', '713', '893']
['210', '861', '427', '667', '281']
['211', '849', '147', '963', '604']
['658', '391', '593', '1', '969']
['520', '97', '262', '973', '823']
['886', '822', '864', '567', '21']
['41', '840', '863', '960', '294']
['786', '613', '803', '992', '964']
['747', '513', '464', '519', '562']
['59', '334', '500', '805', '990']
['170', '7', '474', '96', '443']
['681', '482', '192', '88', '555']
['735', '686', '835', '73', '614']
['826', '638', '429', '761', '215']
['624', '730', '635', '382', '296']
['405', '754', '718', '285', '327']
['530', '309', '902', '248', '503']
['723', '397', '522', '268', '717']
['664', '387', '191', '377', '702']
['378', '996', '247', '540', '737']
['793', '343', '221', '732', '847']
['51', '705', '663', '888', '988']
['574', '816', '848', '742', '201']
['272', '158', '703', '261', '256']
['799', '922', '493', '618', '554']
['214', '679', '167', '600', '594']
['224', '680', '874', '937', '255']
['763', '995', '302', '347', '178']
['208', '411', '127', '56', '471']
['934', '993', '560', '509', '475']
['321', '767', '543', '243', '239']
['692', '545', '478', '118', '289']
['258', '794', '796', '615', '612']
['358', '576', '817', '976', '133']
['31', '282', '758', '958', '762']
['597', '24', '872', '542', '463']
['240', '287', '967', '424', '229']
['401', '599', '0', '421', '670']
['579', '461', '61', '394', '841']
['492', '408', '39', '588', '341']
['344', '575', '5', '362', '566']
['313', '980', '621', '130', '905']
['2', '455', '939', '87', '671']
['476', '714', '168', '4', '356']
['693', '535', '749', '81', '414']
['26', '965', '895', '220', '565']
['648', '710', '472', '882', '270']
['323', '399', '165', '875', '529']
['355', '501', '582', '350', '218']
['564', '151', '697', '538', '119']
['78', '645', '185', '981', '839']
['77', '838', '409', '955', '277']
['587', '896', '67', '486', '650']
['971', '877', '122', '880', '393']
['64', '736', '444', '711', '846']
['360', '653', '845', '136', '418']
['363', '858', '760', '601', '9']
['33', '951', '774', '450', '983']
['740', '491', '936', '908', '95']
['36', '655', '276', '246', '42']
['800', '93', '913', '212', '20']
['933', '259', '190', '186', '125']
['891', '792', '25', '250', '978']
['496', '278', '484', '814', '607']
['124', '311', '425', '172', '460']
['820', '756', '940', '797', '962']
['265', '412', '80', '666', '544']
['750', '120', '449', '581', '163']
['557', '58', '772', '921', '324']
['844', '611', '396', '182', '236']
['306', '331', '169', '827', '322']
['353', '204', '531', '605', '669']
['948', '917', '477', '465', '656']
['237', '781', '894', '436', '627']
['878', '279', '892', '146', '931']
['682', '928', '264', '918', '46']
['223', '371', '558', '366', '441']
['910', '596', '179', '187', '445']
['818', '778', '180', '142', '373']
['532', '898', '16', '987', '209']
['225', '517', '498', '143', '757']
['274', '364', '15', '150', '942']
['862', '925', '29', '853', '906']
['914', '625', '989', '99', '518']
['206', '433', '203', '273', '388']
['901', '912', '626', '361', '952']
['943', '947', '193', '782', '811']
['568', '400', '746', '659', '929']
['991', '469', '994', '628', '678']
['592', '367', '556', '200', '857']
