['a48', 'a75', 'a91', 'a129', 'a155', 'a185', 'a205', 'a208', 'a238', 'a274', 'a414', 'a448']
['a19', 'a30', 'a94', 'a106', 'a198', 'a257', 'a264', 'a293', 'a306', 'a338', 'a371', 'a403']
['a23', 'a26', 'a116', 'a131', 'a151', 'a178', 'a211', 'a213', 'a260', 'a318', 'a324', 'a437']
['a13', 'a66', 'a111', 'a119', 'a192', 'a223', 'a236', 'a255', 'a387', 'a421', 'a424', 'a432']
['a21', 'a38', 'a61', 'a148', 'a163', 'a171', 'a239', 'a292', 'a438', 'a439', 'a441', 'a462']
['a97', 'a98', 'a216', 'a290', 'a305', 'a323', 'a327', 'a337', 'a351', 'a417', 'a473', 'a480']
['a59', 'a113', 'a176', 'a228', 'a246', 'a258', 'a366', 'a377', 'a378', 'a412', 'a418', 'a431']
['a52', 'a63', 'a79', 'a210', 'a218', 'a244', 'a247', 'a268', 'a303', 'a332', 'a340', 'a430']
['a88', 'a117', 'a123', 'a127', 'a130', 'a179', 'a191', 'a194', 'a299', 'a333', 'a467', 'a479']
['a10', 'a25', 'a29', 'a42', 'a54', 'a76', 'a82', 'a212', 'a245', 'a391', 'a409', 'a416']
['a40', 'a137', 'a164', 'a165', 'a230', 'a261', 'a265', 'a270', 'a307', 'a353', 'a379', 'a466']
['a4', 'a6', 'a81', 'a89', 'a109', 'a128', 'a162', 'a202', 'a204', 'a277', 'a286', 'a445']
['a72', 'a157', 'a253', 'a279', 'a295', 'a304', 'a310', 'a345', 'a361', 'a373', 'a395', 'a413']
['a175', 'a182', 'a225', 'a284', 'a315', 'a354', 'a375', 'a394', 'a461', 'a470', 'a471', 'a477']
['a15', 'a32', 'a96', 'a146', 'a220', 'a282', 'a289', 'a336', 'a365', 'a404', 'a443', 'a478']
['a16', 'a87', 'a107', 'a156', 'a259', 'a329', 'a367', 'a383', 'a389', 'a397', 'a454', 'a460']
['a44', 'a60', 'a108', 'a254', 'a346', 'a349', 'a359', 'a410', 'a449', 'a450', 'a456', 'a457']
['a22', 'a43', 'a45', 'a90', 'a226', 'a227', 'a231', 'a309', 'a426', 'a427', 'a429', 'a463']
['a70', 'a85', 'a114', 'a138', 'a140', 'a150', 'a169', 'a267', 'a271', 'a396', 'a407', 'a422']
['a93', 'a120', 'a136', 'a166', 'a200', 'a209', 'a356', 'a363', 'a374', 'a433', 'a453', 'a476']
['a8', 'a86', 'a105', 'a121', 'a132', 'a145', 'a240', 'a272', 'a275', 'a311', 'a364', 'a444']
['a68', 'a69', 'a110', 'a154', 'a188', 'a207', 'a296', 'a302', 'a322', 'a341', 'a362', 'a369']
['a3', 'a27', 'a49', 'a55', 'a124', 'a125', 'a215', 'a234', 'a242', 'a269', 'a399', 'a442']
['a2', 'a24', 'a65', 'a92', 'a139', 'a142', 'a298', 'a308', 'a339', 'a344', 'a347', 'a411']
['a7', 'a12', 'a56', 'a83', 'a84', 'a149', 'a197', 'a232', 'a237', 'a273', 'a288', 'a312']
['a153', 'a181', 'a183', 'a190', 'a248', 'a297', 'a317', 'a335', 'a342', 'a343', 'a425', 'a458']
['a18', 'a71', 'a144', 'a161', 'a243', 'a252', 'a281', 'a314', 'a320', 'a325', 'a446', 'a464']
['a77', 'a126', 'a135', 'a167', 'a184', 'a203', 'a222', 'a224', 'a300', 'a301', 'a319', 'a465']
['a46', 'a73', 'a122', 'a201', 'a233', 'a287', 'a392', 'a393', 'a406', 'a420', 'a451', 'a472']
['a17', 'a103', 'a170', 'a173', 'a251', 'a276', 'a280', 'a291', 'a316', 'a326', 'a423', 'a447']
['a47', 'a115', 'a159', 'a168', 'a172', 'a219', 'a348', 'a370', 'a380', 'a401', 'a402', 'a440']
['a28', 'a133', 'a180', 'a186', 'a229', 'a249', 'a278', 'a285', 'a334', 'a357', 'a408', 'a459']
['a9', 'a33', 'a36', 'a74', 'a143', 'a174', 'a199', 'a241', 'a262', 'a360', 'a384', 'a390']
['a5', 'a41', 'a53', 'a57', 'a80', 'a100', 'a160', 'a214', 'a294', 'a372', 'a381', 'a428']
['a11', 'a177', 'a193', 'a235', 'a263', 'a266', 'a313', 'a376', 'a415', 'a435', 'a455', 'a474']
['a1', 'a35', 'a64', 'a95', 'a189', 'a195', 'a250', 'a256', 'a331', 'a350', 'a405', 'a436']
['a31', 'a51', 'a67', 'a118', 'a283', 'a330', 'a368', 'a382', 'a385', 'a398', 'a469', 'a475']
['a37', 'a50', 'a134', 'a158', 'a187', 'a206', 'a321', 'a328', 'a355', 'a358', 'a386', 'a452']
['a14', 'a20', 'a39', 'a78', 'a99', 'a102', 'a141', 'a147', 'a352', 'a419', 'a434', 'a468']
['a34', 'a58', 'a62', 'a101', 'a104', 'a112', 'a152', 'a196', 'a217', 'a221', 'a388', 'a400']
