['37', '241', '242', '243', '244', '245', '246', '247', '250', '459']
['261', '262', '264', '266', '268', '269', '270', '424', '426', '428']
['211', '213', '214', '215', '216', '219', '220', '314', '421', '423']
['151', '153', '154', '155', '157', '158', '159', '160', '161', '164']
['116', '162', '163', '166', '167', '168', '169', '170', '291', '484']
['152', '156', '185', '472', '473', '475', '476', '477', '479', '480']
['118', '283', '284', '286', '287', '289', '290', '425', '427', '429']
['277', '278', '322', '323', '324', '325', '326', '327', '328', '329']
['221', '222', '223', '224', '225', '226', '228', '265', '267', '374']
['8', '293', '294', '295', '296', '297', '298', '299', '300', '468']
['71', '72', '74', '75', '76', '77', '78', '79', '239', '321']
['1', '2', '3', '4', '5', '6', '7', '44', '46', '179']
['12', '13', '14', '15', '16', '17', '18', '19', '20']
['11', '48', '351', '352', '353', '354', '356', '357', '359', '360']
['341', '343', '344', '345', '346', '347', '348', '349', '350', '396']
['187', '190', '482', '483', '485', '486', '487', '488', '489', '490']
['274', '279', '411', '414', '420', '491', '492', '493', '494', '495']
['55', '331', '333', '334', '335', '336', '337', '338', '339', '340']
['88', '263', '381', '382', '383', '384', '386', '387', '389', '449']
['62', '63', '64', '65', '66', '67', '69', '70', '212', '227']
['21', '23', '24', '26', '27', '28', '29', '30', '94', '128']
['9', '122', '124', '125', '126', '127', '129', '130', '203', '456']
['50', '87', '181', '182', '183', '217', '218', '248', '332']
['101', '104', '108', '141', '147', '150', '208', '363', '448', '450']
['385', '388', '390', '391', '393', '394', '397', '398', '399', '400']
['142', '144', '145', '146', '148', '149', '302', '362', '403', '481']
['10', '41', '412', '413', '415', '416', '417', '418', '419', '471']
['229', '401', '402', '404', '405', '406', '407', '408', '409', '410']
['132', '137', '140', '172', '173', '174', '175', '176', '177', '178']
['47', '231', '233', '234', '235', '236', '237', '238', '240', '306']
['186', '188', '201', '301', '304', '305', '307', '308', '309', '310']
['31', '32', '33', '34', '35', '36', '38', '39', '40', '372']
['42', '43', '45', '355', '358', '392', '395', '433', '434']
['111', '113', '114', '117', '119', '120', '252', '330', '474', '478']
['49', '80', '91', '92', '93', '95', '96', '97', '100', '165']
['52', '53', '54', '57', '58', '59', '60', '184', '189', '430']
['253', '257', '371', '373', '375', '376', '377', '378', '379', '380']
['102', '103', '105', '106', '107', '109', '110', '249', '258']
['292', '461', '462', '463', '464', '465', '466', '467', '469', '470']
['61', '68', '451', '452', '453', '454', '455', '457', '460']
['112', '115', '131', '133', '134', '135', '136', '138', '139', '303']
['51', '230', '251', '254', '256', '259', '260', '282', '285', '317']
['121', '143', '432', '435', '436', '437', '438', '439', '440', '458']
['202', '204', '205', '206', '207', '209', '210', '232', '281', '431']
['81', '82', '83', '84', '85', '86', '89', '90', '171', '255']
['180', '361', '422', '441', '442', '443', '444', '445', '446', '447']
['56', '73', '123', '364', '365', '366', '367', '368', '369', '370']
['22', '25', '288', '311', '312', '315', '316', '318', '319', '320']
['98', '99', '191', '192', '193', '195', '196', '197', '199', '200']
['194', '198', '271', '272', '273', '275', '276', '280', '313', '342']
