['G14', 'D32', 'E32']
['B36', 'A50', 'C50']
['B7', 'H31', 'H32']
['B47', 'D47', 'E47']
['B21', 'D21', 'E21']
['A28', 'B28', 'F28']
['F6', 'A11', 'B11']
['E23', 'H23', 'H24']
['11', '24', '29']
['D1', 'F9', 'C10']
['F26', 'C39', 'H47']
['H2', 'D45', 'E45']
['A1', 'B1', 'F7']
['E17', 'H17', 'A25']
['E19', 'A37', 'D37']
['A32', 'B32', 'B42']
['A6', 'D6', 'E6']
['F2', 'D7', 'B35']
['C24', 'H27', '39']
['A14', 'C14', 'B25']
['C13', 'A21', 'F21']
['A43', 'C43', 'D43']
['G50', 'E52', 'F52']
['A10', 'B10', 'F10']
['D14', 'E14', 'H34']
['E12', 'F12', 'E37']
['0', '9', '20']
['G18', '15', '28']
['E22', 'F22', 'F31']
['C20', 'C21', 'C47']
['35', '40', '43']
['D20', 'E20', 'G20']
['E2', 'G2', 'H54']
['G43', 'A52', 'B52']
['C54', 'D54', 'E54']
['G26', 'C35', 'B37']
['H38', 'E46', 'F46']
['30', '53', '56']
['A23', 'B23', 'D23']
['E31', 'G36', '14']
['H13', 'H14', 'H39']
['7', '17', '18']
['E11', 'F11', 'G11']
['G22', 'E27', 'F49']
['E24', 'F24', 'F47']
['G41', 'D44', 'E44']
['D0', 'E0', 'G0']
['A4', 'C4', 'F4']
['34', '42', '44']
['H46', 'G48', 'H53']
['E53', 'G53', '57']
['H16', 'D30', 'B33']
['F13', 'G35', 'F42']
['H19', 'C28', 'D52']
['A19', 'D19', 'F19']
['G12', 'B29', '10']
['B4', 'A24', 'D24']
['G27', 'B53', 'D53']
['B16', 'H35', 'H36']
['A42', 'C42', 'D42']
['C11', 'D11', 'G37']
['B38', 'H49', 'B54']
['A8', 'H21', 'H22']
['B27', 'H30', 'G47']
['E3', 'F3', 'G3']
['D41', 'E41', 'C44']
['D40', 'E40', 'G40']
['F1', 'B40', 'F40']
['H9', 'E13', 'C37']
['36', '37', '55']
['A44', 'B44', 'F44']
['B0', 'A45', 'F45']
['F36', 'F37', 'B49']
['F0', '3', '12']
['A48', 'B48', 'F48']
['G31', 'A47', 'D49']
['H15', 'A27', 'C27']
['B45', 'A46', 'D46']
['32', '52', '58']
['E8', 'F8', 'G8']
['A35', 'D35', 'H44']
['A5', 'F5', 'F53']
['C25', 'D25', 'C32']
['D17', 'F23', 'F25']
['H3', 'H4', 'G9']
['G7', 'D15', 'E15']
['2', '5', '26']
['A36', 'C36', 'D36']
['F29', 'H37', 'A54']
['C8', 'C9', '45']
['B30', '49', '54']
['C12', 'D12', 'G33']
['C2', 'A12', 'D39']
['A38', 'C38', 'D38']
['A20', 'B20', 'F20']
['38', '48', '51']
['A41', 'B41', 'F41']
['G13', 'F27', 'G54']
['A13', 'B13', 'D13']
['G6', 'E29', 'H29']
['G23', 'D51', 'G51']
['C22', 'C23', 'D28']
['C52', 'A53', 'C53']
['13', '19', '22']
['B12', 'A17', 'F17']
['A2', 'B2', 'D2']
['C16', 'C17', 'E36']
['A33', 'C33', 'D33']
['A40', 'C40', 'C41']
['E25', 'G25', 'G49']
['G32', 'H41', 'H42']
['E10', 'G10', 'H10']
['E28', 'G28', 'H28']
['H0', 'G21', 'C51']
['B17', 'F18', 'H45']
['C26', 'E38', 'F38']
['C48', 'A49', 'C49']
['G17', 'H25', '46']
['G46', 'A51', 'B51']
['B18', 'G45']
['6', '8', '25']
['A39', 'F39', 'F54']
['4', '16', '21']
['D48', 'E48', 'H48']
['C18', 'C19', 'F35']
['E50', 'F50', 'H50']
['C6', 'C7', 'A30']
['D3', 'D4', 'E35']
['E16', 'G16', 'G29']
['A9', 'B9', 'B14']
['E33', 'F33', 'H33']
['A16', 'D16', 'F16']
['H12', 'G39', 'C45']
['E43', 'F43', 'H43']
['E7', 'H7', 'H8']
['C0', 'C1', 'H11']
['E18', 'H18', 'G24']
['A18', 'D18', 'H20']
['E1', 'G1', 'H1']
['E49', 'E51', 'H51']
['A15', 'B15', 'C15']
['D9', 'E9', 'H52']
['A3', 'B3', 'C3']
['B5', 'E5', 'G5']
['B6', 'B8', 'D8']
['E26', 'H26', 'D27']
['A0', 'D5', 'A7']
['B19', 'C30', 'C31']
['F14', 'G19', 'E39']
['C5', 'F32', 'C34']
['A26', 'B26', 'D26']
['D10', 'G44', 'G52']
['E4', 'G4', 'G15']
['B39', 'C46', 'F51']
['E30', 'F30', 'G30']
['A29', 'C29', 'D29']
['A31', 'B31', 'D31']
['H5', 'H6', 'B24']
['47', '50', '59']
['1', '23', '27']
['A34', 'B34', 'D34']
['31', '33', '41']
['G38', 'B43', 'B46']
['A22', 'B22', 'D22']
['E34', 'F34', 'G34']
['F15', 'E42', 'G42']
['H40', 'B50', 'D50']
