['14', '71', '98', '99', '125', '129', '134', '144', '145', '163', '190', '194', '213', '362', '365', '372', '388', '393', '406', '415', '417', '422', '472']
['12', '13', '19', '21', '33', '34', '48', '89', '112', '130', '151', '153', '216', '225', '301', '342', '349', '359', '397', '404', '426', '441', '455']
['49', '63', '69', '78', '83', '179', '215', '223', '226', '254', '292', '293', '347', '363', '381', '408', '439', '440', '451', '460', '461', '474', '483']
['35', '50', '119', '128', '141', '143', '187', '197', '235', '238', '239', '241', '248', '265', '290', '324', '326', '352', '394', '402', '416', '445', '479']
['43', '58', '85', '118', '121', '135', '146', '199', '220', '221', '260', '286', '316', '320', '332', '341', '409', '414', '436', '447', '448', '453', '459']
['23', '37', '53', '73', '76', '103', '126', '137', '165', '207', '209', '240', '252', '277', '296', '307', '354', '355', '399', '435', '452', '476', '478']
['15', '95', '122', '147', '205', '227', '236', '246', '247', '268', '276', '282', '303', '339', '348', '366', '367', '400', '411', '421', '431', '477', '481']
['20', '28', '56', '60', '62', '74', '77', '86', '90', '92', '111', '171', '208', '244', '269', '285', '323', '333', '334', '356', '368', '456', '482']
['45', '66', '82', '110', '115', '124', '133', '162', '170', '195', '250', '251', '253', '274', '281', '338', '364', '369', '374', '401', '412', '443', '468']
['5', '17', '40', '51', '68', '80', '91', '93', '100', '166', '188', '206', '217', '224', '261', '275', '278', '279', '297', '340', '344', '387', '390']
['3', '4', '97', '116', '131', '142', '157', '159', '161', '212', '233', '272', '283', '298', '329', '361', '376', '398', '413', '433', '438', '446', '465']
['8', '29', '31', '39', '75', '87', '101', '106', '174', '177', '182', '200', '228', '288', '309', '312', '314', '330', '345', '360', '386', '420', '427']
['7', '30', '42', '54', '70', '160', '183', '185', '219', '255', '267', '295', '299', '304', '305', '311', '335', '378', '424', '425', '428', '442', '462']
['1', '18', '47', '52', '79', '102', '152', '155', '168', '178', '202', '256', '289', '336', '343', '377', '391', '395', '410', '429', '432', '454', '480']
['9', '26', '41', '94', '96', '113', '114', '148', '150', '186', '192', '196', '234', '263', '271', '300', '353', '380', '385', '389', '407', '471', '484']
['175', '310']
['25', '44', '55', '57', '65', '123', '172', '184', '198', '204', '237', '266', '291', '294', '325', '328', '379', '396', '423', '437', '457', '475', '485']
['32', '59', '67', '104', '105', '109', '117', '127', '180', '222', '232', '257', '264', '273', '287', '313', '321', '373', '382', '418', '449', '450', '464']
['6', '16', '22', '36', '61', '149', '167', '169', '173', '176', '193', '242', '243', '270', '284', '317', '319', '337', '357', '375', '384', '466', '469']
['24', '84', '107', '136', '154', '156', '158', '181', '191', '201', '229', '262', '280', '302', '306', '315', '322', '346', '350', '383', '405', '419', '467']
['2', '11', '38', '46', '72', '81', '108', '139', '189', '203', '218', '230', '245', '259', '308', '327', '331', '351', '371', '392', '403', '434', '463']
['10', '27', '64', '88', '120', '132', '138', '140', '164', '210', '211', '214', '231', '249', '258', '318', '358', '370', '430', '444', '458', '470', '473']
