['67', '112', '180', '257', '281', '330', '478']
['1', '24', '71', '156', '164', '184', '331']
['123', '232', '250', '373', '398', '449', '474']
['86', '248', '272', '278', '352', '403', '482']
['4', '18', '93', '95', '231', '233', '240']
['43', '377', '394', '429', '450', '454', '481']
['0', '15', '44', '131', '141', '152', '312']
['2', '82', '124', '188', '196', '197', '211']
['72', '134', '158', '185', '203', '213', '418']
['30', '194', '387', '397', '422', '463', '468']
['33', '283', '349', '353', '384', '419', '461']
['8', '87', '109', '216', '270', '273', '274']
['25', '68', '101', '165', '181', '246', '333']
['16', '76', '79', '130', '132', '195', '285']
['54', '147', '376', '399', '442', '479', '480']
['12', '40', '64', '118', '161', '362', '363']
['126', '370', '379', '400', '405', '459', '486']
['104', '182', '190', '364', '396', '447', '462']
['7', '32', '108', '265', '346', '347', '458']
['52', '149', '220', '224', '402', '457', '476']
['10', '62', '114', '159', '189', '226', '284']
['51', '122', '198', '242', '288', '314', '365']
['49', '92', '155', '212', '243', '332', '356']
['34', '73', '85', '119', '304', '351', '485']
['48', '145', '253', '263', '307', '408', '451']
['115', '200', '292', '375', '388', '423', '477']
['61', '127', '167', '261', '315', '425', '445']
['136', '163', '174', '179', '205', '296', '302']
['28', '60', '157', '168', '173', '338', '361']
['23', '66', '80', '208', '209', '328', '329']
['11', '160', '217', '289', '424', '431', '488']
['36', '77', '91', '206', '228', '295', '354']
['56', '125', '153', '234', '245', '317', '324']
['13', '74', '120', '300', '305', '386', '421']
['63', '70', '175', '176', '183', '290', '411']
['46', '186', '260', '348', '393', '436', '465']
['58', '201', '372', '392', '406', '435', '472']
['53', '128', '150', '219', '318', '413', '426']
['39', '98', '148', '187', '235', '301', '360']
['31', '143', '237', '247', '311', '344', '487']
['41', '146', '215', '249', '299', '381', '416']
['96', '172', '241', '342', '343', '345', '441']
['110', '140', '277', '336', '382', '414', '417']
['275', '371', '407', '440', '466', '467', '470']
['27', '113', '236', '279', '282', '286', '337']
['254', '368', '380', '401', '439', '444', '452']
['29', '117', '169', '294', '319', '340', '341']
['251', '287', '389', '415', '432', '446', '448']
['45', '142', '192', '193', '214', '297', '427']
['38', '97', '151', '358', '359', '471', '484']
['65', '133', '162', '178', '313', '316', '443']
['37', '116', '221', '293', '298', '339', '357']
['21', '78', '137', '207', '271', '308', '325']
['9', '55', '111', '230', '280', '322', '327']
['3', '17', '59', '218', '222', '223', '229']
['47', '129', '144', '266', '320', '460', '473']
['177', '367', '378', '391', '428', '430', '434']
['6', '19', '89', '105', '258', '262', '321']
['26', '69', '106', '259', '334', '453', '475']
['94', '239', '303', '335', '404', '437']
['90', '238', '269', '395', '409', '438', '483']
['5', '99', '102', '103', '252', '255', '256']
['366', '369', '374', '383', '410', '412', '455']
['81', '83', '210', '390', '433', '456', '464']
['14', '100', '121', '191', '306', '309', '310']
['42', '139', '166', '170', '227', '350', '469']
['20', '107', '171', '264', '268', '323', '355']
['50', '75', '204', '244', '267', '385', '420']
['22', '57', '84', '138', '154', '276', '326']
['35', '88', '135', '199', '202', '225', '291']
