['v10', 'b7', 'b3', 'r8', 'h10', 'v1', 'v4', 'v5', 'v6', 'v7']
['y9', 'y1', 'y5', 'g7', 'l4', 'l2', 'l9', 'e3', 'r1', 'p8']
['l3', 'w2', 'w8', 'a6', 'r5', 'r6', 'a5', 'o10', 'u5', 'i6']
['c5', 't1', 'l1', 'l10', 'a7', 'f1', 'f5', 'f6', 'f7', 'f9']
['q2', 'j8', 'j6', 'j2', 'y3', 'u7', 'u10', 'c1', 'k4', 'i9']
['q9', 'j9', 'b4', 'u4', 'u1', 'p9', 'b6', 'b1', 'g1', 'b10']
['t8', 't9', 't6', 't7', 't4', 't2', 't10', 'o3', 'c9', 'k9']
['e8', 'l8', 'e4', 'e1', 'c3', 'x5', 's4', 'k8', 'i7', 'n8']
['y7', 'y4', 'e9', 'k10', 's1', 'k3', 'k2', 'k1', 'k7', 'k6']
['l7', 'j7', 'o1', 's10', 'e5', 'e2', 'u2', 'c8', 'x7', 's2']
['c4', 'c10', 'g5', 'r10', 'h3', 'h4', 'm6', 'm3', 'm2', 'm8']
['t3', 'w5', 'y6', 'f10', 'w1', 'x6', 'c7', 'g3', 'i4', 'n3']
['y8', 'j5', 'w10', 'a8', 'c2', 'p6', 'p7', 's9', 's6', 'i5']
['d1', 'p3', 'p10', 't5', 'x10', 'b2', 'p2', 'f3', 'k5', 'a1']
['q5', 'q4', 'q6', 'l6', 'e7', 'e6', 'h8', 'w4', 'f2', 'i3']
['e10', 'o4', 'j4', 'j1', 'o9', 'o6', 'y10', 'h6', 'b9', 'p1']
['y2', 'w9', 'a2', 'h1', 'h7', 'h5', 'i1', 'i2', 'v2', 'v3']
['m10', 'u9', 'u8', 'u3', 'm5', 'm7', 'm1', 'j3', 's3', 'v9']
['d7', 'd4', 'q1', 'q3', 'q7', 'c6', 'x4', 'n10', 'q8', 'n4']
['g6', 'o8', 'o7', 'o5', 'o2', 'q10', 'r4', 'r7', 'r3', 'g10']
['g2', 'g9', 'g8', 'd5', 'f4', 's8', 'd10', 's7', 's5', 'i8']
['j10', 'd2', 'n7', 'x2', 'v8', 'n9', 'n1', 'n2', 'n5', 'n6']
['d8', 'g4', 'l5', 'w3', 'h9', 'a3', 'm4', 'm9', 'w7', 'f8']
['w6', 'b8', 'r2', 'r9', 'x8', 'h2', 'u6', 'x3', 'b5', 'x9']
['d9', 'd3', 'a4', 'a9', 'x1', 'p4', 'p5', 'a10', 'i10', 'd6']
