['156', '202', '745', '221', '892', '896', '828', '155', '759', '919', '38', '291', '340', '14', '158', '196', '668', '160', '683', '850', '17', '587', '105', '572', '998', '568', '779', '693', '200', '872', '976', '945', '453', '250', '948', '29', '256', '965', '508', '148', '594', '48', '25', '223', '235', '829', '718', '617', '388', '599']
['612', '284', '752', '943', '316', '798', '183', '776', '445', '229', '375', '879', '136', '911', '970', '780', '554', '240', '610', '591', '456', '178', '324', '450', '802', '448', '454', '401', '677', '680', '671', '49', '825', '989', '168', '354', '686', '756', '252', '961', '503', '766', '101', '458', '330', '94', '973', '258', '302', '361']
['978', '835', '61', '546', '924', '481', '188', '187', '427', '197', '659', '243', '559', '474', '691', '150', '214', '811', '549', '182', '901', '506', '878', '670', '167', '141', '551', '190', '395', '24', '695', '909', '874', '246', '194', '397', '11', '7', '632', '646', '369', '932', '737', '639', '123', '571', '217', '626', '469', '981']
['814', '652', '949', '679', '867', '161', '566', '431', '253', '512', '641', '881', '902', '398', '912', '244', '955', '153', '550', '335', '526', '713', '946', '856', '537', '642', '927', '925', '267', '747', '580', '833', '334', '561', '606', '163', '2', '897', '538', '118', '441', '744', '772', '107', '502', '552', '918', '208', '534', '709']
['862', '843', '268', '402', '783', '184', '999', '248', '570', '282', '764', '809', '514', '760', '960', '73', '962', '444', '584', '403', '491', '423', '781', '478', '489', '226', '406', '428', '266', '180', '87', '979', '357', '654', '939', '741', '399', '137', '598', '58', '352', '277', '864', '317', '230', '339', '637', '162', '495', '299']
['26', '634', '228', '497', '185', '974', '446', '269', '669', '44', '869', '203', '929', '281', '791', '52', '171', '332', '966', '20', '651', '135', '751', '349', '519', '852', '698', '8', '485', '583', '824', '532', '417', '647', '166', '10', '286', '935', '198', '421', '931', '541', '796', '66', '529', '47', '913', '903', '938', '191']
['782', '707', '700', '109', '347', '487', '23', '585', '528', '249', '754', '315', '731', '265', '234', '333', '195', '430', '364', '312', '818', '59', '548', '988', '294', '845', '177', '525', '83', '429', '34', '63', '689', '394', '79', '39', '595', '323', '355', '82', '414', '164', '601', '490', '233', '579', '499', '573', '173', '804']
['436', '821', '586', '475', '157', '699', '64', '851', '71', '773', '206', '298', '328', '547', '758', '383', '292', '838', '757', '564', '535', '359', '790', '873', '370', '742', '859', '358', '360', '422', '517', '297', '969', '305', '467', '18', '740', '81', '615', '605', '630', '667', '350', '922', '792', '27', '275', '112', '770', '590']
['887', '994', '565', '341', '729', '232', '126', '611', '777', '655', '108', '329', '727', '521', '390', '132', '774', '120', '682', '817', '663', '944', '473', '685', '22', '128', '951', '823', '899', '715', '37', '257', '636', '326', '940', '505', '576', '122', '574', '986', '205', '28', '353', '408', '648', '426', '507', '459', '434', '995']
['494', '476', '296', '404', '92', '308', '381', '678', '368', '542', '279', '837', '906', '43', '192', '614', '146', '147', '159', '72', '40', '480', '451', '67', '125', '242', '928', '57', '345', '343', '543', '982', '650', '145', '997', '806', '130', '954', '12', '119', '904', '795', '259', '15', '371', '306', '56', '51', '3', '76']
['410', '278', '449', '915', '498', '569', '861', '289', '582', '665', '93', '980', '890', '400', '303', '176', '170', '971', '721', '373', '768', '645', '486', '649', '784', '523', '419', '365', '622', '504', '237', '720', '387', '262', '771', '787', '104', '41', '366', '891', '544', '45', '893', '643', '746', '840', '933', '810', '367', '557']
['254', '90', '717', '70', '596', '673', '165', '625', '288', '143', '735', '336', '836', '834', '378', '993', '144', '681', '863', '106', '883', '293', '865', '672', '216', '131', '640', '832', '789', '113', '726', '321', '424', '78', '471', '967', '923', '704', '261', '578', '74', '820', '5', '54', '496', '733', '692', '562', '211', '154']
