['94', '723', '795', '829', '909', '861', '928', '603', '221', '601']
['406', '59', '355', '77', '64', '944', '403', '560', '784', '371']
['414', '907', '926', '141', '299', '648', '440', '554', '408', '453']
['380', '569', '718', '131', '566', '716', '984', '25', '219', '513']
['128', '746', '317', '964', '912', '435', '17', '620', '276', '924']
['309', '850', '203', '580', '982', '960', '377', '147', '106', '997']
['607', '667', '857', '822', '215', '248', '253', '449', '614', '675']
['802', '341', '714', '738', '73', '864', '719', '421', '161', '973']
['885', '67', '350', '835', '535', '594', '537', '530', '160', '68']
['271', '443', '715', '508', '245', '945', '854', '978', '764', '254']
['479', '544', '155', '374', '657', '422', '617', '506', '647', '489']
['426', '444', '340', '939', '662', '992', '20', '694', '803', '559']
['579', '639', '589', '883', '278', '448', '485', '373', '491', '197']
['291', '354', '381', '986', '164', '941', '217', '540', '122', '911']
['828', '244', '621', '888', '139', '353', '154', '679', '275', '472']
['289', '416', '66', '311', '593', '486', '467', '473', '832', '220']
['717', '711', '328', '343', '492', '320', '831', '324', '310', '225']
['685', '12', '930', '239', '285', '840', '469', '280', '514', '104']
['404', '236', '848', '788', '123', '833', '442', '856', '194', '862']
['208', '859', '538', '521', '302', '376', '293', '839', '772', '758']
['143', '625', '338', '90', '499', '431', '999', '186', '193', '201']
['378', '756', '591', '740', '777', '896', '49', '586', '966', '191']
['889', '505', '29', '695', '752', '704', '919', '195', '882', '347']
['273', '604', '767', '663', '806', '109', '75', '571', '602', '382']
['931', '209', '708', '825', '643', '179', '270', '613', '890', '30']
['357', '821', '710', '942', '681', '654', '901', '771', '224', '794']
['417', '6', '112', '216', '386', '413', '701', '44', '860', '541']
['388', '660', '797', '133', '588', '816', '45', '22', '878', '570']
['157', '286', '587', '185', '644', '8', '724', '971', '913', '812']
['257', '747', '792', '979', '734', '451', '367', '227', '140', '279']
['99', '799', '843', '458', '507', '138', '697', '27', '391', '918']
['48', '474', '754', '423', '804', '512', '564', '337', '87', '462']
['38', '851', '498', '211', '411', '41', '151', '1', '165', '35']
['120', '897', '977', '893', '108', '572', '847', '891', '687', '692']
['96', '430', '218', '172', '557', '3', '110', '53', '735', '637']
['531', '277', '389', '610', '902', '585', '114', '62', '727', '409']
['769', '743', '946', '562', '228', '65', '680', '682', '352', '706']
['434', '649', '968', '4', '116', '693', '301', '394', '308', '609']
['306', '176', '207', '387', '700', '655', '456', '202', '595', '379']
['72', '488', '346', '210', '634', '42', '981', '117', '917', '826']
['957', '445', '447', '460', '845', '229', '166', '463', '296', '496']
['230', '844', '631', '52', '762', '793', '925', '658', '664', '696']
['501', '815', '739', '659', '321', '534', '673', '483', '858', '249']
['618', '948', '923', '7', '646', '418', '834', '272', '113', '111']
['686', '789', '290', '121', '490', '770', '40', '688', '950', '246']
['875', '698', '842', '910', '196', '722', '238', '174', '51', '665']
['628', '163', '753', '886', '502', '415', '504', '736', '678', '262']
['865', '599', '23', '817', '55', '626', '153', '243', '873', '484']
['487', '518', '996', '712', '868', '642', '520', '446', '410', '50']
