['382', '247', '280', '499', '364', '6', '370']
['368', '142', '67', '622', '240', '235', '338']
['477', '270', '445', '195', '78', '582', '77']
['40', '93', '616', '367', '455', '181', '167']
['17', '52', '215', '660', '71', '2', '21']
['178', '410', '48', '358', '308', '692', '436']
['60', '15', '396', '284', '149', '593', '173']
['145', '658', '462', '662', '264', '157', '360']
['537', '104', '79', '695', '185', '325', '500']
['300', '219', '577', '675', '588', '30', '536']
['437', '465', '324', '91', '281', '621', '528']
['111', '342', '209', '267', '645', '618', '408']
['599', '570', '346', '669', '568', '670', '112']
['629', '191', '50', '177', '509', '110', '138']
['5', '432', '154', '562', '4', '657', '208']
['526', '41', '636', '391', '162', '125', '341']
['150', '49', '608', '557', '285', '407', '619']
['225', '8', '335', '393', '603', '592', '0']
['664', '211', '633', '501', '426', '58', '496']
['287', '299', '612', '326', '131', '514', '434']
['681', '625', '226', '165', '294', '483', '293']
['375', '387', '374', '697', '81', '495', '402']
['481', '532', '663', '690', '510', '176', '649']
['155', '95', '161', '458', '513', '371', '241']
['132', '595', '43', '685', '263', '489', '373']
['642', '153', '419', '223', '245', '200', '492']
['180', '415', '70', '45', '63', '353', '135']
['644', '435', '635', '262', '578', '453', '524']
['551', '643', '141', '490', '680', '232', '97']
['414', '313', '33', '69', '433', '417', '449']
['126', '127', '561', '351', '463', '560', '597']
['283', '460', '217', '228', '614', '90', '631']
['553', '183', '540', '442', '251', '190', '512']
['466', '564', '107', '502', '516', '22', '497']
['9', '321', '611', '627', '117', '199', '197']
['122', '160', '83', '651', '56', '159', '286']
['116', '550', '118', '447', '530', '444', '448']
['683', '686', '272', '554', '682', '369', '87']
['395', '459', '503', '558', '218', '535', '139']
['507', '119', '583', '467', '205', '671', '32']
['699', '626', '134', '381', '610', '254', '268']
['380', '171', '534', '394', '102', '411', '522']
['258', '469', '16', '249', '76', '529', '673']
['257', '688', '405', '446', '409', '133', '152']
['525', '298', '589', '322', '278', '314', '10']
['25', '624', '457', '271', '290', '542', '366']
['101', '443', '541', '261', '596', '638', '478']
['354', '620', '361', '84', '641', '168', '424']
['693', '73', '650', '450', '412', '163', '689']
['320', '520', '310', '580', '333', '189', '323']
['600', '274', '201', '590', '479', '103', '291']
['423', '148', '192', '576', '677', '328', '385']
['623', '248', '156', '303', '498', '523', '37']
['585', '470', '113', '304', '519', '54', '265']
['100', '151', '356', '691', '676', '295', '65']
['11', '376', '632', '329', '307', '617', '292']
['422', '80', '221', '494', '579', '488', '388']
['474', '276', '238', '575', '266', '485', '174']
['659', '652', '511', '572', '476', '13', '646']
['506', '674', '418', '239', '559', '606', '487']
['216', '545', '169', '306', '390', '401', '36']
['569', '430', '229', '166', '66', '546', '531']
['204', '493', '665', '114', '68', '413', '317']
['273', '615', '277', '661', '451', '172', '521']
['539', '38', '297', '260', '106', '555', '687']
['472', '198', '182', '365', '566', '334', '309']
['227', '581', '538', '242', '301', '628', '86']
['454', '471', '698', '53', '29', '42', '305']
['202', '144', '128', '344', '123', '312', '567']
['26', '137', '605', '315', '491', '61', '85']
['210', '340', '461', '231', '158', '607', '213']
['339', '207', '552', '655', '363', '357', '34']
['377', '634', '345', '179', '439', '82', '237']
['120', '384', '666', '236', '108', '224', '543']
['105', '164', '584', '468', '255', '28', '573']
['640', '347', '431', '23', '349', '74', '89']
['24', '425', '337', '289', '64', '386', '586']
['383', '406', '244', '475', '609', '602', '667']
['188', '19', '416', '319', '14', '318', '440']
['62', '604', '400', '44', '279', '428', '505']
['18', '441', '194', '31', '456', '694', '130']
['359', '3', '243', '96', '648', '679', '656']
['256', '109', '57', '230', '115', '20', '420']
['508', '601', '39', '92', '473', '193', '282']
['647', '352', '527', '594', '51', '482', '98']
['355', '464', '75', '548', '438', '302', '517']
['206', '311', '143', '275', '222', '316', '336']
['136', '343', '452', '571', '574', '544', '563']
['1', '214', '684', '403', '246', '331', '696']
['484', '630', '12', '253', '362', '327', '332']
['678', '504', '175', '372', '330', '296', '220']
['203', '613', '404', '549', '515', '47', '653']
['99', '587', '533', '35', '88', '94', '427']
['234', '184', '72', '146', '233', '27', '421']
['480', '399', '389', '429', '252', '124', '46']
['379', '7', '121', '196', '565', '598', '556']
['59', '547', '212', '170', '486', '147', '518']
['269', '129', '259', '187', '186', '398', '350']
['348', '639', '654', '591', '672', '637', '140']
['668', '250', '378', '397', '288', '55', '392']
