['12', '39', '50', '54', '79', '93', '155', '196', '201', '214', '248', '264', '282', '312', '403', '412', '438', '445', '451', '484']
['62', '111', '131', '147', '156', '162', '178', '180', '191', '227', '231', '249', '261', '302', '318', '348', '381', '439', '464', '479']
['31', '35', '49', '57', '63', '107', '112', '193', '202', '252', '275', '285', '325', '330', '331', '365', '405', '411', '462', '474']
['48', '69', '101', '124', '135', '148', '161', '187', '188', '206', '234', '255', '306', '314', '335', '346', '355', '380', '442', '492']
['17', '41', '45', '46', '73', '77', '154', '186', '199', '229', '258', '279', '298', '338', '343', '367', '388', '402', '480', '482']
['55', '90', '92', '113', '138', '159', '165', '167', '220', '250', '267', '284', '316', '417', '444', '455', '461', '489', '493', '494']
['21', '22', '44', '82', '106', '139', '144', '177', '239', '268', '290', '291', '308', '309', '337', '361', '394', '395', '410', '440']
['13', '16', '47', '53', '72', '87', '119', '127', '137', '152', '176', '212', '222', '263', '304', '320', '333', '377', '392', '431']
['15', '38', '68', '86', '89', '94', '181', '185', '192', '223', '257', '277', '295', '310', '363', '379', '390', '391', '435', '490']
['70', '83', '110', '121', '130', '169', '203', '225', '226', '247', '256', '296', '313', '339', '342', '364', '399', '446', '452', '486']
['11', '42', '81', '114', '149', '157', '218', '228', '265', '283', '301', '305', '368', '375', '378', '383', '384', '400', '420', '430']
['2', '6', '14', '37', '52', '80', '91', '104', '109', '123', '184', '260', '326', '327', '328', '376', '409', '422', '425', '495']
['97', '140', '150', '207', '210', '211', '217', '238', '259', '269', '281', '393', '414', '419', '423', '426', '448', '466', '470', '499']
['0', '7', '95', '99', '100', '103', '200', '209', '246', '253', '274', '322', '345', '374', '398', '401', '406', '413', '415', '460']
['29', '30', '33', '84', '102', '126', '143', '173', '190', '205', '287', '319', '334', '336', '373', '385', '386', '432', '465', '478']
['5', '9', '40', '71', '98', '105', '115', '125', '168', '213', '235', '237', '271', '280', '292', '311', '340', '450', '467', '497']
['28', '67', '128', '134', '170', '174', '183', '189', '224', '329', '349', '350', '353', '366', '369', '397', '404', '437', '449', '472']
['1', '20', '26', '78', '122', '133', '171', '172', '175', '230', '233', '242', '270', '293', '297', '307', '332', '351', '372', '468']
['3', '19', '27', '65', '66', '151', '163', '166', '240', '244', '254', '324', '357', '387', '408', '418', '441', '458', '475', '476']
['136', '141', '145', '146', '153', '179', '197', '208', '243', '245', '278', '289', '323', '344', '347', '354', '360', '456', '457', '483']
['24', '64', '108', '118', '160', '182', '198', '241', '272', '276', '294', '303', '421', '427', '436', '463', '471', '485', '491', '496']
['8', '32', '59', '96', '120', '164', '194', '195', '236', '341', '352', '358', '359', '389', '424', '453', '473', '477', '481', '488']
['18', '25', '36', '56', '61', '75', '85', '117', '142', '221', '232', '266', '288', '300', '317', '356', '362', '396', '434', '487']
['4', '10', '23', '74', '76', '129', '132', '158', '216', '219', '251', '286', '299', '370', '382', '407', '416', '443', '447', '469']
['34', '43', '51', '58', '60', '88', '116', '204', '215', '262', '273', '315', '321', '371', '428', '429', '433', '454', '459', '498']
