['1', '95', '98', '99', '177']
['91', '135', '136', '137', '139']
['45', '46', '48', '49', '62']
['25', '26', '27', '28', '29']
['133', '291', '292', '293', '294']
['129', '285', '287', '288', '289']
['0', '2', '3', '4', '43']
['194', '255', '257', '258', '259']
['74', '271', '272', '273', '274']
['140', '187', '190', '244', '246']
['100', '101', '103', '104', '138']
['236', '250', '251', '252', '253']
['5', '6', '7', '8', '290']
['63', '180', '181', '183', '184']
['220', '221', '222', '223', '224']
['215', '216', '217', '218', '266']
['295', '296', '297', '298', '299']
['86', '87', '88', '89', '207']
['115', '116', '118', '119', '163']
['160', '161', '162', '164', '197']
['108', '111', '113', '114', '117']
['38', '165', '166', '167', '168']
['280', '281', '282', '283', '284']
['56', '57', '58', '59', '148']
['170', '171', '172', '173', '174']
['90', '92', '94', '106', '109']
['23', '141', '142', '143', '144']
['77', '265', '267', '268', '269']
['50', '51', '53', '54', '102']
['30', '55', '169', '192', '193']
['18', '235', '237', '238', '239']
['66', '67', '68', '69', '277']
['75', '76', '78', '79', '208']
['9', '47', '96', '97', '112']
['20', '21', '22', '24', '254']
['219', '225', '226', '227', '229']
['228', '245', '247', '248', '249']
['125', '126', '127', '128', '203']
['35', '36', '37', '39', '191']
['85', '120', '122', '123', '124']
['130', '131', '132', '134', '182']
['15', '16', '17', '19', '121']
['156', '275', '276', '278', '279']
['260', '261', '262', '263', '264']
['31', '32', '33', '34', '152']
['230', '231', '232', '233', '234']
['82', '175', '176', '178', '179']
['41', '44', '195', '196', '199']
['210', '211', '212', '213', '214']
['70', '71', '72', '73', '286']
['60', '150', '151', '153', '198']
['61', '145', '146', '147', '149']
['52', '200', '201', '202', '204']
['65', '93', '185', '186', '188']
['107', '154', '205', '206', '209']
['10', '11', '12', '13', '14']
['105', '240', '241', '242', '243']
['40', '42', '189', '256', '270']
['64', '80', '81', '83', '84']
['110', '155', '157', '158', '159']
