['32', '33', '34', '162']
['99', '263', '344', '346']
['113', '114', '115', '158']
['81', '82', '83', '305']
['292', '293', '294', '295']
['89', '332', '333', '335']
['80', '137', '138', '139']
['144', '145', '146', '147']
['135', '272', '273', '275']
['142', '304', '306', '307']
['220', '221', '223', '268']
['36', '324', '325', '327']
['126', '376', '377', '379']
['176', '177', '178', '396']
['26', '185', '186', '317']
['20', '21', '22', '23']
['97', '98', '169', '372']
['205', '206', '384', '387']
['192', '193', '194', '310']
['183', '380', '381', '383']
['160', '161', '163', '184']
['152', '153', '155', '280']
['48', '49', '51', '179']
['55', '368', '369', '371']
['92', '93', '308', '350']
['140', '141', '143', '195']
['56', '132', '134', '222']
['285', '288', '290', '334']
['84', '156', '157', '159']
['150', '151', '232', '234']
['86', '316', '318', '319']
['76', '209', '210', '301']
['252', '253', '254', '255']
['164', '165', '166', '167']
['260', '261', '262', '311']
['233', '235', '276', '278']
['87', '102', '329', '330']
['29', '180', '181', '345']
['79', '94', '95', '382']
['303', '336', '338', '339']
['57', '364', '365', '366']
['88', '100', '101', '103']
['269', '270', '271', '356']
['58', '245', '246', '247']
['112', '274', '300', '302']
['40', '41', '42', '43']
['5', '24', '25', '27']
['224', '225', '226', '326']
['172', '174', '175', '218']
['72', '73', '74', '75']
['37', '96', '136', '212']
['3', '204', '207', '231']
['119', '281', '283', '361']
['108', '109', '111', '266']
['127', '148', '149', '284']
['44', '46', '47', '378']
['340', '341', '342', '343']
['78', '208', '277', '279']
['154', '216', '217', '219']
['110', '286', '312', '314']
['128', '130', '131', '331']
['228', '229', '230', '370']
['129', '200', '202', '203']
['168', '170', '171', '287']
['191', '237', '238', '239']
['120', '121', '122', '123']
['64', '65', '66', '67']
['256', '257', '258', '259']
['28', '30', '31', '395']
['38', '39', '297', '299']
['12', '13', '14', '15']
['16', '17', '18', '19']
['8', '9', '11', '50']
['188', '189', '190', '320']
['104', '105', '106', '107']
['4', '6', '7', '35']
['68', '70', '71', '392']
['321', '322', '323', '374']
['10', '196', '197', '199']
['124', '125', '289', '367']
['264', '265', '267', '347']
['61', '291', '393', '394']
['116', '117', '118', '244']
['77', '328', '385', '386']
['53', '54', '373', '375']
['352', '353', '354', '355']
['182', '187', '296', '298']
['240', '241', '242', '243']
['60', '62', '63', '173']
['388', '389', '390', '391']
['45', '360', '362', '363']
['85', '227', '313', '315']
['59', '357', '358', '359']
['213', '214', '215', '236']
['90', '91', '282', '337']
['0', '1', '2', '201']
['248', '249', '250', '251']
['52', '69', '198', '309']
['211', '348', '349', '351']
['133', '397', '398', '399']
