['7', '26', '35', '94', '132', '159', '192', '243', '250', '257', '265', '267', '271', '296', '303', '372', '377', '390', '422', '426', '454', '465', '466', '478', '491']
['14', '15', '32', '38', '40', '90', '115', '123', '133', '137', '145', '148', '158', '178', '179', '193', '224', '264', '366', '373', '418', '446', '459', '470', '479']
['39', '45', '59', '83', '88', '91', '98', '128', '161', '206', '235', '254', '287', '325', '331', '367', '370', '375', '386', '425', '427', '437', '439', '476', '480']
['19', '25', '52', '85', '86', '124', '125', '130', '144', '191', '194', '199', '233', '244', '272', '290', '345', '355', '416', '432', '433', '443', '445', '462', '489']
['1', '34', '42', '50', '54', '56', '69', '89', '108', '118', '173', '203', '204', '213', '225', '261', '311', '317', '329', '348', '389', '435', '467', '482', '497']
['30', '31', '63', '107', '140', '172', '182', '187', '205', '251', '259', '273', '281', '318', '322', '340', '360', '361', '420', '438', '442', '448', '452', '468', '490']
['2', '20', '29', '67', '109', '117', '119', '120', '131', '153', '228', '245', '246', '249', '270', '280', '288', '298', '302', '341', '347', '382', '393', '461', '474']
['17', '27', '71', '76', '78', '87', '97', '103', '149', '167', '169', '185', '186', '195', '227', '241', '262', '274', '278', '399', '414', '463', '472', '477', '492']
['0', '4', '10', '12', '33', '44', '53', '70', '73', '82', '93', '96', '105', '142', '152', '177', '180', '229', '297', '301', '309', '313', '352', '357', '412']
['9', '21', '24', '55', '75', '77', '95', '164', '183', '189', '202', '223', '299', '314', '324', '368', '371', '396', '397', '406', '408', '458', '473', '475', '498']
['68', '101', '122', '151', '160', '210', '214', '217', '236', '253', '285', '289', '308', '334', '349', '356', '379', '381', '394', '419', '429', '455', '469', '488', '493']
['37', '43', '65', '106', '114', '116', '135', '163', '188', '232', '248', '256', '279', '293', '343', '363', '376', '380', '385', '407', '428', '440', '449', '494', '496']
['41', '46', '62', '64', '100', '150', '184', '190', '201', '209', '216', '218', '266', '275', '310', '328', '336', '342', '350', '351', '359', '391', '424', '456', '483']
['3', '49', '80', '112', '146', '147', '165', '175', '211', '220', '252', '282', '295', '304', '305', '312', '321', '332', '337', '358', '364', '404', '415', '441', '499']
['36', '72', '104', '174', '176', '197', '212', '237', '238', '269', '277', '291', '307', '326', '335', '353', '388', '398', '400', '401', '409', '421', '430', '450', '481']
['22', '113', '121', '134', '154', '166', '168', '200', '207', '221', '226', '231', '242', '268', '286', '315', '319', '362', '365', '402', '423', '434', '447', '457', '471']
['8', '13', '16', '47', '51', '60', '66', '79', '157', '198', '234', '255', '283', '292', '316', '320', '344', '369', '383', '411', '413', '417', '464', '484', '487']
['28', '57', '61', '81', '92', '110', '126', '136', '138', '181', '208', '222', '247', '284', '294', '323', '327', '333', '346', '354', '378', '384', '392', '431', '460']
['5', '6', '18', '23', '48', '58', '74', '99', '102', '127', '143', '162', '215', '219', '239', '258', '276', '300', '374', '387', '405', '451', '453', '485', '495']
['11', '84', '111', '129', '139', '141', '155', '156', '170', '171', '196', '230', '240', '260', '263', '306', '330', '338', '339', '395', '403', '410', '436', '444', '486']
