['TimHardaway', 'JarrettJack']
['IanClark', 'NikolaMirotic']
['MarioHezonja', 'ShelvinMack']
['EvanTurner', 'PatConnaughton']
['KristapsPorzingis', 'KyleOQuinn']
['StephenCurry', 'AndreIguodala']
['WilsonChandler', 'MasonPlumlee']
['ZachRandolph', 'SkalLabissiere']
['BradleyBeal', 'JodieMeeks']
['WillBarton', 'TorreyCraig']
['AnthonyTolliver', 'ReggieJackson']
['TroyDaniels', 'MarqueseChriss']
['KellyOubre', 'MarcinGortat']
['JoelEmbiid', 'RichaunHolmes']
['DwightHoward', 'FrankKaminsky']
['JustinJackson', 'GeorgeHill']
['HarrisonBarnes', 'JJBarea']
['PaulMillsap', 'EmmanuelMudiay']
['JordanClarkson', 'CoreyBrewer']
['JrueHoliday', 'DanteCunningham']
['BogdanBogdanovic', 'WillieCauleyStein']
['AndreDrummond', 'AveryBradley']
['AlFarouqAminu', 'MauriceHarkless']
['JJRedick', 'TJMcConnell']
['BismackBiyombo', 'ElfridPayton']
['RickyRubio', 'RudyGobert']
['CoryJoseph', 'JoeYoung']
['KyleKuzma', 'LonzoBall']
['FrankNtilikina', 'DougMcDermott']
['QuincyAcy', 'GoranDragic']
['TerryRozier', 'MarcusMorris']
['RobinLopez', 'PaulZipser']
['TJWarren', 'TylerUlis']
['BamAdebayo', 'DionWaiters']
['GaryHarris', 'TreyLyles']
['ChrisPaul', 'RyanAnderson']
['TylerJohnson', 'WayneEllington']
['JoeHarris', 'KevinDurant']
['JakobPoeltl', 'DelonWright']
['DennisSmith', 'DevinHarris']
['DirkNowitzki', 'DwightPowell']
['DeMarreCarroll', 'TylerZeller']
['StanleyJohnson', 'ReggieBullock']
['PattyMills', 'DannyGreen']
['AlecBurks', 'EkpeUdoh']
['StevenAdams', 'JoshHuestis']
['JeffTeague', 'GorguiDieng']
['BenSimmons', 'DarioSaric']
['CarisLeVert', 'DAngeloRussell']
['IshSmith', 'DJAugustin']
['JoshRichardson', 'JustiseWinslow']
['SindariusThornwell', 'MilosTeodosic']
['PascalSiakam', 'OGAnunoby']
['ETwaunMoore', 'RajonRondo']
['DeAaronFox', 'KostaKoufos']
['ShaunLivingston', 'ZazaPachulia']
['DariusMiller', 'DeMarcusCousins']
['DarrenCollison', 'AlJefferson']
['JonathonSimmons', 'NikolaVucevic']
['KhrisMiddleton', 'MalcolmBrogdon']
['CarmeloAnthony', 'JeramiGrant']
['LouWilliams', 'BlakeGriffin']
['MikeMuscala', 'MalcolmDelaney']
['KlayThompson', 'DraymondGreen']
['KyleLowry', 'CJMiles']
['ThaddeusYoung', 'VictorOladipo']
['JoseCalderon', 'AlexLen']
['PJTucker', 'GeraldGreen']
['JaylenBrown', 'JamalMurray']
['NickYoung', 'PatrickMcCaw']
['TaureanWallerPrince', 'ErsanIlyasova']
['DewayneDedmon', 'MarcoBelinelli']
['KentBazemore', 'JohnCollins']
['JoshHart', 'LarryNance']
['MylesTurner', 'DomantasSabonis']
['TobiasHarris', 'DeAndreJordan']
['LukeKennard', 'LangstonGalloway']
['ThonMaker', 'JasonTerry']
