['224', '473', '36', '400', '128', '182', '69', '469', '176', '198', '342', '267', '161', '284', '254', '160']
['300', '2', '309', '371', '298', '28', '80', '285', '407', '468', '484', '248', '155', '325', '350', '38']
['4', '119', '141', '215', '52', '246', '107', '310', '32', '268', '23', '381', '280', '398', '151', '396']
['241', '213', '72', '348', '88', '272', '461', '420', '292', '368', '470', '317', '445', '458', '164', '286']
['193', '45', '295', '217', '127', '71', '255', '425', '158', '332', '98', '327', '244', '399', '41', '283']
['345', '121', '294', '242', '460', '296', '480', '366', '495', '235', '222', '250', '17', '162', '177', '271']
['10', '270', '482', '356', '432', '234', '450', '188', '113', '109', '206', '451', '269', '29', '433', '117']
['106', '426', '66', '262', '391', '35', '387', '3', '216', '264', '394', '335', '483', '147', '142', '311']
['75', '437', '494', '245', '453', '312', '6', '465', '299', '123', '165', '392', '192', '140', '291', '159']
['252', '120', '170', '293', '37', '358', '423', '15', '346', '319', '474', '323', '156', '489', '175', '343']
['9', '363', '153', '401', '463', '101', '16', '340', '129', '454', '239', '427', '302', '138', '1', '169']
['414', '68', '48', '82', '256', '46', '195', '57', '200', '102', '184', '411', '421', '229', '382', '20']
['322', '232', '384', '205', '150', '266', '315', '380', '104', '73', '249', '486', '134', '410', '238', '114']
['476', '78', '379', '7', '405', '297', '53', '112', '496', '444', '89', '163', '324', '185', '452', '304']
['118', '341', '338', '361', '77', '100', '219', '276', '333', '265', '257', '429', '303', '132', '96', '289']
['457', '493', '194', '196', '58', '435', '94', '210', '337', '67', '91', '122', '85', '221', '353', '443']
['92', '347', '357', '313', '139', '428', '145', '103', '462', '236', '261', '389', '417', '125', '491', '258']
['243', '449', '27', '51', '277', '202', '233', '105', '351', '24', '344', '377', '65', '79', '440', '83']
['171', '126', '26', '383', '306', '247', '189', '259', '373', '173', '108', '84', '318', '331', '226', '367']
['308', '95', '143', '49', '157', '90', '18', '355', '116', '307', '479', '86', '223', '167', '178', '415']
['115', '56', '225', '447', '13', '180', '70', '359', '326', '403', '191', '204', '431', '172', '61', '487']
['349', '376', '144', '362', '471', '93', '47', '203', '467', '370', '404', '419', '372', '149', '442', '111']
['197', '395', '475', '59', '152', '275', '329', '364', '369', '34', '464', '201', '99', '190', '228', '137']
['336', '448', '8', '424', '328', '220', '352', '321', '60', '135', '490', '146', '76', '402', '237', '477']
['481', '136', '446', '154', '209', '466', '406', '148', '434', '439', '388', '418', '64', '282', '110', '33']
['436', '166', '339', '168', '240', '456', '260', '360', '12', '44', '472', '281', '301', '478', '278', '320']
['365', '485', '11', '409', '422', '174', '42', '39', '31', '374', '416', '30', '413', '393', '25', '183']
['62', '212', '274', '251', '459', '263', '354', '378', '214', '314', '97', '273', '87', '22', '279', '186']
['253', '131', '488', '316', '218', '430', '14', '181', '231', '290', '287', '50', '230', '386', '375', '81']
['412', '330', '390', '5', '199', '63', '21', '40', '441', '385', '19', '55', '74', '305', '43', '187']
['130', '124', '227', '54', '408', '455', '397', '179', '334', '288', '492', '211', '133', '208', '207', '438']
