['182', '264', '66', '447', '39', '159', '297', '454', '246', '51']
['312', '214', '387', '271', '116', '85', '82', '143', '355', '48']
['254', '27', '62', '283', '68', '133', '58', '479', '91', '323']
['307', '111', '443', '161', '303', '357', '480', '193', '100', '265']
['266', '43', '8', '353', '293', '351', '336', '157', '388', '279']
['42', '127', '257', '427', '243', '311', '334', '72', '338', '455']
['28', '13', '327', '95', '5', '294', '374', '165', '123', '358']
['268', '328', '19', '209', '275', '316', '89', '299', '286', '421']
['273', '343', '310', '301', '300', '366', '396', '177', '385', '424']
['158', '87', '414', '151', '315', '7', '413', '228', '440', '238']
['377', '436', '57', '368', '497', '270', '105', '346', '496', '367']
['81', '172', '190', '431', '378', '113', '3', '289', '103', '20']
['313', '318', '138', '201', '407', '106', '114', '120', '281', '304']
['395', '484', '460', '255', '153', '394', '52', '141', '437', '227']
['457', '360', '232', '76', '154', '225', '189', '426', '15', '256']
['234', '242', '380', '309', '63', '248', '74', '276', '184', '71']
['210', '288', '40', '364', '356', '188', '402', '54', '432', '115']
['176', '430', '446', '369', '466', '483', '296', '418', '485', '422']
['139', '197', '245', '46', '233', '487', '65', '61', '134', '444']
['416', '498', '494', '277', '342', '330', '93', '180', '490', '75']
['492', '429', '298', '77', '404', '196', '302', '393', '290', '249']
['389', '131', '135', '126', '441', '488', '259', '45', '445', '332']
['205', '392', '363', '240', '435', '167', '49', '137', '170', '202']
['29', '459', '144', '493', '223', '97', '261', '489', '108', '44']
['36', '354', '491', '148', '362', '94', '215', '109', '142', '203']
['178', '24', '370', '306', '372', '263', '486', '102', '226', '162']
['34', '198', '38', '244', '50', '55', '60', '260', '326', '212']
['468', '352', '476', '335', '473', '314', '173', '160', '495', '235']
['452', '125', '280', '412', '207', '341', '179', '458', '70', '258']
['37', '146', '35', '415', '439', '187', '122', '398', '401', '450']
['278', '391', '117', '221', '345', '9', '1', '438', '23', '267']
['128', '119', '361', '451', '169', '98', '405', '373', '230', '12']
['442', '156', '217', '321', '481', '471', '30', '448', '218', '26']
['79', '11', '86', '96', '406', '381', '16', '295', '185', '499']
['53', '213', '90', '78', '291', '329', '241', '250', '251', '305']
['183', '83', '409', '220', '287', '112', '333', '0', '477', '192']
['420', '399', '376', '224', '149', '359', '129', '164', '33', '453']
['262', '236', '147', '461', '425', '229', '80', '464', '67', '64']
['410', '349', '411', '181', '174', '194', '382', '104', '252', '379']
['400', '419', '222', '84', '124', '10', '320', '219', '253', '344']
['292', '25', '132', '21', '2', '152', '317', '208', '434', '69']
['231', '469', '428', '282', '478', '322', '200', '274', '340', '118']
['403', '99', '465', '204', '14', '285', '199', '371', '239', '145']
['130', '18', '101', '168', '136', '348', '150', '206', '339', '155']
['331', '22', '365', '319', '350', '417', '73', '324', '269', '347']
['325', '482', '308', '110', '423', '191', '475', '195', '408', '390']
['17', '272', '433', '175', '31', '337', '397', '166', '88', '41']
['216', '163', '470', '463', '247', '449', '140', '4', '92', '171']
['47', '386', '56', '467', '6', '474', '462', '107', '284', '211']
['375', '32', '186', '121', '384', '383', '472', '59', '456', '237']
