['38', '86', '88', '93', '96', '153', '161', '176', '199', '231', '242', '280', '281', '288', '289', '302', '318', '349', '380', '394', '395']
['11', '21', '31', '37', '78', '79', '92', '99', '108', '147', '152', '172', '175', '180', '198', '241', '254', '266', '373', '387', '393']
['1', '29', '44', '51', '52', '60', '63', '75', '109', '110', '185', '189', '193', '217', '228', '264', '306', '308', '341', '357', '360']
['17', '47', '56', '76', '83', '127', '129', '156', '157', '167', '171', '240', '243', '244', '277', '325', '330', '332', '351', '353', '381']
['5', '36', '64', '65', '70', '87', '113', '118', '125', '170', '187', '233', '248', '267', '284', '303', '311', '321', '365', '396', '397']
['40', '53', '58', '124', '173', '206', '210', '216', '220', '236', '237', '274', '291', '309', '317', '327', '343', '355', '368', '378', '390']
['7', '26', '43', '61', '100', '106', '111', '162', '177', '178', '191', '235', '257', '278', '283', '295', '299', '339', '348', '358', '359']
['8', '9', '68', '73', '74', '84', '141', '190', '192', '194', '207', '229', '238', '260', '269', '305', '316', '335', '336', '337', '399']
['4', '105', '107', '117', '131', '150', '160', '184', '208', '245', '256', '279', '293', '296', '300', '319', '328', '333', '352', '377', '392']
['10', '12', '15', '41', '91', '95', '116', '136', '137', '142', '149', '165', '195', '202', '215', '230', '232', '262', '270', '310', '367']
['54', '57', '59', '89', '97', '143', '145', '151', '159', '166', '196', '218', '273', '287', '294', '315', '346', '356', '372', '386', '389']
['19', '25', '35', '42', '90', '130', '155', '163', '221', '239', '247', '249', '253', '255', '272', '292', '297', '301', '304', '338', '342']
['13', '14', '20', '24', '67', '81', '98', '128', '146', '168', '188', '197', '222', '227', '340', '344', '354', '364', '366', '376', '383']
['49', '71', '82', '102', '114', '121', '133', '164', '201', '204', '224', '226', '252', '263', '268', '276', '285', '329', '347', '350', '362']
['22', '34', '45', '48', '112', '115', '120', '126', '135', '169', '209', '219', '258', '271', '282', '307', '326', '371', '374', '385', '400']
['33', '50', '72', '80', '101', '119', '122', '179', '183', '186', '205', '211', '234', '259', '275', '298', '324', '363', '375', '379', '384']
['154']
['18', '46', '77', '94', '123', '139', '144', '158', '181', '200', '203', '265', '320', '322', '323', '331', '334', '361', '369', '388', '391']
['2', '6', '23', '30', '55', '69', '134', '138', '140', '148', '174', '212', '213', '214', '223', '246', '251', '261', '290', '345', '370']
['3', '16', '27', '28', '32', '39', '62', '66', '85', '103', '104', '132', '182', '225', '250', '286', '312', '313', '314', '382', '398']
