['622', '717', '265']
['848', '835', '922']
['427', '398', '91']
['896', '436', '649']
['238', '251', '523']
['454', '843', '304']
['223', '416', '926']
['130', '51', '191']
['125', '707', '720']
['76', '488', '776']
['703', '496', '524']
['864', '822', '652']
['619', '98', '476']
['344', '319', '972']
['856', '542', '224']
['914', '638', '780']
['149', '242', '108']
['796', '766', '491']
['241', '533', '786']
['504', '632', '872']
['453', '960', '11']
['644', '471', '279']
['85', '196', '226']
['16', '558', '414']
['885', '738', '539']
['782', '834', '31']
['910', '425', '862']
['348', '836', '541']
['752', '927', '961']
['807', '482', '939']
['640', '105', '393']
['75', '389', '587']
['518', '324']
['562', '352', '15']
['117', '204', '435']
['118', '981', '315']
['49', '480', '537']
['160', '380', '884']
['343', '679', '7']
['293', '147', '668']
['489', '915', '456']
['741', '200', '996']
['330', '272', '952']
['871', '515', '801']
['71', '8', '520']
['676', '428', '269']
['236', '131', '112']
['327', '957', '334']
['79', '431', '287']
['798', '179', '624']
['72', '446', '994']
['550', '681', '789']
['911', '793', '672']
['213', '582', '249']
['138', '908', '933']
['452', '228', '674']
['124', '177', '553']
['276', '725', '811']
['879', '64', '959']
['333', '718', '368']
['115', '356', '599']
['176', '114', '307']
['253', '921', '712']
['651', '641', '567']
['291', '277', '12']
['997', '645', '669']
['938', '930', '188']
['499', '629', '305']
['726', '221', '38']
['556', '434', '692']
['838', '559', '385']
['208', '571', '388']
['886', '733', '461']
['100', '302', '538']
['347', '126', '971']
['561', '817', '963']
['463', '932', '639']
['573', '877', '86']
['325', '68', '56']
['210', '139', '109']
['850', '935', '995']
['397', '465', '978']
['209', '636', '300']
['363', '387', '866']
['816', '784', '853']
['830', '642', '172']
['708', '770', '412']
['203', '832', '405']
['19', '513', '429']
['399', '52', '597']
['905', '658', '184']
['258', '557', '773']
['749', '144', '546']
['345', '284', '477']
['438', '403', '614']
['898', '958', '301']
['194', '715', '909']
['34', '474', '82']
['379', '328', '376']
['321', '581', '829']
['934', '292', '137']
['891', '44', '41']
['350', '351', '699']
['875', '739', '97']
['745', '810', '821']
['595', '154', '153']
['195', '954', '956']
['774', '744', '903']
['665', '747', '362']
['133', '837', '451']
['285', '815', '156']
['606', '280', '244']
['492', '989', '902']
['912', '167', '206']
['728', '753', '878']
['962', '805', '40']
['201', '367', '986']
['460', '842', '950']
['522', '580', '121']
['163', '528', '35']
['83', '548', '245']
['470', '889', '360']
['159', '464', '219']
['455', '413', '197']
['14', '110', '859']
['394', '751', '430']
['175', '250', '46']
['919', '868', '401']
['185', '851', '66']
['808', '247', '607']
['648', '4', '95']
['693', '983', '437']
['415', '880', '802']
['187', '313', '702']
['391', '653', '730']
['761', '123', '278']
['635', '948', '742']
['173', '192', '893']
['697', '180', '527']
['150', '378', '122']
['484', '820', '266']
['694', '70', '410']
['572', '846', '955']
['294', '99', '132']
['157', '575', '232']
['670', '791', '381']
['980', '290', '90']
['740', '439', '54']
['823', '5', '769']
['942', '700', '620']
['113', '212', '495']
['25', '627', '94']
['795', '716', '812']
['940', '987', '275']
['904', '984', '525']
['298', '724', '526']
['647', '274', '845']
['260', '894', '809']
['543', '828', '591']
['450', '723', '605']
['643', '583', '303']
['288', '248', '803']
['601', '151', '687']
['787', '420', '865']
['74', '701', '171']
['650', '598', '552']
['359', '655', '475']
['400', '1', '610']
['21', '329', '985']
['166', '358', '626']
['746', '510', '417']
['529', '966', '498']
['570', '235', '505']
['59', '586', '790']
['169', '577', '916']
['395', '198', '611']
['472', '217', '215']
['534', '119', '500']
['36', '220', '779']
['759', '155', '514']
['240', '408', '825']
['199', '973', '433']
['318', '77', '88']
['827', '227', '608']
['654', '466', '897']
['804', '621', '336']
['951', '858', '662']
['760', '17', '661']
['783', '268', '396']
['613', '254', '382']
['657', '785', '666']
['998', '237', '467']
['103', '892', '286']
['142', '111', '737']
['924', '564', '768']
['369', '729', '402']
['944', '87', '27']
['63', '565', '216']
['57', '449', '596']
['901', '612', '765']
['757', '544', '590']
['458', '979', '222']
['256', '840', '443']
['600', '953', '60']
['943', '13', '371']
['675', '833', '230']
['990', '61', '104']
['719', '762', '977']
['890', '545', '734']
['372', '468', '383']
['264', '62', '698']
['511', '494', '778']
['576', '646', '55']
['370', '781', '634']
['870', '578', '469']
['887', '992', '736']
['81', '667', '509']
['257', '129', '106']
['531', '178', '497']
['799', '569', '323']
['168', '317', '2']
['584', '976', '295']
['18', '145', '366']
['445', '763', '579']
['589', '423', '390']
['225', '136', '485']
['353', '473', '937']
['696', '970', '633']
['404', '9', '283']
['549', '869', '797']
['800', '965', '165']
['563', '261', '48']
['239', '928', '339']
['164', '592', '310']
['925', '663', '409']
['969', '594', '618']
['23', '918', '794']
['69', '26', '535']
['102', '10', '377']
['982', '28', '721']
['419', '481', '824']
['483', '603', '67']
['273', '207', '45']
['148', '331', '714']
['93', '267', '448']
['929', '373', '50']
['384', '831', '170']
['440', '43', '688']
['680', '271', '710']
['442', '457', '684']
['964', '407', '487']
['874', '683', '941']
['30', '418', '772']
['308', '355', '882']
['637', '873', '478']
['341', '92', '211']
['660', '0', '706']
['33', '29', '881']
['945', '392', '677']
['340', '841', '306']
['346', '6', '540']
['243', '365', '314']
['349', '296', '686']
['143', '508', '519']
['229', '312', '73']
['705', '426', '920']
['202', '386']
['767', '755', '844']
['839', '849', '252']
['860', '96', '547']
['861', '259', '507']
['116', '146', '78']
['218', '883', '625']
['585', '32', '631']
['299', '411', '788']
['281', '501', '152']
['588', '181', '421']
['255', '101', '486']
['22', '459', '555']
['917', '161', '852']
['530', '975', '24']
['322', '678', '709']
['711', '263', '923']
['432', '134', '602']
['512', '354', '158']
['946', '374', '617']
['186', '190', '673']
['337', '246', '616']
['233', '771', '895']
['560', '813', '936']
['193', '857', '326']
['659', '735', '182']
['375', '999', '628']
['58', '974', '826']
['913', '20', '479']
['65', '727', '490']
['847', '604', '609']
['361', '140', '754']
['819', '311', '949']
['685', '39', '593']
['441', '968', '320']
['205', '615', '931']
['566', '806', '551']
['309', '174', '775']
['967', '3', '335']
['988', '422', '863']
['899', '342', '189']
['876', '364', '503']
['297', '907', '262']
['554', '671', '867']
['37', '47', '713']
['502', '536', '234']
['493', '792', '214']
['991', '127', '162']
['42', '517', '947']
['993', '682', '357']
['722', '695', '462']
['888', '270', '689']
['814', '282', '691']
['532', '89', '521']
['656', '406', '444']
['141', '135', '630']
['338', '332', '756']
['231', '748', '731']
['690', '758', '53']
['574', '506', '183']
['516', '447', '777']
['623', '120', '906']
['750', '732', '900']
['568', '128', '854']
['818', '764', '84']
['855', '743', '107']
['704', '424', '664']
['289', '80', '316']
