['379', '598', '583', '366', '78', '43', '460', '916', '326', '666', '48', '576', '907', '151', '980', '659', '539', '742', '174', '978']
['702', '289', '51', '945', '899', '654', '56', '474', '512', '511', '376', '720', '732', '70', '387', '850', '649', '497', '578', '143']
['225', '400', '53', '386', '918', '535', '566', '160', '19', '646', '622', '782', '829', '561', '180', '176', '322', '966', '529', '85']
['3', '483', '463', '448', '814', '171', '723', '987', '787', '402', '865', '670', '758', '447', '645', '544', '395', '125', '262', '776']
['897', '575', '556', '13', '420', '295', '164', '746', '188', '21', '527', '764', '586', '957', '664', '707', '839', '903', '818', '615']
['791', '385', '596', '844', '132', '724', '185', '749', '962', '549', '745', '579', '37', '560', '813', '807', '728', '630', '896', '784']
['627', '639', '743', '964', '725', '331', '59', '114', '363', '595', '671', '969', '64', '705', '508', '597', '831', '735', '94', '554']
['86', '158', '272', '951', '816', '593', '198', '640', '548', '344', '925', '252', '433', '773', '81', '31', '134', '878', '774', '238']
['510', '759', '836', '522', '632', '832', '686', '195', '181', '637', '892', '83', '138', '255', '885', '804', '600', '210', '919', '311']
['734', '315', '821', '930', '92', '304', '854', '700', '226', '298', '609', '763', '303', '954', '790', '398', '87', '169', '325', '500']
['824', '451', '538', '155', '823', '526', '628', '149', '281', '798', '754', '547', '350', '406', '867', '631', '347', '780', '38', '351']
['675', '672', '683', '456', '414', '390', '947', '757', '274', '27', '592', '652', '948', '761', '480', '234', '981', '604', '431', '313']
['240', '914', '603', '661', '34', '662', '766', '136', '328', '771', '182', '625', '415', '986', '684', '727', '196', '960', '320', '380']
['229', '820', '493', '525', '863', '213', '154', '425', '971', '694', '703', '199', '242', '217', '748', '105', '440', '103', '66', '904']
['211', '876', '23', '237', '955', '412', '419', '828', '788', '976', '365', '457', '476', '72', '418', '715', '45', '739', '275', '590']
['404', '302', '870', '688', '502', '168', '994', '834', '911', '282', '975', '777', '221', '685', '607', '626', '760', '133', '487', '879']
['145', '898', '113', '917', '265', '413', '47', '342', '680', '802', '936', '906', '753', '102', '55', '348', '953', '405', '220', '997']
['714', '648', '852', '442', '811', '49', '915', '478', '343', '900', '467', '361', '469', '241', '249', '545', '184', '427', '115', '967']
['446', '279', '67', '587', '509', '459', '533', '82', '889', '485', '148', '35', '518', '691', '131', '111', '860', '95', '913', '54']
['411', '837', '41', '396', '471', '201', '613', '786', '270', '1', '797', '91', '877', '792', '959', '349', '477', '853', '815', '690']
['156', '173', '306', '224', '123', '812', '676', '119', '124', '466', '653', '557', '305', '614', '859', '875', '445', '651', '192', '464']
['247', '701', '983', '68', '503', '219', '323', '172', '961', '838', '26', '883', '283', '139', '681', '243', '106', '69', '611', '909']
['927', '942', '14', '142', '206', '186', '862', '581', '300', '401', '755', '489', '44', '822', '601', '319', '147', '450', '591', '572']
['532', '99', '825', '25', '636', '266', '327', '374', '178', '258', '6', '388', '594', '257', '809', '558', '294', '985', '93', '126']
['699', '340', '356', '77', '555', '563', '254', '827', '187', '223', '97', '984', '127', '929', '410', '880', '345', '417', '204', '382']
['968', '357', '7', '570', '972', '808', '908', '291', '695', '233', '709', '698', '781', '872', '286', '567', '845', '468', '436', '84']
['704', '990', '756', '200', '141', '864', '888', '197', '810', '730', '943', '833', '616', '432', '582', '989', '205', '486', '372', '330']
['50', '858', '310', '711', '321', '793', '585', '618', '891', '768', '96', '491', '218', '644', '80', '189', '993', '495', '110', '377']
['346', '568', '528', '520', '938', '74', '259', '937', '428', '52', '499', '842', '712', '620', '950', '650', '352', '76', '290', '501']
['416', '239', '874', '819', '905', '677', '36', '339', '108', '540', '536', '40', '458', '232', '952', '135', '112', '505', '826', '674']
['658', '479', '444', '789', '9', '29', '893', '441', '63', '494', '256', '924', '868', '194', '453', '288', '107', '30', '484', '407']
['393', '130', '116', '228', '738', '710', '177', '687', '762', '534', '153', '120', '236', '333', '271', '152', '599', '922', '140', '214']
['190', '665', '843', '848', '669', '16', '750', '923', '434', '73', '769', '946', '309', '752', '668', '667', '722', '39', '371', '871']
['46', '117', '806', '551', '855', '999', '678', '970', '817', '515', '729', '656', '367', '33', '296', '635', '629', '926', '682', '778']
['940', '708', '719', '146', '11', '696', '122', '193', '580', '118', '227', '438', '803', '263', '492', '647', '230', '470', '866', '269']
['958', '0', '384', '248', '287', '517', '796', '621', '546', '634', '941', '426', '57', '5', '516', '244', '935', '209', '496', '523']
['849', '42', '280', '65', '910', '537', '203', '129', '610', '995', '399', '657', '166', '332', '167', '58', '335', '183', '60', '805']
['571', '619', '212', '550', '655', '895', '612', '841', '886', '75', '452', '642', '308', '751', '378', '163', '697', '20', '481', '559']
['109', '473', '368', '794', '584', '159', '856', '846', '772', '847', '514', '693', '397', '128', '835', '246', '15', '928', '235', '297']
['713', '276', '717', '362', '488', '137', '744', '977', '98', '475', '873', '519', '869', '28', '643', '673', '524', '8', '277', '364']
['207', '314', '507', '602', '170', '974', '589', '341', '461', '293', '920', '71', '973', '191', '391', '284', '100', '737', '689', '574']
['840', '24', '150', '641', '552', '706', '10', '334', '633', '800', '982', '299', '679', '482', '965', '89', '979', '573', '623', '902']
['733', '541', '894', '901', '161', '740', '338', '370', '861', '260', '543', '317', '355', '963', '301', '337', '588', '373', '449', '506']
['490', '887', '4', '692', '569', '359', '912', '564', '638', '375', '767', '785', '731', '991', '409', '944', '931', '222', '775', '360']
['253', '292', '608', '553', '795', '353', '421', '437', '996', '472', '939', '175', '394', '121', '521', '162', '851', '318', '22', '783']
['429', '285', '465', '857', '408', '801', '32', '736', '443', '216', '531', '273', '504', '423', '202', '251', '358', '988', '455', '741']
['324', '231', '998', '542', '718', '606', '605', '62', '245', '261', '779', '392', '17', '435', '312', '890', '264', '383', '934', '956']
['267', '104', '250', '830', '381', '369', '389', '268', '747', '79', '424', '933', '336', '215', '881', '721', '565', '316', '329', '498']
['439', '307', '430', '354', '726', '770', '403', '12', '208', '992', '513', '157', '932', '101', '663', '716', '144', '530', '884', '179']
['90', '949', '765', '577', '454', '422', '921', '799', '882', '624', '562', '278', '660', '165', '88', '617', '2', '462', '18', '61']
