['229', '184', '99', '310', '390', '376', '309', '240', '235', '200', '213', '301', '136', '13', '352', '89', '340', '323', '283', '322']
['191', '298', '39', '222', '17', '280', '359', '151', '80', '388', '183', '103', '306', '67', '296', '48', '11', '287', '143', '169']
['163', '108', '74', '300', '313', '35', '170', '83', '341', '142', '290', '81', '242', '197', '193', '54', '20', '97', '368', '399']
['228', '168', '267', '117', '127', '192', '372', '161', '288', '156', '34', '260', '174', '239', '329', '363', '42', '116', '358', '1']
['206', '18', '394', '37', '132', '387', '328', '250', '175', '252', '357', '307', '377', '308', '4', '232', '113', '226', '210', '332']
['361', '76', '204', '124', '12', '90', '182', '129', '70', '57', '268', '231', '122', '293', '221', '279', '93', '135', '382', '71']
['205', '137', '172', '258', '181', '384', '43', '386', '275', '52', '3', '176', '302', '318', '178', '59', '385', '146', '51', '255']
['351', '15', '115', '152', '217', '342', '160', '111', '321', '96', '396', '246', '86', '8', '319', '50', '305', '230', '271', '215']
['201', '5', '270', '216', '289', '291', '109', '360', '162', '128', '209', '234', '335', '225', '157', '303', '195', '282', '153', '179']
['24', '98', '139', '292', '224', '350', '147', '356', '194', '336', '33', '380', '381', '395', '277', '101', '19', '92', '95', '187']
['245', '393', '106', '266', '26', '133', '185', '374', '262', '207', '186', '149', '241', '56', '391', '304', '75', '389', '41', '30']
['316', '203', '9', '155', '47', '327', '362', '392', '164', '299', '297', '370', '167', '100', '173', '344', '44', '78', '130', '398']
['64', '72', '236', '85', '171', '10', '276', '82', '36', '353', '244', '324', '150', '91', '223', '66', '354', '274', '27', '379']
['180', '263', '295', '21', '61', '119', '227', '383', '145', '259', '134', '114', '49', '365', '199', '278', '112', '378', '339', '334']
['40', '272', '165', '315', '63', '284', '28', '140', '257', '261', '331', '65', '214', '53', '285', '158', '326', '273', '294', '281']
['220', '125', '219', '369', '366', '333', '110', '46', '23', '375', '343', '58', '247', '314', '253', '45', '256', '238', '349', '55']
['202', '148', '7', '68', '25', '286', '337', '62', '87', '397', '189', '38', '208', '188', '154', '251', '367', '118', '243', '88']
['249', '69', '338', '6', '348', '347', '2', '121', '131', '196', '190', '31', '104', '211', '311', '373', '60', '144', '325', '16']
['269', '320', '345', '233', '105', '32', '120', '177', '73', '159', '77', '84', '264', '29', '94', '107', '123', '126', '79', '248']
['312', '138', '371', '0', '102', '218', '265', '141', '166', '198', '22', '355', '14', '254', '237', '212', '364', '330', '346', '317']
