['325', '356']
['145', '203']
['170', '197']
['340', '341']
['25', '218']
['270', '298']
['97', '327']
['53', '359']
['420', '421']
['316', '463']
['95', '383']
['294', '391']
['127', '333']
['167', '204']
['98', '248']
['11', '181']
['101', '422']
['64', '131']
['187', '367']
['240', '456']
['33', '318']
['130', '415']
['321', '342']
['62', '483']
['15', '310']
['113', '461']
['44', '71']
['232', '233']
['2', '234']
['132', '291']
['480', '481']
['245', '488']
['84', '344']
['288', '289']
['70', '216']
['330', '465']
['439', '440']
['85', '380']
['200', '427']
['43', '222']
['196', '416']
['211', '335']
['52', '452']
['23', '402']
['372', '386']
['30', '151']
['404', '405']
['129', '192']
['86', '301']
['205', '306']
['28', '88']
['357', '366']
['173', '307']
['106', '157']
['269', '360']
['155', '424']
['19', '354']
['166', '451']
['314', '315']
['47', '134']
['34', '198']
['26', '336']
['174', '175']
['139', '352']
['426', '473']
['65', '498']
['443', '471']
['201', '431']
['109', '444']
['12', '256']
['244', '267']
['38', '271']
['16', '17']
['13', '265']
['442', '496']
['138', '277']
['250', '303']
['268', '300']
['241', '385']
['72', '312']
['295', '495']
['126', '178']
['66', '171']
['117', '387']
['210', '464']
['35', '107']
['324', '497']
['209', '434']
['278', '279']
['414', '433']
['24', '418']
['4', '263']
['140', '141']
['362', '379']
['45', '322']
['99', '478']
['239', '430']
['100', '261']
['304', '482']
['160', '339']
['148', '462']
['299', '363']
['411', '458']
['343', '378']
['193', '262']
['133', '180']
['371', '381']
['199', '281']
['55', '469']
['207', '399']
['220', '350']
['317', '397']
['282', '283']
['302', '476']
['246', '349']
['78', '249']
['83', '428']
['374', '490']
['142', '259']
['27', '58']
['376', '377']
['112', '453']
['373', '485']
['63', '311']
['305', '326']
['230', '348']
['392', '468']
['102', '103']
['96', '153']
['41', '159']
['124', '417']
['296', '297']
['156', '169']
['36', '290']
['56', '57']
['14', '125']
['177', '423']
['67', '403']
['441', '457']
['190', '191']
['7', '470']
['90', '91']
['10', '68']
['29', '217']
['73', '168']
['382', '491']
['50', '273']
['108', '355']
['3', '215']
['20', '21']
['22', '221']
['448', '449']
['293', '369']
['400', '432']
['122', '231']
['42', '94']
['39', '323']
['257', '489']
['105', '460']
['176', '408']
['252', '253']
['164', '368']
['236', '351']
['208', '437']
['162', '319']
['147', '172']
['206', '375']
['202', '219']
['104', '338']
['6', '213']
['328', '329']
['0', '238']
['49', '406']
['59', '390']
['143', '389']
['255', '332']
['32', '93']
['161', '455']
['275', '425']
['436', '499']
['286', '474']
['115', '247']
['364', '484']
['40', '276']
['320', '467']
['123', '225']
['120', '285']
['76', '358']
['165', '472']
['8', '419']
['309', '492']
['313', '407']
['254', '395']
['337', '459']
['80', '388']
['118', '119']
['194', '195']
['477', '493']
['87', '308']
['51', '128']
['82', '409']
['46', '182']
['272', '435']
['1', '226']
['158', '237']
['258', '494']
['110', '398']
['37', '466']
['331', '393']
['346', '347']
['163', '429']
['152', '266']
['137', '450']
['446', '447']
['135', '186']
['77', '183']
['251', '413']
['81', '116']
['235', '384']
['114', '353']
['31', '438']
['74', '184']
['75', '292']
['18', '79']
['149', '475']
['111', '334']
['280', '412']
['396', '401']
['227', '394']
['136', '410']
['179', '284']
['223', '274']
['228', '229']
['54', '287']
['188', '189']
['242', '260']
['89', '154']
['121', '445']
['150', '185']
['486', '487']
['5', '370']
['212', '243']
['224', '345']
['92', '146']
['48', '479']
['214', '365']
['69', '454']
['9', '144']
['264', '361']
['60', '61']
