['a0', 'a6', 'a9', 'a7', 'a4', 'a5', 'a204', 'a92', 'a220', 'a79']
['a88', 'a83', 'a85', 'a74', 'a80', 'a84', 'a116', 'a115', 'a112', 'a117']
['a197', 'a202', 'a208', 'a230', 'a235', 'a239', 'a234', 'a231', 'a238', 'a3']
['a201', 'a20', 'a24', 'a28', 'a72', 'a71', 'a78', 'a199', 'a205', 'a102']
['a1', 'a193', 'a206', 'a190', 'a191', 'a100', 'a103', 'a108', 'a203', 'a200']
['a10', 'a13', 'a19', 'a16', 'a81', 'a198', 'a43', 'a110', 'a121', 'a223']
['a50', 'a56', 'a194', 'a90', 'a192', 'a94', 'a172', 'a174', 'a177', 'a101']
['a18', 'a98', 'a109', 'a104', 'a105', 'a120', 'a127', 'a126', 'a122', 'a123']
['a2', 'a60', 'a114', 'a170', 'a175', 'a173', 'a171', 'a178', 'a184', 'a244']
['a40', 'a42', 'a41', 'a130', 'a134', 'a139', 'a195', 'a53', 'a136', 'a245']
['a29', 'a22', 'a49', 'a47', 'a54', 'a118', 'a111', 'a248', 'a242', 'a249']
['a57', 'a58', 'a157', 'a152', 'a158', 'a159', 'a240', 'a243', 'a247', 'a162']
['a69', 'a61', 'a63', 'a68', 'a124', 'a185', 'a189', 'a182', 'a187', 'a179']
['a48', 'a44', 'a119', 'a151', 'a156', 'a154', 'a188', 'a228', 'a46', 'a142']
['a222', 'a227', 'a225', 'a221', 'a226', 'a224', 'a229', 'a31', 'a113', 'a153']
['a73', 'a75', 'a160', 'a165', 'a164', 'a161', 'a169', 'a167', 'a166', 'a168']
['a106', 'a107', 'a133', 'a138', 'a132', 'a131', 'a214', 'a213', 'a219', 'a237']
['a27', 'a25', 'a26', 'a23', 'a55', 'a52', 'a51', 'a70', 'a76', 'a163']
['a17', 'a125', 'a129', 'a128', 'a143', 'a147', 'a176', 'a233', 'a232', 'a236']
['a8', 'a59', 'a196', 'a97', 'a95', 'a87', 'a96', 'a99', 'a21', 'a137']
['a66', 'a91', 'a93', 'a140', 'a145', 'a144', 'a141', 'a146', 'a148', 'a149']
['a77', 'a210', 'a211', 'a218', 'a216', 'a212', 'a215', 'a241', 'a246', 'a217']
['a12', 'a30', 'a38', 'a33', 'a36', 'a180', 'a183', 'a181', 'a186', 'a209']
['a65', 'a207', 'a32', 'a67', 'a62', 'a64', 'a86', 'a150', 'a155', 'a45']
['a11', 'a15', 'a14', 'a34', 'a37', 'a35', 'a39', 'a82', 'a89', 'a135']
