['FrankNtilikina', 'KyleOQuinn']
['WesleyJohnson', 'SindariusThornwell']
['DavidWest', 'ZazaPachulia']
['DeAaronFox', 'JustinJackson']
['BlakeGriffin', 'MilosTeodosic']
['AronBaynes', 'DanielTheis']
['DeMarDeRozan', 'SergeIbaka']
['FredVanVleet', 'DelonWright']
['WayneEllington', 'BamAdebayo']
['LonzoBall', 'JoshHart']
['LanceThomas', 'DougMcDermott']
['AndrewWiggins', 'JamalCrawford']
['KrisDunn', 'CristianoFelicio']
['VictorOladipo', 'BojanBogdanovic']
['JamalMurray', 'DeAndreJordan']
['TorreyCraig', 'JimmyButler']
['KellyOlynyk', 'HassanWhiteside']
['LeBronJames', 'JeffGreen']
['AndrewHarrison', 'BenMcLemore']
['ElfridPayton', 'CJMiles']
['TyusJones', 'NemanjaBjelica']
['MarcusSmart', 'RudyGay']
['DennisSchroder', 'JohnCollins']
['ReggieBullock', 'AveryBradley']
['TajGibson', 'JeffTeague']
['LaMarcusAldridge', 'BrynForbes']
['BradleyBeal', 'MarkieffMorris']
['KembaWalker', 'MichaelKiddGilchrist']
['IanMahinmi', 'JodieMeeks']
['KyleKuzma', 'JordanClarkson']
['JRSmith', 'RajonRondo']
['DillonBrooks', 'JaMychalGreen']
['DAngeloRussell', 'MichaelCarterWilliams']
['TrevorAriza', 'EricGordon']
['JoshRichardson', 'DionWaiters']
['AllenCrabbe', 'JoeHarris']
['MarioChalmers', 'JoshHuestis']
['JuliusRandle', 'CoreyBrewer']
['JaysonTatum', 'AlHorford']
['BogdanBogdanovic', 'KostaKoufos']
['AnthonyDavis', 'ETwaunMoore']
['StephenCurry', 'MarqueseChriss']
['DarioSaric', 'TimotheLuwawuCabarrot']
['JustinHoliday', 'PaulZipser']
['KyleAnderson', 'DannyGreen']
['StanleyJohnson', 'JakobPoeltl']
['DanteCunningham', 'StevenAdams']
['BobbyPortis', 'DerrickFavors']
['TJWarren', 'DevinBooker']
['EvanTurner', 'MauriceHarkless']
['ManuGinobili', 'DavisBertans']
['SpencerDinwiddie', 'TylerZeller']
['DewayneDedmon', 'ErsanIlyasova']
['KentaviousCaldwellPope', 'BrandonIngram']
['TroyDaniels', 'TysonChandler']
['JonasValanciunas', 'OGAnunoby']
['CoryJoseph', 'DomantasSabonis']
['EnesKanter', 'PatConnaughton']
['TaureanWallerPrince', 'MikeMuscala']
['DeyontaDavis', 'JarrettJack']
['JoeIngles', 'RudyGobert']
['RondaeHollisJefferson', 'QuincyAcy']
['JJBarea', 'MaxiKleber']
['KlayThompson', 'DraymondGreen']
['JarellMartin', 'TyrekeEvans']
['BuddyHield', 'GeorgeHill']
['DenzelValentine', 'KyleKorver']
['EricBledsoe', 'ThonMaker']
['NikolaJokic', 'MasonPlumlee']
['JeremyLamb']
['RobinLopez', 'DavidNwaba']
['TJMcConnell', 'AmirJohnson']
['DraganBender', 'TylerUlis']
['WillBarton', 'WilsonChandler']
['DariusMiller', 'NikolaMirotic']
['AlexAbrines', 'DejounteMurray']
['TristanThompson', 'JohnHenson']
['PJTucker', 'MalcolmBrogdon']
['LangstonGalloway', 'BismackBiyombo']
['GoranDragic', 'JustiseWinslow']
['IshSmith', 'ReggieJackson']
['DevinHarris', 'SalahMejri']
['JaeCrowder', 'JoseCalderon']
['ClintCapela', 'ChrisPaul']
['CarmeloAnthony', 'PatrickPatterson']
['AndreIguodala', 'ShaunLivingston']
['RussellWestbrook', 'RaymondFelton']
['DwightHoward', 'FrankKaminsky']
['MarcoBelinelli', 'IsaiahTaylor']
['HarrisonBarnes', 'DwightPowell']
['MichaelBeasley', 'TomasSatoransky']
['ShabazzNapier', 'EdDavis']
['RoyceONeale', 'AlecBurks']
['DennisSmith', 'DirkNowitzki']
['JoshJackson', 'AlexLen']
['CJMcCollum', 'DamianLillard']
['KevinLove', 'MikeScott']
['KristapsPorzingis', 'RichaunHolmes']
['EvanFournier', 'ShelvinMack']
['TonySnell', 'JasonTerry']
['JaylenBrown', 'GarrettTemple']
['MalikMonk', 'WillieCauleyStein']
['CourtneyLee', 'TimHardaway']
['KentBazemore', 'NickYoung']
['GiannisAntetokounmpo', 'SterlingBrown']
['RodneyHood', 'EkpeUdoh']
['JeramiGrant', 'AndreRoberson']
['KellyOubre', 'MarcinGortat']
['LauriMarkkanen', 'JerianGrant']
['RyanAnderson', 'JonathonSimmons']
['KyleLowry', 'PascalSiakam']
['ThaddeusYoung', 'DarrenCollison']
['CarisLeVert', 'GorguiDieng']
['MarcGasol', 'JamesEnnis']
['AaronGordon', 'JerrydBayless']
['AnthonyTolliver', 'KevinDurant']
['BenSimmons', 'JJRedick']
['MontrezlHarrell', 'DonovanMitchell']
['KhrisMiddleton', 'JabariParker']
['MarvinWilliams', 'NicolasBatum']
['KarlAnthonyTowns', 'ShabazzMuhammad']
['LanceStephenson', 'JoeYoung']
['SamDekker', 'ZachCollins']
['MalcolmDelaney', 'JaredDudley']
['LukeKennard', 'AustinRivers']
['DwyaneWade', 'CediOsman']
['YogiFerrell', 'PatrickMcCaw']
['DJAugustin', 'MarioHezonja']
['JusufNurkic', 'AlFarouqAminu']
['AndreDrummond', 'PaulGeorge']
['ZachRandolph', 'SkalLabissiere']
['BrookLopez', 'LarryNance']
['DeMarcusCousins', 'IanClark']
['JrueHoliday', 'JameerNelson']
['TylerJohnson', 'JamesJohnson']
['PattyMills', 'PauGasol']
['OttoPorter', 'JohnWall']
['TobiasHarris', 'LouWilliams']
['RobertCovington', 'JoelEmbiid']
['LucMbahaMoute', 'NeneHilario']
['JamesHarden', 'GeraldGreen']
['DeMarreCarroll', 'JarrettAllen']
['MylesTurner', 'AlJefferson']
['GaryHarris', 'EmmanuelMudiay']
['TreveonGraham', 'PaulMillsap']
['WesleyMatthews', 'TreyLyles']
['TerryRozier', 'MarcusMorris']
['NikolaVucevic', 'WesleyIwundu']
['RickyRubio', 'JonasJerebko']
['KyrieIrving', 'SemiOjeleye']
